,open,high,low,close,volume,value
2023-07-28 13:05:00,850.0,1175.0,850.0,1130.0,14607972.55769209,16405097511.394018
2023-07-28 13:10:00,1130.0,1165.0,1110.0,1165.0,6604363.98269647,7536921357.4524
2023-07-28 13:15:00,1160.0,1220.0,1150.0,1185.0,7954126.60100135,9379290997.84149
2023-07-28 13:20:00,1185.0,1240.0,1175.0,1225.0,6149712.38021243,7405671189.031696
2023-07-28 13:25:00,1225.0,1255.0,1195.0,1230.0,6240898.00296428,7645629927.968064
2023-07-28 13:30:00,1230.0,1245.0,1190.0,1205.0,4989538.88933651,6087997407.653328
2023-07-28 13:35:00,1200.0,1210.0,1130.0,1170.0,6486273.08082264,7572833998.45388
2023-07-28 13:40:00,1165.0,1180.0,1135.0,1140.0,2537058.42377346,2936819107.3613944
2023-07-28 13:45:00,1145.0,1175.0,1120.0,1165.0,2886331.6086004,3310297104.4849706
2023-07-28 13:50:00,1165.0,1170.0,1145.0,1160.0,1500322.84783192,1735386339.3693933
2023-07-28 13:55:00,1160.0,1160.0,1135.0,1155.0,1132823.22057429,1301604846.6630566
2023-07-28 14:00:00,1155.0,1160.0,1140.0,1145.0,588067.33893555,675894923.8884044
2023-07-28 14:05:00,1150.0,1155.0,1130.0,1140.0,1081463.93764123,1235349560.4289393
2023-07-28 14:10:00,1140.0,1145.0,1110.0,1125.0,1840686.18893036,2068137842.8579354
2023-07-28 14:15:00,1125.0,1125.0,1080.0,1090.0,2796717.448461,3074990292.8639693
2023-07-28 14:20:00,1090.0,1100.0,1030.0,1050.0,4992081.49163711,5278042357.209502
2023-07-28 14:25:00,1050.0,1055.0,1035.0,1050.0,1818238.9751947,1899986428.9360085
2023-07-28 14:30:00,1045.0,1065.0,1040.0,1060.0,1125832.55190328,1183801503.8387225
2023-07-28 14:35:00,1060.0,1075.0,1055.0,1055.0,1661419.9715962,1771699895.3535695
2023-07-28 14:40:00,1055.0,1060.0,1035.0,1040.0,1003952.55280044,1049060734.2529736
2023-07-28 14:45:00,1045.0,1060.0,1040.0,1060.0,530314.43786392,557915877.4169638
2023-07-28 14:50:00,1060.0,1060.0,1040.0,1050.0,495128.15699293,517818139.88915133
2023-07-28 14:55:00,1050.0,1060.0,1045.0,1060.0,388182.47528359,409000926.5589006
2023-07-28 15:00:00,1060.0,1065.0,1050.0,1060.0,545663.6985763,577593928.6423924
2023-07-28 15:05:00,1060.0,1075.0,1050.0,1055.0,862533.09095138,917071949.5388335
2023-07-28 15:10:00,1055.0,1060.0,1040.0,1045.0,529401.54230136,555745202.3345662
2023-07-28 15:15:00,1050.0,1055.0,1045.0,1050.0,276104.50909109,289931951.1161485
2023-07-28 15:20:00,1050.0,1060.0,1050.0,1060.0,182077.10582523,191955674.2149008
2023-07-28 15:25:00,1060.0,1065.0,1050.0,1060.0,431572.18006565,456641196.7429567
2023-07-28 15:30:00,1060.0,1080.0,1055.0,1075.0,895719.36603117,961252219.7725948
2023-07-28 15:35:00,1080.0,1090.0,1070.0,1080.0,975797.66115483,1054473807.5618384
2023-07-28 15:40:00,1075.0,1080.0,1060.0,1075.0,650251.147961,695960079.2781096
2023-07-28 15:45:00,1075.0,1080.0,1070.0,1070.0,439771.15295582,473522110.52872247
2023-07-28 15:50:00,1070.0,1070.0,1060.0,1060.0,403229.94775448,428873324.43528956
2023-07-28 15:55:00,1060.0,1070.0,1060.0,1065.0,152945.30924366,162522172.98652226
2023-07-28 16:00:00,1065.0,1080.0,1040.0,1055.0,1107695.27419144,1171018231.4755955
2023-07-28 16:05:00,1055.0,1055.0,1040.0,1045.0,803770.95926497,841329180.4815745
2023-07-28 16:10:00,1050.0,1050.0,1040.0,1045.0,289925.06958081,303359554.3748174
2023-07-28 16:15:00,1045.0,1055.0,1040.0,1055.0,377133.35384531,394520097.08628523
2023-07-28 16:20:00,1055.0,1055.0,1040.0,1045.0,353608.91888863,370548840.82916945
2023-07-28 16:25:00,1045.0,1050.0,1040.0,1045.0,393173.41555302,410939764.2124178
2023-07-28 16:30:00,1045.0,1050.0,1020.0,1030.0,1053864.89892454,1087951316.5107918
2023-07-28 16:35:00,1030.0,1035.0,1025.0,1035.0,358402.39103142,369738466.3685148
2023-07-28 16:40:00,1030.0,1040.0,1030.0,1040.0,240391.47401721,248952339.0787806
2023-07-28 16:45:00,1040.0,1045.0,1030.0,1030.0,433793.30802499,448894537.89915806
2023-07-28 16:50:00,1030.0,1035.0,1025.0,1035.0,235248.359541,242363730.57315695
2023-07-28 16:55:00,1035.0,1035.0,1025.0,1035.0,211394.32434994,217683284.4487491
2023-07-28 17:00:00,1035.0,1035.0,1020.0,1025.0,380433.02028636,390032447.14814097
2023-07-28 17:05:00,1025.0,1030.0,1015.0,1025.0,843877.85232652,860402079.2946858
2023-07-28 17:10:00,1020.0,1035.0,1020.0,1025.0,459159.71476024,471089425.45788157
2023-07-28 17:15:00,1030.0,1040.0,1025.0,1035.0,455018.94139899,470665979.2781361
2023-07-28 17:20:00,1035.0,1040.0,1025.0,1035.0,327777.28201944,338241423.947977
2023-07-28 17:25:00,1035.0,1045.0,1030.0,1040.0,334271.35612387,346998386.30703
2023-07-28 17:30:00,1040.0,1040.0,1025.0,1030.0,404771.01844534,417499574.5737577
2023-07-28 17:35:00,1030.0,1035.0,1025.0,1030.0,61416.64293032,63254275.29006005
2023-07-28 17:40:00,1035.0,1035.0,1025.0,1035.0,262267.75519718,270124384.3570563
2023-07-28 17:45:00,1035.0,1035.0,1030.0,1035.0,74941.96361225,77261623.40708505
2023-07-28 17:50:00,1030.0,1040.0,1030.0,1035.0,211384.86812558,218803644.4685472
2023-07-28 17:55:00,1035.0,1045.0,1030.0,1045.0,269305.1386904,279464454.49207145
2023-07-28 18:00:00,1045.0,1045.0,1030.0,1035.0,328105.03737979,340217419.5953162
2023-07-28 18:05:00,1040.0,1040.0,1025.0,1035.0,521866.12746178,537981391.0362451
2023-07-28 18:10:00,1035.0,1035.0,1025.0,1025.0,428864.97124749,441446772.307246
