,open,high,low,close,volume,value
2023-03-07 16:05:00,4330.0,5585.0,4330.0,5480.0,3389354.12754404,18537191912.78515
2023-03-07 16:10:00,5490.0,5590.0,5420.0,5580.0,1757224.16086954,9688060434.322601
2023-03-07 16:15:00,5575.0,5675.0,5555.0,5655.0,2187540.46629577,12290004958.904495
2023-03-07 16:20:00,5650.0,5705.0,5485.0,5520.0,2140617.85959729,12026742555.033312
2023-03-07 16:25:00,5520.0,5580.0,5430.0,5520.0,1185219.44235772,6525517478.257004
2023-03-07 16:30:00,5520.0,5580.0,5475.0,5510.0,799851.4239288,4414083106.168751
2023-03-07 16:35:00,5510.0,5515.0,5420.0,5450.0,680629.10619622,3717565425.487046
2023-03-07 16:40:00,5450.0,5480.0,5420.0,5455.0,501025.73672183,2734596165.590266
2023-03-07 16:45:00,5455.0,5455.0,5390.0,5410.0,774581.31708794,4192307946.2946315
2023-03-07 16:50:00,5410.0,5415.0,5335.0,5370.0,824750.10576195,4422421409.440125
2023-03-07 16:55:00,5370.0,5380.0,5345.0,5345.0,364612.91697357,1956353969.0413096
2023-03-07 17:00:00,5345.0,5435.0,5340.0,5425.0,513550.51712751,2774095752.7969613
2023-03-07 17:05:00,5425.0,5445.0,5405.0,5435.0,336735.11237053,1827723811.3881657
2023-03-07 17:10:00,5440.0,5470.0,5425.0,5425.0,380143.47614738,2071317825.331308
2023-03-07 17:15:00,5425.0,5435.0,5370.0,5415.0,472198.04031444,2549926369.036643
2023-03-07 17:20:00,5420.0,5450.0,5415.0,5435.0,275281.11903654,1495644263.4116921
2023-03-07 17:25:00,5430.0,5435.0,5385.0,5400.0,204387.48875494,1104197500.8247385
2023-03-07 17:30:00,5405.0,5405.0,5370.0,5390.0,240024.04557368,1292058553.687361
2023-03-07 17:35:00,5380.0,5390.0,5280.0,5280.0,745761.46264309,3967793015.3445554
2023-03-07 17:40:00,5280.0,5310.0,5265.0,5305.0,465735.06524321,2463956845.7408347
2023-03-07 17:45:00,5305.0,5315.0,5270.0,5270.0,229999.13922319,1218433747.8046477
2023-03-07 17:50:00,5280.0,5315.0,5270.0,5315.0,163774.6207125,867385812.8086263
2023-03-07 17:55:00,5315.0,5335.0,5275.0,5310.0,249031.46458049,1320440207.3412962
2023-03-07 18:00:00,5310.0,5330.0,5305.0,5320.0,134520.18673464,715489894.3677592
2023-03-07 18:05:00,5320.0,5320.0,5295.0,5315.0,181352.24447574,962149134.8196237
2023-03-07 18:10:00,5315.0,5405.0,5310.0,5400.0,376835.30239907,2019580037.581237
2023-03-07 18:15:00,5400.0,5400.0,5350.0,5375.0,216449.43924596,1163257165.0241885
2023-03-07 18:20:00,5375.0,5380.0,5325.0,5345.0,179777.52378996,962993840.929715
2023-03-07 18:25:00,5350.0,5360.0,5330.0,5340.0,97058.20081096,518709739.4113762
2023-03-07 18:30:00,5340.0,5370.0,5340.0,5365.0,178456.01589584,955384770.253843
2023-03-07 18:35:00,5365.0,5375.0,5350.0,5355.0,201454.47005752,1080699707.0235536
2023-03-07 18:40:00,5350.0,5350.0,5290.0,5305.0,250146.60614472,1329680350.901548
2023-03-07 18:45:00,5305.0,5310.0,5180.0,5215.0,847098.06478787,4427948541.501214
2023-03-07 18:50:00,5215.0,5235.0,5185.0,5210.0,495920.63865289,2582211036.963116
2023-03-07 18:55:00,5210.0,5245.0,5200.0,5235.0,239839.42915902,1252191113.6834354
2023-03-07 19:00:00,5245.0,5255.0,5185.0,5200.0,411923.37315636,2149001609.6268234
2023-03-07 19:05:00,5200.0,5245.0,5195.0,5240.0,195132.04809412,1018064252.767631
2023-03-07 19:10:00,5240.0,5265.0,5230.0,5245.0,197354.61321928,1035531838.14922
2023-03-07 19:15:00,5245.0,5250.0,5225.0,5250.0,103286.8159174,540989355.1983572
2023-03-07 19:20:00,5250.0,5270.0,5245.0,5265.0,159061.42231631,837018483.0595297
2023-03-07 19:25:00,5265.0,5280.0,5255.0,5265.0,121160.77250505,638478015.5288037
2023-03-07 19:30:00,5265.0,5270.0,5225.0,5230.0,179317.0859929,940400610.6670506
2023-03-07 19:35:00,5235.0,5235.0,5215.0,5225.0,115433.0605495,603217801.444987
2023-03-07 19:40:00,5225.0,5235.0,5210.0,5215.0,59561.37899654,310835497.7175048
2023-03-07 19:45:00,5210.0,5240.0,5210.0,5235.0,80582.25201926,421127570.8380529
2023-03-07 19:50:00,5235.0,5240.0,5145.0,5150.0,480610.2544417,2488494917.691134
2023-03-07 19:55:00,5155.0,5175.0,5130.0,5130.0,383824.23286929,1975553535.8180282
2023-03-07 20:00:00,5130.0,5160.0,5130.0,5140.0,309335.62644745,1591606317.8216093
2023-03-07 20:05:00,5140.0,5145.0,5100.0,5105.0,416917.72581983,2133145638.8980136
2023-03-07 20:10:00,5100.0,5120.0,5075.0,5095.0,351953.94534702,1792702555.2258918
2023-03-07 20:15:00,5095.0,5105.0,5085.0,5090.0,183349.64473299,934011706.0453159
2023-03-07 20:20:00,5090.0,5105.0,5070.0,5085.0,177953.02882033,905348827.8511217
2023-03-07 20:25:00,5085.0,5110.0,5080.0,5110.0,121621.07808036,619815461.4200077
2023-03-07 20:30:00,5105.0,5120.0,5095.0,5105.0,131057.43088217,669425419.4125867
2023-03-07 20:35:00,5105.0,5165.0,5100.0,5130.0,262976.7977832,1352182763.2679617
2023-03-07 20:40:00,5135.0,5140.0,5110.0,5125.0,94707.48292847,485252509.95568746
2023-03-07 20:45:00,5115.0,5125.0,5100.0,5110.0,82986.2418039,423917300.2463021
2023-03-07 20:50:00,5110.0,5120.0,5095.0,5110.0,115202.32886554,588504816.8192103
2023-03-07 20:55:00,5110.0,5115.0,5090.0,5110.0,145553.98552558,742975518.276015
2023-03-07 21:00:00,5110.0,5110.0,5055.0,5065.0,257717.57295408,1308569683.3887298
2023-03-07 21:05:00,5060.0,5065.0,5025.0,5060.0,196420.51779225,991409313.671879
2023-03-07 21:10:00,5055.0,5095.0,5055.0,5075.0,100397.05365988,509862160.3905082
2023-03-07 21:15:00,5075.0,5095.0,5070.0,5075.0,54413.77738679,276679796.1082298
