,open,high,low,close,volume,value
2023-08-16 10:05:00,254.0,338.0,254.0,327.0,113047072.41498947,33567246188.138054
2023-08-16 10:10:00,327.0,359.0,327.0,358.0,50878515.92918679,17491839898.14106
2023-08-16 10:15:00,358.0,469.0,357.0,467.0,71936941.56574155,29282693690.151844
2023-08-16 10:20:00,468.0,498.0,371.0,432.0,79715146.21454678,33983450856.51508
2023-08-16 10:25:00,432.0,457.0,418.0,457.0,40526591.34441758,17716447845.826298
2023-08-16 10:30:00,457.0,459.0,434.0,442.0,27238394.15515668,12112424043.165005
2023-08-16 10:35:00,442.0,454.0,410.0,454.0,30182472.8715981,13194216687.590704
2023-08-16 10:40:00,454.0,501.0,453.0,491.0,55458065.13063316,26726852515.891094
2023-08-16 10:45:00,492.0,738.0,488.0,734.0,67241138.61770546,38817555556.693016
2023-08-16 10:50:00,734.0,856.0,670.0,830.0,66871306.08460898,51707631168.47017
2023-08-16 10:55:00,830.0,856.0,675.0,718.0,63664621.76091737,49044453299.83409
2023-08-16 11:00:00,718.0,739.0,564.0,631.0,61456196.03866091,39288586101.27044
2023-08-16 11:05:00,631.0,719.0,623.0,693.0,39018802.97775754,26533203680.119205
2023-08-16 11:10:00,693.0,743.0,662.0,727.0,30792360.63009727,21667574428.77963
2023-08-16 11:15:00,727.0,759.0,715.0,753.0,26632725.54134689,19496613962.088028
2023-08-16 11:20:00,757.0,758.0,721.0,737.0,20718182.40616921,15324944809.980963
2023-08-16 11:25:00,738.0,775.0,660.0,727.0,29373570.79154175,21383656643.769268
2023-08-16 11:30:00,727.0,750.0,720.0,732.0,15826022.76452855,11667361161.686049
2023-08-16 11:35:00,732.0,742.0,724.0,739.0,11050286.46293019,8111095659.932357
2023-08-16 11:40:00,738.0,742.0,724.0,731.0,9878242.60310931,7242837983.721955
2023-08-16 11:45:00,731.0,742.0,690.0,723.0,15935337.336058,11560655887.048903
2023-08-16 11:50:00,723.0,725.0,687.0,709.0,13818502.06979171,9806924138.594261
2023-08-16 11:55:00,708.0,714.0,676.0,713.0,13740177.62820681,9622712504.266256
2023-08-16 12:00:00,713.0,714.0,694.0,697.0,6238182.23029814,4381177394.398234
2023-08-16 12:05:00,697.0,697.0,646.0,664.0,15730439.65693755,10627140128.961733
2023-08-16 12:10:00,664.0,700.0,663.0,683.0,10921837.03143707,7472629516.203321
2023-08-16 12:15:00,683.0,710.0,665.0,705.0,11204237.94096369,7728965070.321169
2023-08-16 12:20:00,706.0,706.0,690.0,696.0,7291703.83228117,5086032205.009703
2023-08-16 12:25:00,696.0,699.0,687.0,696.0,4974709.51258087,3449094484.9722996
2023-08-16 12:30:00,696.0,697.0,675.0,691.0,7176817.50144285,4930834109.989081
2023-08-16 12:35:00,691.0,735.0,691.0,712.0,21251826.92763546,15259727668.766077
2023-08-16 12:40:00,712.0,715.0,702.0,709.0,9379614.06877152,6654743248.519759
2023-08-16 12:45:00,710.0,716.0,701.0,712.0,7205841.56379656,5118622447.95035
2023-08-16 12:50:00,712.0,713.0,701.0,709.0,6560381.0605964,4643030461.161713
2023-08-16 12:55:00,709.0,709.0,690.0,694.0,7725529.0008874,5415724365.345994
2023-08-16 13:00:00,694.0,703.0,686.0,688.0,6937333.28482237,4815149650.132488
2023-08-16 13:05:00,689.0,691.0,677.0,688.0,7418689.69782634,5075609259.121793
2023-08-16 13:10:00,688.0,703.0,688.0,688.0,5914014.74461022,4107233157.565661
2023-08-16 13:15:00,688.0,692.0,677.0,681.0,5120508.51291954,3500461150.6914086
2023-08-16 13:20:00,681.0,682.0,645.0,672.0,15144388.08596956,10083839767.293743
2023-08-16 13:25:00,672.0,674.0,613.0,613.0,17979882.32250171,11509668541.231112
2023-08-16 13:30:00,613.0,618.0,575.0,601.0,27233419.25981464,16216020576.603256
2023-08-16 13:35:00,601.0,605.0,586.0,602.0,9189158.64457642,5471077331.587577
2023-08-16 13:40:00,603.0,603.0,508.0,517.0,27361462.30400048,14741362071.398874
2023-08-16 13:45:00,516.0,563.0,510.0,557.0,22300697.6458579,12020079613.655941
2023-08-16 13:50:00,558.0,558.0,514.0,530.0,17312871.67365407,9216809729.676695
2023-08-16 13:55:00,529.0,534.0,524.0,528.0,7990022.79784612,4223122119.243104
2023-08-16 14:00:00,527.0,540.0,523.0,531.0,8722146.47767097,4637533339.07354
