,open,high,low,close,volume,value
2023-05-04 09:05:00,1825.0,2015.0,1820.0,1960.0,25122022.5848293,49563119594.22687
2023-05-04 09:10:00,1965.0,1985.0,1940.0,1975.0,6520636.22504649,12770934742.68904
2023-05-04 09:15:00,1975.0,1980.0,1960.0,1970.0,2941344.57748631,5794057190.979514
2023-05-04 09:20:00,1965.0,1980.0,1965.0,1970.0,2601236.51866937,5130275059.457683
2023-05-04 09:25:00,1970.0,1995.0,1965.0,1985.0,3126606.29959584,6198276384.644355
2023-05-04 09:30:00,1990.0,2065.0,1985.0,2050.0,7509529.51307023,15266497329.14244
2023-05-04 09:35:00,2050.0,2070.0,2015.0,2020.0,5134142.63086651,10510333345.434914
2023-05-04 09:40:00,2020.0,2025.0,1990.0,2015.0,5207458.47369298,10451498824.498606
2023-05-04 09:45:00,2020.0,2030.0,1990.0,2000.0,2955630.74422294,5925111910.774326
2023-05-04 09:50:00,2000.0,2015.0,1970.0,1985.0,2755836.17633216,5482509266.398273
2023-05-04 09:55:00,1985.0,1995.0,1970.0,1975.0,1836923.34777658,3640939251.5755267
2023-05-04 10:00:00,1980.0,2000.0,1975.0,1990.0,1352172.63523181,2688533991.074745
2023-05-04 10:05:00,1990.0,2010.0,1990.0,1995.0,1213280.90134618,2425749340.247629
2023-05-04 10:10:00,1995.0,2005.0,1980.0,1990.0,1047017.91787939,2087160147.5182245
2023-05-04 10:15:00,1985.0,1995.0,1985.0,1990.0,528966.29905127,1052147072.0937985
2023-05-04 10:20:00,1990.0,2005.0,1980.0,2000.0,833498.34092243,1662690031.2703154
2023-05-04 10:25:00,1995.0,2000.0,1985.0,1990.0,617351.16222173,1229087069.9337482
2023-05-04 10:30:00,1990.0,2005.0,1990.0,2000.0,622880.33929591,1244722523.088125
2023-05-04 10:35:00,2000.0,2010.0,1980.0,1980.0,1465879.64146517,2920575510.7190185
2023-05-04 10:40:00,1985.0,1985.0,1970.0,1970.0,1271947.53981225,2514691467.122601
2023-05-04 10:45:00,1970.0,1970.0,1945.0,1960.0,2680630.5875884,5246027581.048045
2023-05-04 10:50:00,1960.0,1965.0,1945.0,1950.0,1038000.07870303,2028446017.2711053
2023-05-04 10:55:00,1955.0,1960.0,1950.0,1955.0,711355.337029,1391091052.3412652
2023-05-04 11:00:00,1955.0,1965.0,1950.0,1955.0,810358.29132758,1584990953.5268812
2023-05-04 11:05:00,1955.0,1960.0,1940.0,1950.0,1106421.31257056,2156821055.9373574
2023-05-04 11:10:00,1955.0,1955.0,1925.0,1935.0,1677991.19689646,3247689873.9457517
2023-05-04 11:15:00,1935.0,1945.0,1925.0,1930.0,1048093.71985533,2027389676.8844824
2023-05-04 11:20:00,1935.0,1935.0,1910.0,1915.0,2173142.89066864,4171281476.0554047
2023-05-04 11:25:00,1915.0,1925.0,1910.0,1915.0,1180906.13775185,2263541603.004413
