,open,high,low,close,volume,value
2023-06-06 16:35:00,7.99,8.0,7.99,8.0,622023.25286156,4976060.86644692
2023-06-06 16:40:00,7.99,7.99,7.98,7.98,267978.97061096,2139742.54016882
2023-06-06 16:45:00,7.98,7.98,7.97,7.97,692482.33756002,5521115.4893231
2023-06-06 16:50:00,7.97,7.97,7.96,7.97,42049.618475,334888.41099074
2023-06-06 16:55:00,7.96,7.96,7.96,7.96,429993.6974188,3422749.83145365
2023-06-06 17:05:00,7.99,7.99,7.96,7.99,502825.06801609,4017448.80107709
2023-06-06 17:10:00,7.99,7.99,7.98,7.98,145379.12520585,1161439.0931922
2023-06-06 17:15:00,7.98,7.98,7.96,7.96,4770.25676739,37986.28146241
2023-06-06 17:20:00,7.96,7.96,7.96,7.96,7323.2,58292.672
2023-06-06 17:25:00,7.96,7.97,7.96,7.97,71051.54166986,565633.00694929
2023-06-06 17:30:00,7.96,7.96,7.96,7.96,312658.0,2488757.68
2023-06-06 17:35:00,7.96,7.97,7.96,7.97,24358.79211055,193902.32942108
2023-06-06 17:40:00,7.96,7.96,7.96,7.96,96586.55013311,768828.93905955
2023-06-06 17:45:00,7.96,7.96,7.96,7.96,10000.0,79600.0
2023-06-06 17:50:00,7.96,7.96,7.96,7.96,4733.41090561,37677.95080866
2023-06-06 17:55:00,7.97,7.97,7.97,7.97,122041.61407376,972671.66416787
2023-06-06 18:00:00,7.96,7.96,7.96,7.96,15744.12207919,125323.21175036
2023-06-06 18:10:00,7.96,7.97,7.96,7.97,61424.09033877,489400.0
2023-06-06 18:15:00,7.97,7.97,7.97,7.97,752.07026348,5993.99999994
2023-06-06 18:20:00,7.97,7.97,7.94,7.94,1800808.48972473,14322597.0728414
2023-06-06 18:25:00,7.94,7.94,7.9,7.91,3072728.44461241,24335064.01288106
2023-06-06 18:35:00,7.93,7.93,7.93,7.93,43780.13869071,347176.49981733
2023-06-06 18:40:00,7.93,7.93,7.93,7.93,11256.28140703,89262.31155775
2023-06-06 18:45:00,7.93,7.93,7.93,7.93,5717.79028858,45342.07698844
2023-06-06 18:50:00,7.93,7.93,7.93,7.93,151581.74086465,1202043.20505666
2023-06-06 18:55:00,7.93,7.93,7.92,7.92,386321.62109359,3063450.45527216
2023-06-06 19:00:00,7.93,7.93,7.92,7.93,91871.52748243,727987.35556442
2023-06-06 19:05:00,7.93,7.93,7.92,7.92,161060.47191344,1275949.22128713
2023-06-06 19:10:00,7.92,7.93,7.91,7.91,325208.28339823,2575531.43417939
2023-06-06 19:15:00,7.91,7.93,7.9,7.9,854864.93516149,6757946.96411007
2023-06-06 19:20:00,7.93,7.93,7.93,7.93,74609.23409956,591651.2264095
2023-06-06 19:25:00,7.93,7.93,7.93,7.93,17781.96721308,141010.99999974
2023-06-06 19:30:00,7.92,7.93,7.92,7.93,2167042.27753152,17183000.2735479
2023-06-06 19:35:00,7.93,7.93,7.93,7.93,195395.63815384,1549487.41055995
2023-06-06 19:40:00,7.93,7.93,7.93,7.93,5767.36,45735.1648
2023-06-06 19:45:00,7.93,7.94,7.93,7.94,7732.99584382,61335.25149993
2023-06-06 19:50:00,7.94,7.94,7.94,7.94,119683.56602035,950287.51420158
2023-06-06 19:55:00,7.94,7.95,7.94,7.95,712505.68314206,5660508.05856124
2023-06-06 20:00:00,7.94,7.94,7.94,7.94,339709.92411693,2697296.79748843
2023-06-06 20:05:00,7.93,7.93,7.93,7.93,185784.75059729,1473273.0722365
2023-06-06 20:10:00,7.94,7.95,7.94,7.94,996544.01422399,7913189.1958604
2023-06-06 20:15:00,7.94,7.94,7.94,7.94,6695.14,53159.4116
2023-06-06 20:20:00,7.94,7.94,7.94,7.94,880876.16677314,6994156.76417873
2023-06-06 20:25:00,7.94,7.94,7.86,7.9,4455209.08421062,35224727.49524434
2023-06-06 20:30:00,7.92,7.92,7.92,7.92,62058.94527483,491506.84657666
2023-06-06 20:35:00,7.91,7.91,7.91,7.91,42290.50429345,334517.88896119
2023-06-06 20:40:00,7.91,7.91,7.91,7.91,171830.29879403,1359177.66346077
2023-06-06 20:45:00,7.91,7.95,7.91,7.92,610134.80577766,4827544.3148991
2023-06-06 20:50:00,7.91,7.91,7.91,7.91,296937.6547116,2348776.84876875
2023-06-06 20:55:00,7.91,7.92,7.9,7.91,1048243.47983946,8282542.96228034
2023-06-06 21:00:00,7.9,7.91,7.9,7.91,5799.56516173,45822.89853241
2023-06-06 21:05:00,7.91,7.91,7.9,7.91,5158.22547408,40762.71499997
2023-06-06 21:10:00,7.91,7.91,7.84,7.85,4554786.97262839,35846783.81639007
2023-06-06 21:15:00,7.85,7.88,7.83,7.88,2288191.61107758,17964634.74338639
2023-06-06 21:20:00,7.86,7.86,7.82,7.82,1596221.42261723,12501972.51293682
2023-06-06 21:25:00,7.82,7.83,7.81,7.81,2154154.82185851,16836051.1015012
2023-06-06 21:30:00,7.81,7.81,7.7,7.72,5021908.64834942,38998720.78809351
2023-06-06 21:35:00,7.76,7.76,7.71,7.74,954812.91660796,7376227.34516975
2023-06-06 21:40:00,7.72,7.75,7.71,7.75,1140170.6286083,8803709.47983213
2023-06-06 21:45:00,7.75,7.8,7.74,7.74,711053.14544672,5519211.20833831
2023-06-06 21:50:00,7.75,7.8,7.75,7.76,990626.58778686,7677990.53337016
2023-06-06 21:55:00,7.79,7.79,7.71,7.72,484088.26805005,3743769.25126952
2023-06-06 22:00:00,7.72,7.74,7.72,7.74,327966.81385326,2538042.15991091
2023-06-06 22:05:00,7.74,7.74,7.71,7.71,850978.98738762,6571916.79052306
2023-06-06 22:10:00,7.71,7.72,7.63,7.68,8129006.67571356,62236015.66842738
