,open,high,low,close,volume,value
2023-06-08 09:15:00,10210.0,10230.0,10170.0,10230.0,2987.35427168,30434985.1742121
2023-06-08 09:20:00,10230.0,10280.0,10230.0,10280.0,2627.89010081,26900168.3055399
2023-06-08 09:25:00,10270.0,10300.0,10260.0,10290.0,4375.4778269,45022634.6812499
2023-06-08 09:30:00,10300.0,10310.0,10270.0,10300.0,1605.67595456,16517982.5707736
2023-06-08 09:35:00,10300.0,10370.0,10290.0,10350.0,36141.35560471,373586103.9184159
2023-06-08 09:40:00,10350.0,10350.0,10300.0,10300.0,10574.69650306,109242780.8153765
2023-06-08 09:45:00,10300.0,10310.0,10290.0,10300.0,4066.52034879,41877776.9059354
2023-06-08 09:50:00,10300.0,10320.0,10280.0,10320.0,1641.60185175,16885075.9870259
2023-06-08 09:55:00,10310.0,10310.0,10270.0,10280.0,1546.98976794,15916676.6371174
2023-06-08 10:00:00,10280.0,10300.0,10280.0,10290.0,639.81906659,6588835.5632113
2023-06-08 10:05:00,10300.0,10330.0,10300.0,10310.0,3504.40919489,36133455.3870345
2023-06-08 10:10:00,10310.0,10330.0,10300.0,10330.0,2133.93756431,22007191.156409
2023-06-08 10:15:00,10320.0,10350.0,10300.0,10300.0,3508.0869397,36178340.2404824
2023-06-08 10:20:00,10300.0,10320.0,10300.0,10300.0,3216.84945176,33133980.7459586
2023-06-08 10:25:00,10300.0,10300.0,10290.0,10300.0,2319.45399122,23873807.945326
2023-06-08 10:30:00,10310.0,10310.0,10290.0,10290.0,1469.16991806,15132037.8526738
2023-06-08 10:35:00,10300.0,10310.0,10300.0,10310.0,141.39045183,1457247.2923161
2023-06-08 10:40:00,10320.0,10330.0,10310.0,10330.0,1758.96998501,18136731.5511544
2023-06-08 10:45:00,10320.0,10320.0,10290.0,10290.0,1421.75193084,14657135.354102
2023-06-08 10:50:00,10300.0,10300.0,10290.0,10290.0,2153.48845729,22161401.079883
2023-06-08 10:55:00,10290.0,10300.0,10290.0,10290.0,535.11239874,5506406.5830346
2023-06-08 11:00:00,10300.0,10300.0,10290.0,10300.0,1461.72902903,15042193.7811288
2023-06-08 11:05:00,10300.0,10300.0,10280.0,10280.0,1713.04642572,17623547.9274836
2023-06-08 11:10:00,10280.0,10280.0,10240.0,10260.0,3868.89235026,39700342.6121263
2023-06-08 11:15:00,10250.0,10280.0,10240.0,10280.0,2023.45199728,20763126.7299753
2023-06-08 11:20:00,10280.0,10280.0,10260.0,10280.0,925.86063518,9508616.4561663
2023-06-08 11:25:00,10290.0,10300.0,10280.0,10300.0,886.92817561,9122788.6866874
2023-06-08 11:30:00,10300.0,10300.0,10280.0,10290.0,3310.70958172,34049354.9579854
2023-06-08 11:35:00,10290.0,10290.0,10260.0,10290.0,1692.67364109,17376430.4857351
2023-06-08 11:40:00,10270.0,10280.0,10270.0,10280.0,50.59832246,519684.7716642
2023-06-08 11:45:00,10270.0,10270.0,10240.0,10250.0,1879.48344283,19249654.6555014
2023-06-08 11:50:00,10240.0,10260.0,10230.0,10230.0,1539.93730441,15764273.7909913
