,open,high,low,close,volume,value
2023-05-30 17:45:00,355.0,355.0,353.0,353.0,1005.28484917,355841.18413175
2023-05-30 17:50:00,353.0,355.0,353.0,355.0,530.36429236,187335.7386611
2023-05-30 17:55:00,355.0,355.0,353.0,353.0,386.70892838,137008.25171814
2023-05-30 18:05:00,355.0,356.0,355.0,356.0,13045.75503441,4641678.23211248
2023-05-30 18:10:00,356.0,356.0,355.0,356.0,5717.77713852,2030853.47608088
2023-05-30 18:15:00,355.0,356.0,355.0,356.0,4745.66682898,1688489.04147099
2023-05-30 18:30:00,355.0,356.0,353.0,356.0,66099.73998969,23410954.4322187
2023-05-30 18:35:00,353.0,355.0,353.0,355.0,60.83617535,21566.84224925
2023-05-30 18:40:00,354.0,354.0,354.0,354.0,91.11247193,32253.81506322
2023-05-30 18:45:00,355.0,355.0,354.0,355.0,579.73808147,205326.79293315
2023-05-30 18:50:00,354.0,354.0,354.0,354.0,282.4858757,99999.9999978
2023-05-30 18:55:00,355.0,356.0,355.0,356.0,18742.29374144,6653614.88060114
2023-05-30 19:00:00,355.0,356.0,355.0,356.0,562.58901697,199999.99990047
2023-05-30 19:10:00,356.0,356.0,355.0,355.0,11558.90874759,4103487.95255233
2023-05-30 19:15:00,355.0,356.0,355.0,356.0,42.8326523,15219.52749965
2023-05-30 19:25:00,356.0,356.0,356.0,356.0,84.22754914,29985.00749384
2023-05-30 19:30:00,356.0,356.0,356.0,356.0,38793.63126254,13810532.72946424
2023-05-30 19:35:00,356.0,357.0,356.0,357.0,3904.78594735,1390269.32284871
2023-05-30 19:40:00,356.0,357.0,356.0,357.0,4515.01800356,1610361.42693776
2023-05-30 19:50:00,357.0,357.0,357.0,357.0,4315.72969187,1540715.49999759
2023-05-30 19:55:00,357.0,357.0,357.0,357.0,298.01345825,106390.80459525
2023-05-30 20:00:00,357.0,357.0,357.0,357.0,14.00560224,4999.99999968
2023-05-30 20:05:00,357.0,357.0,357.0,357.0,20.0,7140.0
2023-05-30 20:10:00,357.0,357.0,357.0,357.0,9456.92889549,3376123.61568993
2023-05-30 20:15:00,357.0,358.0,357.0,358.0,34228.38397559,12248675.29842804
2023-05-30 20:20:00,358.0,358.0,358.0,358.0,31522.58994142,11285087.19902836
2023-05-30 20:25:00,358.0,359.0,358.0,359.0,281.25778465,100706.99999662
2023-05-30 20:30:00,357.0,359.0,357.0,358.0,18455.45719805,6615153.11275679
2023-05-30 20:35:00,358.0,358.0,358.0,358.0,567.61285758,203205.40301364
2023-05-30 20:40:00,358.0,358.0,358.0,358.0,1342.79050279,480718.99999882
2023-05-30 20:45:00,358.0,358.0,358.0,358.0,34.17492067,12234.62159986
2023-05-30 20:50:00,358.0,358.0,358.0,358.0,1395.95006965,499750.1249347
2023-05-30 20:55:00,357.0,358.0,357.0,358.0,247.46170325,88372.56729572
2023-05-30 21:00:00,358.0,358.0,358.0,358.0,1879.70260679,672933.53323082
2023-05-30 21:10:00,358.0,358.0,358.0,358.0,11173.18435754,3999999.99999932
2023-05-30 21:25:00,357.0,357.0,357.0,357.0,35000.30799346,12495109.95366522
2023-05-30 21:30:00,356.0,356.0,356.0,356.0,2174.35728827,774071.19462412
2023-05-30 21:35:00,356.0,356.0,355.0,355.0,733.85039159,261233.93268336
2023-05-30 21:40:00,357.0,357.0,355.0,355.0,1102.73886822,391503.41866626
2023-05-30 21:45:00,356.0,356.0,356.0,356.0,618.14,220057.84
2023-05-30 21:50:00,357.0,357.0,357.0,357.0,14.00560224,4999.99999968
2023-05-30 21:55:00,355.0,357.0,355.0,357.0,746.36085038,265014.12429386
2023-05-30 22:00:00,356.0,356.0,356.0,356.0,925.339,329420.684
2023-05-30 22:05:00,356.0,356.0,356.0,356.0,3382.904,1204313.824
2023-05-30 22:10:00,356.0,356.0,355.0,355.0,238.80934821,84824.74855668
2023-05-30 22:15:00,355.0,355.0,355.0,355.0,7555.0,2682025.0
2023-05-30 22:30:00,355.0,355.0,355.0,355.0,140.84507043,50000.00000265
2023-05-30 22:35:00,356.0,356.0,355.0,356.0,2436.85791537,866768.68987172
2023-05-30 22:40:00,356.0,356.0,355.0,355.0,4993.14124601,1773065.74626613
2023-05-30 22:45:00,356.0,356.0,356.0,356.0,3089.74726118,1099950.02498008
2023-05-30 22:50:00,355.0,355.0,355.0,355.0,1001.85616901,355658.93999855
2023-05-30 22:55:00,355.0,355.0,355.0,355.0,12200.0,4331000.0
2023-05-30 23:00:00,356.0,356.0,355.0,355.0,1713.33233617,609805.46660609
2023-05-30 23:05:00,355.0,355.0,355.0,355.0,30.0,10650.0
2023-05-30 23:10:00,355.0,355.0,355.0,355.0,4159.69191124,1476690.6284902
2023-05-30 23:15:00,355.0,355.0,355.0,355.0,104.3587259,37047.3476945
2023-05-30 23:20:00,355.0,355.0,355.0,355.0,10523.66594411,3735901.41015905
2023-05-30 23:30:00,355.0,355.0,355.0,355.0,1461.98849323,519005.91509665
2023-05-30 23:35:00,355.0,355.0,355.0,355.0,33518.30519118,11898998.3428689
2023-05-30 23:40:00,356.0,356.0,355.0,355.0,895.01614084,318012.42013904
2023-05-30 23:45:00,355.0,355.0,355.0,355.0,2816.90140846,1000000.0000033
2023-05-30 23:50:00,355.0,355.0,355.0,355.0,23744.36143238,8429248.3084949
2023-05-30 23:55:00,355.0,355.0,355.0,355.0,10235.33714963,3633544.68811865
2023-05-31 00:00:00,355.0,355.0,355.0,355.0,555.30793155,197134.31570025
2023-05-31 00:25:00,356.0,356.0,355.0,355.0,12396.19402166,4400682.51252076
2023-05-31 00:30:00,355.0,355.0,355.0,355.0,7635.41096855,2710570.89383525
2023-05-31 00:35:00,356.0,356.0,356.0,356.0,84.50704225,30084.507041
2023-05-31 00:45:00,355.0,355.0,355.0,355.0,127.00152288,45085.5406224
2023-05-31 00:50:00,355.0,356.0,355.0,356.0,1020.0,362120.0
2023-05-31 00:55:00,356.0,356.0,356.0,356.0,56.15169943,19990.00499708
2023-05-31 01:00:00,356.0,357.0,356.0,357.0,19502.71241953,6959056.73796979
2023-05-31 01:05:00,356.0,356.0,356.0,356.0,47.56294933,16932.40996148
2023-05-31 01:10:00,356.0,356.0,356.0,356.0,5045.32013878,1796133.96940568
2023-05-31 01:30:00,357.0,357.0,357.0,357.0,200.0,71400.0
2023-05-31 01:40:00,357.0,357.0,357.0,357.0,1119.42070972,399633.19337004
2023-05-31 01:45:00,357.0,357.0,357.0,357.0,33899.30232586,12102050.93033202
2023-05-31 01:55:00,357.0,357.0,357.0,357.0,15.40616246,5499.99999822
2023-05-31 02:20:00,357.0,357.0,357.0,357.0,59.30908286,21173.34258102
2023-05-31 02:25:00,357.0,357.0,357.0,357.0,211.63383058,75553.27751706
2023-05-31 02:35:00,356.0,356.0,355.0,356.0,70.06791818,24902.20084154
2023-05-31 02:50:00,356.0,356.0,356.0,356.0,790.47274115,281408.2958494
2023-05-31 03:25:00,356.0,356.0,356.0,356.0,11235.95505617,3999999.99999652
2023-05-31 03:30:00,356.0,356.0,356.0,356.0,421.3483146,149999.9999976
2023-05-31 04:55:00,357.0,357.0,357.0,357.0,2580.19588641,921129.93144837
2023-05-31 05:00:00,358.0,358.0,358.0,358.0,1352.63060999,484241.75837642
2023-05-31 05:05:00,358.0,358.0,358.0,358.0,116.11961409,41570.82184422
2023-05-31 05:20:00,358.0,358.0,356.0,356.0,33.33333332,11899.99999524
2023-05-31 05:35:00,356.0,356.0,356.0,356.0,137.29977116,48878.71853296
2023-05-31 05:55:00,356.0,356.0,356.0,356.0,859.39200992,305943.55553152
2023-05-31 06:00:00,356.0,356.0,356.0,356.0,1095.85438905,390124.1625018
2023-05-31 06:05:00,358.0,358.0,357.0,357.0,3381.18613994,1207098.63809852
2023-05-31 06:20:00,357.0,357.0,357.0,357.0,73.30371644,26169.42676908
2023-05-31 06:30:00,357.0,357.0,357.0,357.0,11530.42352062,4116361.19686134
2023-05-31 06:40:00,357.0,357.0,357.0,357.0,15096.87777288,5389585.36491816
2023-05-31 06:45:00,356.0,356.0,356.0,356.0,1701.49352249,605731.69400644
2023-05-31 06:50:00,355.0,355.0,353.0,353.0,53317.56697567,18863762.13614652
2023-05-31 06:55:00,353.0,353.0,353.0,353.0,1025.92523962,362151.60958586
2023-05-31 07:00:00,353.0,354.0,353.0,354.0,23.01523446,8144.69066438
2023-05-31 07:05:00,354.0,354.0,353.0,354.0,6477.69871247,2291042.39777773
2023-05-31 07:20:00,354.0,354.0,354.0,354.0,1412.429,499999.866
2023-05-31 07:25:00,354.0,355.0,354.0,354.0,4167.29628062,1476570.7446201
2023-05-31 07:30:00,354.0,354.0,354.0,354.0,0.00040677,0.14399658
2023-05-31 07:35:00,353.0,353.0,353.0,353.0,29375.16878915,10369434.58256995
2023-05-31 07:40:00,353.0,353.0,353.0,353.0,28606.80341804,10098201.60656812
2023-05-31 07:50:00,354.0,354.0,354.0,354.0,874.48546894,309567.85600476
2023-05-31 07:55:00,354.0,354.0,354.0,354.0,965.037,341623.098
2023-05-31 08:05:00,356.0,356.0,356.0,356.0,3216.06628749,1144919.59834644
2023-05-31 08:15:00,356.0,356.0,355.0,355.0,15090.69211073,5357364.23863499
2023-05-31 08:20:00,355.0,355.0,355.0,355.0,1408.45070422,499999.9999981
2023-05-31 08:25:00,355.0,355.0,354.0,354.0,3452.34418214,1222270.68554798
2023-05-31 08:30:00,353.0,353.0,353.0,353.0,10863.28863438,3834740.88793614
2023-05-31 08:35:00,353.0,353.0,353.0,353.0,500.0,176500.0
2023-05-31 08:40:00,354.0,354.0,354.0,354.0,4353.14138417,1541012.04999618
2023-05-31 08:50:00,354.0,354.0,354.0,354.0,21258.39548022,7525471.99999788
2023-05-31 08:55:00,353.0,353.0,353.0,353.0,21581.52122251,7618276.99154603
2023-05-31 09:00:00,354.0,366.0,353.0,354.0,1256543.47285589,449367648.7889228
2023-05-31 09:05:00,353.0,354.0,352.0,353.0,88724.93041302,31287778.25440053
2023-05-31 09:10:00,352.0,353.0,351.0,352.0,88695.2952014,31200104.46905256
2023-05-31 09:15:00,352.0,352.0,351.0,351.0,19149.13608178,6725821.52707487
2023-05-31 09:20:00,351.0,352.0,350.0,351.0,123788.64505285,43436200.23334089
2023-05-31 09:25:00,351.0,352.0,350.0,350.0,111424.54409688,39009223.63174472
2023-05-31 09:30:00,351.0,351.0,350.0,351.0,13583.26387316,4765786.05019108
2023-05-31 09:35:00,350.0,351.0,350.0,350.0,17430.61757879,6105548.37916328
2023-05-31 09:40:00,351.0,351.0,351.0,351.0,3000.0,1053000.0
2023-05-31 09:50:00,350.0,352.0,350.0,352.0,1515.92021651,532826.57999891
2023-05-31 09:55:00,352.0,352.0,352.0,352.0,6803.69793421,2394901.67284192
2023-05-31 10:00:00,352.0,352.0,352.0,352.0,1904.19128922,670275.33380544
2023-05-31 10:05:00,352.0,352.0,351.0,351.0,2781.87556545,977638.32347295
2023-05-31 10:10:00,352.0,352.0,352.0,352.0,12768.50576836,4494514.03046272
2023-05-31 10:15:00,353.0,353.0,353.0,353.0,9270.15436517,3272364.49090501
2023-05-31 10:20:00,353.0,354.0,352.0,353.0,18551.49055837,6544448.44430475
2023-05-31 10:25:00,354.0,354.0,354.0,354.0,16.04490233,5679.89542482
2023-05-31 10:40:00,353.0,353.0,352.0,352.0,6271.04292045,2211806.32244773
2023-05-31 10:45:00,352.0,353.0,352.0,353.0,611.3053208,215732.64158018
2023-05-31 10:50:00,354.0,354.0,354.0,354.0,28.24858757,9999.99999978
2023-05-31 10:55:00,353.0,353.0,353.0,353.0,3269.05700937,1153977.12430761
2023-05-31 11:00:00,352.0,352.0,352.0,352.0,6794.3699242,2391618.2133184
2023-05-31 11:05:00,353.0,353.0,352.0,352.0,67961.61411273,23922720.34620925
2023-05-31 11:10:00,352.0,352.0,352.0,352.0,4082.90909773,1437184.00240096
2023-05-31 11:15:00,352.0,352.0,352.0,352.0,205.89255161,72474.17816672
2023-05-31 11:20:00,351.0,352.0,351.0,351.0,7066.19319315,2483129.53504927
2023-05-31 11:25:00,352.0,352.0,352.0,352.0,2839.48934623,999500.24987296
