,open,high,low,close,volume,value
2023-05-30 15:20:00,753.0,753.0,753.0,753.0,6699.0924099,5044416.5846547
2023-05-30 15:25:00,752.0,753.0,752.0,753.0,2108.98496454,1587784.30258814
2023-05-30 15:30:00,754.0,754.0,754.0,754.0,6.65517241,5017.99999714
2023-05-30 15:35:00,754.0,754.0,754.0,754.0,265.25198938,199999.99999252
2023-05-30 15:40:00,754.0,754.0,753.0,753.0,1363.18365165,1026483.92231844
2023-05-30 15:45:00,752.0,753.0,752.0,753.0,886.68140514,666817.73671838
2023-05-30 15:50:00,753.0,753.0,751.0,752.0,2688.91599491,2022098.13047838
2023-05-30 15:55:00,752.0,753.0,752.0,753.0,658.74285811,495387.71830395
2023-05-30 16:00:00,751.0,754.0,751.0,754.0,733.45523684,551747.69523411
2023-05-30 16:05:00,754.0,754.0,754.0,754.0,1167.81763924,880534.49998696
2023-05-30 16:10:00,753.0,753.0,753.0,753.0,1801.81479716,1356766.54226148
2023-05-30 16:15:00,753.0,753.0,753.0,753.0,486.2502539,366146.4411867
2023-05-30 16:20:00,754.0,755.0,754.0,755.0,440.79366719,332371.67009437
2023-05-30 16:25:00,754.0,754.0,754.0,754.0,4728.50293905,3565291.2160437
2023-05-30 16:30:00,753.0,753.0,753.0,753.0,5453.41926489,4106424.70646217
2023-05-30 16:35:00,753.0,753.0,752.0,752.0,1175.32297832,884604.04716228
2023-05-30 16:40:00,752.0,752.0,751.0,751.0,1128.9718048,848759.64141732
2023-05-30 16:45:00,751.0,751.0,751.0,751.0,406.85419645,305547.50153395
2023-05-30 16:50:00,752.0,752.0,751.0,751.0,718.59987547,539902.73643745
2023-05-30 16:55:00,752.0,752.0,752.0,752.0,13.29787234,9999.99999968
2023-05-30 17:00:00,752.0,752.0,752.0,752.0,804.99081205,605353.0906616
2023-05-30 17:05:00,752.0,752.0,752.0,752.0,5285.43472862,3974646.91592224
2023-05-30 17:10:00,752.0,752.0,752.0,752.0,1395.71836422,1049580.20989344
2023-05-30 17:15:00,753.0,754.0,753.0,754.0,1565.0924813,1179840.89836584
2023-05-30 17:20:00,754.0,754.0,754.0,754.0,6.70424403,5054.99999862
2023-05-30 17:25:00,754.0,754.0,753.0,753.0,2530.20623402,1906666.10986688
2023-05-30 17:40:00,752.0,752.0,752.0,752.0,132.80212484,99867.19787968
2023-05-30 17:45:00,753.0,753.0,752.0,752.0,6950.55702461,5227769.43953133
2023-05-30 17:55:00,753.0,753.0,753.0,753.0,766.19326458,576943.52822874
2023-05-30 18:00:00,752.0,753.0,752.0,753.0,571.26667591,429619.39287396
2023-05-30 18:05:00,753.0,753.0,753.0,753.0,2419.63245919,1821983.24177007
2023-05-30 18:10:00,754.0,754.0,754.0,754.0,1632.55745464,1230948.32079856
2023-05-30 18:20:00,754.0,754.0,754.0,754.0,815.88635754,615178.31358516
2023-05-30 18:25:00,755.0,755.0,755.0,755.0,200.0,151000.0
2023-05-30 18:30:00,754.0,754.0,754.0,754.0,907.60715621,684335.79578234
2023-05-30 18:35:00,756.0,756.0,755.0,755.0,2642.35626328,1995798.15625984
2023-05-30 18:40:00,754.0,754.0,753.0,754.0,698.97740935,526398.29716264
2023-05-30 18:50:00,755.0,755.0,753.0,753.0,3619.77118658,2728823.51158098
2023-05-30 18:55:00,754.0,754.0,754.0,754.0,3002.21503965,2263670.1398961
2023-05-30 19:00:00,756.0,756.0,756.0,756.0,661.37566138,500000.00000328
2023-05-30 19:05:00,754.0,754.0,754.0,754.0,918.92219028,692867.33147112
2023-05-30 19:25:00,756.0,756.0,756.0,756.0,1322.75132275,999999.999999
2023-05-30 19:30:00,756.0,757.0,755.0,757.0,16190.31877406,12252444.6846102
2023-05-30 19:45:00,757.0,757.0,756.0,756.0,1646.69414723,1244913.98534551
2023-05-30 19:50:00,755.0,756.0,755.0,756.0,171.99271171,129999.99998654
2023-05-30 19:55:00,756.0,756.0,756.0,756.0,1496.81252782,1131590.27103192
2023-05-30 20:10:00,756.0,756.0,756.0,756.0,70.97327148,53655.79323888
2023-05-30 20:15:00,757.0,757.0,757.0,757.0,6.87830687,5206.87830059
2023-05-30 20:25:00,757.0,758.0,757.0,758.0,1228.54554324,930022.16884481
2023-05-30 20:30:00,757.0,757.0,757.0,757.0,1690.85502883,1279977.25682431
2023-05-30 20:35:00,757.0,757.0,757.0,757.0,15480.68527536,11718878.75344752
2023-05-30 20:40:00,756.0,756.0,756.0,756.0,6114.12933203,4622281.77501468
2023-05-30 20:45:00,757.0,758.0,757.0,758.0,10681.13724668,8085710.01948344
2023-05-30 20:50:00,758.0,758.0,758.0,758.0,131.92612137,99999.99999846
2023-05-30 20:55:00,757.0,757.0,756.0,757.0,2700.18272132,2044023.32003924
2023-05-30 21:00:00,757.0,757.0,757.0,757.0,6.8175,5160.8475
2023-05-30 21:05:00,757.0,757.0,757.0,757.0,1230.43974513,931442.88706341
2023-05-30 21:15:00,757.0,757.0,756.0,756.0,9204.72248767,6960527.87990497
2023-05-30 21:20:00,756.0,756.0,755.0,755.0,7597.36629638,5736887.36057248
2023-05-30 21:25:00,755.0,755.0,755.0,755.0,237.81206369,179548.10808595
2023-05-30 21:30:00,755.0,755.0,755.0,755.0,535.07714331,403983.24319905
2023-05-30 21:35:00,755.0,755.0,755.0,755.0,833.69818615,629442.13054325
2023-05-30 21:40:00,755.0,755.0,755.0,755.0,4706.81593309,3553646.02948295
2023-05-30 21:45:00,755.0,755.0,755.0,755.0,148.51766191,112130.83474205
2023-05-30 21:50:00,757.0,757.0,756.0,756.0,185.0017124,139999.99999051
2023-05-30 21:55:00,756.0,756.0,755.0,755.0,1937.6615395,1463408.76220959
2023-05-30 22:00:00,754.0,756.0,754.0,756.0,313.22751322,236199.99999432
2023-05-30 22:10:00,756.0,756.0,756.0,756.0,138.74940836,104894.55272016
