,open,high,low,close,volume,value
2023-06-08 18:10:00,89.7,89.7,89.6,89.7,14027.13849481,1257692.84000694
2023-06-08 18:15:00,89.7,89.7,89.5,89.6,208977.34835525,18723813.94924074
2023-06-08 18:20:00,89.6,89.6,89.6,89.6,91971.3818309,8240635.81204865
2023-06-08 18:25:00,89.6,89.7,89.6,89.6,58067.63000297,5204530.13531385
2023-06-08 18:30:00,89.6,89.7,89.5,89.7,209887.59619798,18795800.45685471
2023-06-08 18:35:00,89.6,89.7,89.4,89.6,660287.20626248,59099950.00355308
2023-06-08 18:40:00,89.6,89.6,89.5,89.6,62089.76741578,5559207.29262393
2023-06-08 18:45:00,89.6,89.6,89.5,89.6,422148.1867429,37815669.11147978
2023-06-08 18:50:00,89.5,89.6,89.4,89.6,828488.83319358,74111750.06784447
2023-06-08 18:55:00,89.6,89.6,89.4,89.4,39415.66163901,3526765.65969875
2023-06-08 19:00:00,89.4,89.5,89.4,89.4,382922.33235221,34251567.91488296
2023-06-08 19:05:00,89.5,89.5,89.4,89.5,771503.36464399,69016412.3930665
2023-06-08 19:10:00,89.4,89.5,89.3,89.3,752217.47560737,67177053.99495924
2023-06-08 19:15:00,89.3,89.6,89.2,89.5,820619.51961362,73386814.07007714
2023-06-08 19:20:00,89.5,89.6,89.5,89.6,74319.60064581,6654924.9310917
2023-06-08 19:25:00,89.6,89.6,89.5,89.6,69081.99555317,6188416.53051187
2023-06-08 19:30:00,89.6,89.6,89.5,89.5,248570.01928938,22255572.00373319
2023-06-08 19:35:00,89.5,89.6,89.5,89.5,90375.62835803,8088698.6081533
2023-06-08 19:40:00,89.5,89.7,89.5,89.7,489315.68756005,43855676.21025129
2023-06-08 19:45:00,89.8,89.9,89.8,89.9,304140.35366144,27312041.0607753
2023-06-08 19:50:00,89.8,90.0,89.8,90.0,1230096.08141864,110623986.64638916
2023-06-08 19:55:00,90.0,90.0,89.8,89.9,2023169.14992444,181890826.05315217
2023-06-08 20:00:00,89.9,90.1,89.9,90.1,598843.74074881,53890031.87688253
2023-06-08 20:05:00,90.0,90.0,89.9,90.0,626918.14136468,56386414.73771673
2023-06-08 20:10:00,90.0,90.0,89.9,90.0,318863.09740002,28682767.1720084
2023-06-08 20:15:00,90.0,90.0,89.9,89.9,275268.30259142,24746804.7296942
2023-06-08 20:20:00,89.9,90.0,89.9,90.0,197891.17173199,17790428.00537258
2023-06-08 20:25:00,90.0,90.0,89.9,90.0,334379.01804352,30062301.64433466
2023-06-08 20:30:00,90.0,90.0,89.8,89.9,343845.33243401,30910945.35701278
2023-06-08 20:35:00,89.8,89.9,89.8,89.9,432852.6328454,38886203.4534819
2023-06-08 20:40:00,90.0,90.0,89.9,90.0,115500.47842766,10394412.94062331
2023-06-08 20:45:00,90.0,90.0,89.9,90.0,211535.82982941,19033846.38307438
2023-06-08 20:50:00,89.9,90.0,89.9,90.0,138037.99462169,12412647.18474525
2023-06-08 20:55:00,90.0,90.0,89.9,89.9,209041.43486965,18803234.98716978
2023-06-08 21:00:00,89.9,90.1,89.9,90.0,315139.48467785,28365871.35178909
2023-06-08 21:05:00,90.0,90.1,90.0,90.0,34147.70882492,3075074.19994645
2023-06-08 21:10:00,90.1,90.3,90.0,90.3,1090439.18779439,98298589.53089263
2023-06-08 21:15:00,90.3,90.3,90.0,90.0,793667.43210972,71462511.01729354
2023-06-08 21:20:00,90.0,90.0,89.9,89.9,375297.55136434,33754362.61209405
2023-06-08 21:25:00,89.9,89.9,89.8,89.8,493263.44146875,44322231.76678679
