,open,high,low,close,volume,value
2023-06-08 17:40:00,2435000.0,2435000.0,2434000.0,2435000.0,1.26132583,3071248.70287
2023-06-08 17:45:00,2435000.0,2435000.0,2433000.0,2433000.0,6.62730231,16135319.51432
2023-06-08 17:50:00,2432000.0,2434000.0,2430000.0,2432000.0,37.32451504,90728152.47757
2023-06-08 17:55:00,2434000.0,2434000.0,2433000.0,2434000.0,1.82552623,4441585.40586
2023-06-08 18:00:00,2434000.0,2434000.0,2434000.0,2434000.0,7.38400027,17972656.65718
2023-06-08 18:05:00,2434000.0,2434000.0,2431000.0,2432000.0,11.84598062,28818111.78134
2023-06-08 18:10:00,2432000.0,2434000.0,2431000.0,2431000.0,6.89914872,16777276.95617
2023-06-08 18:15:00,2431000.0,2434000.0,2431000.0,2434000.0,5.59626393,13609072.29246
2023-06-08 18:20:00,2434000.0,2434000.0,2432000.0,2433000.0,2.79013754,6787008.14987
2023-06-08 18:25:00,2433000.0,2433000.0,2432000.0,2432000.0,19.70587839,47941735.06047
2023-06-08 18:30:00,2432000.0,2434000.0,2432000.0,2434000.0,4.31886366,10508312.93318
2023-06-08 18:35:00,2432000.0,2434000.0,2432000.0,2433000.0,13.83021068,33654336.53944
2023-06-08 18:40:00,2433000.0,2434000.0,2433000.0,2434000.0,1.9678758,4788970.0361
2023-06-08 18:45:00,2434000.0,2434000.0,2432000.0,2433000.0,16.69653136,40636764.71414
2023-06-08 18:50:00,2433000.0,2434000.0,2431000.0,2433000.0,37.97824544,92364894.74344
2023-06-08 18:55:00,2433000.0,2434000.0,2431000.0,2431000.0,41.95778241,102018812.74338
2023-06-08 19:00:00,2431000.0,2434000.0,2431000.0,2434000.0,5.38656295,13102337.71463
2023-06-08 19:05:00,2431000.0,2434000.0,2431000.0,2432000.0,7.09985711,17280919.51088
2023-06-08 19:10:00,2433000.0,2434000.0,2430000.0,2431000.0,10.20032087,24802106.18187
2023-06-08 19:15:00,2431000.0,2434000.0,2431000.0,2434000.0,31.25533974,76015398.81138
2023-06-08 19:20:00,2433000.0,2435000.0,2433000.0,2433000.0,6.36164883,15479628.03953
2023-06-08 19:25:00,2433000.0,2434000.0,2431000.0,2431000.0,5.10515116,12420517.58143
2023-06-08 19:30:00,2431000.0,2434000.0,2431000.0,2433000.0,4.77727996,11622170.32424
2023-06-08 19:35:00,2433000.0,2434000.0,2430000.0,2431000.0,7.95646921,19344829.17376
2023-06-08 19:40:00,2431000.0,2435000.0,2430000.0,2435000.0,45.81443957,111437909.06469
2023-06-08 19:45:00,2435000.0,2438000.0,2435000.0,2437000.0,22.92439019,55855255.13491
2023-06-08 19:50:00,2438000.0,2439000.0,2437000.0,2438000.0,28.35824492,69115548.80362
2023-06-08 19:55:00,2438000.0,2440000.0,2437000.0,2440000.0,17.50659031,42689177.21835
2023-06-08 20:00:00,2440000.0,2443000.0,2438000.0,2441000.0,45.46093808,110953454.89438
2023-06-08 20:05:00,2441000.0,2442000.0,2437000.0,2437000.0,42.37482854,103390040.51742
2023-06-08 20:10:00,2437000.0,2441000.0,2436000.0,2441000.0,16.98256155,41416410.24212
2023-06-08 20:15:00,2441000.0,2441000.0,2438000.0,2440000.0,12.90222785,31472255.65609
2023-06-08 20:20:00,2440000.0,2442000.0,2440000.0,2442000.0,20.16081733,49218209.79087
2023-06-08 20:25:00,2441000.0,2441000.0,2438000.0,2439000.0,7.6215984,18590458.93766
2023-06-08 20:30:00,2439000.0,2441000.0,2438000.0,2440000.0,22.27600729,54345169.38428
2023-06-08 20:35:00,2438000.0,2440000.0,2438000.0,2439000.0,10.85569787,26483369.99418
2023-06-08 20:40:00,2438000.0,2440000.0,2438000.0,2439000.0,4.95813373,12090969.55981
2023-06-08 20:45:00,2438000.0,2438000.0,2436000.0,2438000.0,6.48001175,15792853.8092
2023-06-08 20:50:00,2438000.0,2438000.0,2436000.0,2438000.0,7.70976906,18795813.49804
2023-06-08 20:55:00,2438000.0,2438000.0,2437000.0,2437000.0,1.72427832,4203278.71639
2023-06-08 21:00:00,2438000.0,2439000.0,2437000.0,2439000.0,27.82184981,67835960.23146
2023-06-08 21:05:00,2439000.0,2439000.0,2438000.0,2439000.0,10.47615674,25550585.86727
2023-06-08 21:10:00,2439000.0,2442000.0,2438000.0,2442000.0,51.84729361,126524594.34969
2023-06-08 21:15:00,2442000.0,2442000.0,2439000.0,2440000.0,7.63073658,18615906.98696
2023-06-08 21:20:00,2439000.0,2439000.0,2437000.0,2437000.0,9.45475866,23045054.88963
2023-06-08 21:25:00,2438000.0,2440000.0,2437000.0,2439000.0,11.05365569,26956129.55462
2023-06-08 21:30:00,2440000.0,2442000.0,2439000.0,2441000.0,21.26681639,51911057.48071
2023-06-08 21:35:00,2441000.0,2455000.0,2440000.0,2449000.0,225.31457545,551444398.52866
2023-06-08 21:40:00,2447000.0,2448000.0,2445000.0,2447000.0,30.0684153,73554608.07288
2023-06-08 21:45:00,2448000.0,2452000.0,2447000.0,2451000.0,52.66216886,129060067.08225
2023-06-08 21:50:00,2451000.0,2453000.0,2451000.0,2452000.0,57.81820525,141784817.63851
2023-06-08 21:55:00,2452000.0,2452000.0,2445000.0,2445000.0,77.27922992,189182759.69508
2023-06-08 22:00:00,2444000.0,2446000.0,2433000.0,2437000.0,150.01888282,365824796.22695
2023-06-08 22:05:00,2437000.0,2441000.0,2436000.0,2437000.0,25.97355971,63337062.3184
2023-06-08 22:10:00,2440000.0,2440000.0,2436000.0,2437000.0,31.68058241,77199859.61631
2023-06-08 22:15:00,2437000.0,2438000.0,2434000.0,2437000.0,10.24172512,24949127.91953
2023-06-08 22:20:00,2435000.0,2440000.0,2435000.0,2440000.0,14.16655799,34531758.89845
2023-06-08 22:25:00,2439000.0,2441000.0,2437000.0,2440000.0,15.40239584,37559814.56975
2023-06-08 22:30:00,2440000.0,2441000.0,2438000.0,2439000.0,6.97833043,17027052.81813
2023-06-08 22:35:00,2438000.0,2446000.0,2435000.0,2445000.0,41.24665206,100665132.87441
2023-06-08 22:40:00,2444000.0,2447000.0,2443000.0,2445000.0,14.71462757,35970978.44263
2023-06-08 22:45:00,2445000.0,2446000.0,2440000.0,2440000.0,7.7029092,18815230.55861
2023-06-08 22:50:00,2440000.0,2443000.0,2440000.0,2440000.0,28.44229262,69445908.09296
