,open,high,low,close,volume,value
2023-06-08 16:10:00,821.0,824.0,821.0,823.0,62644.22068527,51554554.32576631
2023-06-08 16:15:00,823.0,824.0,823.0,823.0,29434.67651661,24226778.98816843
2023-06-08 16:20:00,822.0,823.0,821.0,822.0,17981.83724698,14780228.38723481
2023-06-08 16:25:00,821.0,824.0,821.0,824.0,18216.66027553,14977227.5954718
2023-06-08 16:30:00,824.0,824.0,822.0,823.0,4294.75144528,3531813.67973882
2023-06-08 16:35:00,823.0,823.0,822.0,822.0,8619.93470921,7089894.03995289
2023-06-08 16:40:00,823.0,823.0,822.0,822.0,5549.61160078,4561930.8114686
2023-06-08 16:45:00,822.0,823.0,821.0,821.0,20884.38759098,17169671.01680056
2023-06-08 16:50:00,821.0,821.0,818.0,821.0,47424.12967854,38868612.00878786
2023-06-08 16:55:00,820.0,822.0,820.0,822.0,12375.42558313,10147864.28025513
2023-06-08 17:00:00,821.0,822.0,820.0,821.0,9764.58616114,8012919.85699697
2023-06-08 17:05:00,820.0,821.0,820.0,820.0,15894.03522926,13035790.92430115
2023-06-08 17:10:00,820.0,821.0,819.0,820.0,61588.31191891,50502438.3796689
2023-06-08 17:15:00,820.0,820.0,819.0,819.0,20037.75007027,16412975.31680095
2023-06-08 17:20:00,819.0,820.0,818.0,820.0,16707.64946695,13685805.70012012
2023-06-08 17:25:00,820.0,820.0,819.0,820.0,1937.34173921,1587195.07953493
2023-06-08 17:30:00,820.0,821.0,820.0,820.0,26929.59645646,22082275.19052131
2023-06-08 17:35:00,819.0,821.0,819.0,820.0,45752.58556992,37530507.30929926
2023-06-08 17:40:00,821.0,822.0,820.0,822.0,2222.17665524,1824818.46040349
2023-06-08 17:45:00,822.0,822.0,821.0,821.0,28819.91876354,23685347.8085877
2023-06-08 17:50:00,822.0,822.0,822.0,822.0,61.2341849,50334.4999878
2023-06-08 17:55:00,822.0,822.0,821.0,822.0,26989.76382391,22170553.74714738
2023-06-08 18:00:00,822.0,822.0,821.0,822.0,15019.64666744,12332968.63389463
2023-06-08 18:05:00,821.0,822.0,820.0,821.0,5026.45231165,4125000.73761695
2023-06-08 18:10:00,822.0,822.0,821.0,821.0,9026.20360976,7410856.62079382
2023-06-08 18:15:00,821.0,822.0,820.0,822.0,12792.14194779,10502171.51938501
2023-06-08 18:20:00,822.0,823.0,821.0,823.0,43750.58190038,36002998.5515332
2023-06-08 18:25:00,822.0,822.0,822.0,822.0,945.89372714,777524.64370908
2023-06-08 18:30:00,822.0,823.0,822.0,822.0,12019.06943492,9886046.42029625
2023-06-08 18:35:00,822.0,822.0,821.0,821.0,16737.32040533,13744715.50531904
2023-06-08 18:40:00,821.0,823.0,820.0,823.0,7887.94066572,6474502.230216
2023-06-08 18:45:00,823.0,823.0,822.0,822.0,18463.80940559,15183695.95829383
2023-06-08 18:50:00,822.0,823.0,821.0,822.0,1894.46845323,1558582.3990532
2023-06-08 18:55:00,821.0,822.0,821.0,821.0,4700.01358774,3858746.13953454
2023-06-08 19:00:00,822.0,822.0,821.0,821.0,6527.53460715,5360882.86533991
2023-06-08 19:05:00,821.0,823.0,821.0,822.0,7886.31187124,6476500.43274261
2023-06-08 19:10:00,822.0,822.0,820.0,820.0,12326.87687316,10117658.93485484
2023-06-08 19:15:00,821.0,822.0,821.0,822.0,3615.81030683,2968700.62621062
2023-06-08 19:20:00,821.0,822.0,821.0,821.0,8348.14708374,6855677.60003277
2023-06-08 19:25:00,821.0,822.0,821.0,822.0,82.23105544,67570.73512345
2023-06-08 19:30:00,821.0,821.0,820.0,821.0,18811.11707582,15431222.91855039
2023-06-08 19:35:00,820.0,821.0,819.0,821.0,49916.61047273,40919611.41117972
2023-06-08 19:40:00,821.0,823.0,821.0,823.0,44688.4843252,36751747.9681553
2023-06-08 19:45:00,824.0,824.0,823.0,824.0,46888.30952231,38589104.17500065
2023-06-08 19:50:00,824.0,825.0,822.0,824.0,58624.37783032,48305282.8150289
2023-06-08 19:55:00,823.0,826.0,823.0,826.0,24137.61832631,19902731.48894765
2023-06-08 20:00:00,826.0,829.0,826.0,827.0,93264.37603698,77200792.23618501
2023-06-08 20:05:00,827.0,827.0,826.0,826.0,24670.96255785,20387897.61533561
2023-06-08 20:10:00,827.0,828.0,827.0,828.0,12277.87142947,10153929.93243738
2023-06-08 20:15:00,828.0,829.0,828.0,828.0,8567.98568525,7094451.87586924
2023-06-08 20:20:00,828.0,829.0,827.0,828.0,20970.88863785,17363863.39630069
2023-06-08 20:25:00,827.0,828.0,826.0,826.0,9134.74741795,7551856.38224402
2023-06-08 20:30:00,827.0,827.0,826.0,827.0,2110.67292916,1745471.02408399
2023-06-08 20:35:00,827.0,829.0,827.0,829.0,10865.99027854,8998219.10512476
2023-06-08 20:40:00,829.0,830.0,827.0,828.0,22957.88483898,19029535.72855065
2023-06-08 20:45:00,827.0,828.0,826.0,826.0,18550.96480897,15333460.67895536
2023-06-08 20:50:00,826.0,829.0,826.0,829.0,18968.3321197,15687054.74856055
2023-06-08 20:55:00,829.0,829.0,829.0,829.0,6960.61834405,5770352.60721745
2023-06-08 21:00:00,830.0,831.0,829.0,831.0,14689.23639942,12192049.87110526
2023-06-08 21:05:00,830.0,831.0,830.0,830.0,28539.95577965,23691592.4883637
2023-06-08 21:10:00,830.0,830.0,829.0,830.0,3515.78181456,2917321.14438291
2023-06-08 21:15:00,829.0,831.0,829.0,830.0,12630.55172498,10482864.81240133
2023-06-08 21:20:00,829.0,829.0,829.0,829.0,10630.66737264,8812823.25191856
2023-06-08 21:25:00,829.0,830.0,829.0,829.0,9478.25696996,7857481.6827731
2023-06-08 21:30:00,830.0,832.0,829.0,831.0,8355.09528816,6937162.77291662
2023-06-08 21:35:00,831.0,834.0,831.0,834.0,29606.68257451,24662040.55409643
2023-06-08 21:40:00,833.0,834.0,832.0,834.0,33813.65963821,28185297.89279144
2023-06-08 21:45:00,833.0,836.0,832.0,836.0,34212.8434717,28548461.115638
2023-06-08 21:50:00,835.0,836.0,835.0,835.0,26324.19565792,21983223.03153616
2023-06-08 21:55:00,835.0,835.0,833.0,834.0,18120.55724276,15116609.71512304
2023-06-08 22:00:00,834.0,834.0,828.0,828.0,35900.07530725,29809676.11770051
2023-06-08 22:05:00,828.0,831.0,828.0,829.0,18346.57710955,15217310.03407034
2023-06-08 22:10:00,829.0,831.0,829.0,829.0,8870.7527077,7354047.39832663
2023-06-08 22:15:00,830.0,830.0,828.0,828.0,11883.82214873,9849470.16844368
2023-06-08 22:20:00,828.0,830.0,828.0,830.0,14292.24829182,11849781.75900183
2023-06-08 22:25:00,830.0,832.0,830.0,831.0,16237.62357345,13479967.08711191
2023-06-08 22:30:00,830.0,831.0,830.0,830.0,6958.40762879,5775502.42310038
2023-06-08 22:35:00,829.0,833.0,829.0,833.0,9753.03170194,8112551.54936147
2023-06-08 22:40:00,833.0,835.0,833.0,834.0,24755.87208669,20633197.85050271
2023-06-08 22:45:00,833.0,834.0,832.0,834.0,9794.93097068,8158886.49794036
2023-06-08 22:50:00,834.0,834.0,830.0,832.0,14540.70708012,12086123.19687024
2023-06-08 22:55:00,831.0,832.0,830.0,831.0,7982.37778383,6633323.15976734
2023-06-08 23:00:00,831.0,832.0,830.0,830.0,5113.97619224,4248764.92450613
2023-06-08 23:05:00,830.0,831.0,830.0,831.0,17213.99048128,14296251.52665344
2023-06-08 23:10:00,831.0,831.0,830.0,831.0,23146.4939809,19219843.08124152
2023-06-08 23:15:00,831.0,832.0,831.0,831.0,12002.17988842,9973864.63997951
2023-06-08 23:20:00,831.0,832.0,831.0,832.0,19576.4788426,16276459.34303707
2023-06-08 23:25:00,832.0,835.0,832.0,834.0,33881.71142495,28250534.87253011
2023-06-08 23:30:00,834.0,838.0,834.0,837.0,26331.82672952,22016639.65878408
2023-06-08 23:35:00,837.0,839.0,836.0,837.0,29639.04756633,24815210.912198
2023-06-08 23:40:00,837.0,838.0,837.0,837.0,43121.7322475,36093078.34934149
2023-06-08 23:45:00,837.0,837.0,835.0,836.0,15043.39566725,12574748.14783115
2023-06-08 23:50:00,836.0,836.0,836.0,836.0,21673.0118167,18118637.8787612
2023-06-08 23:55:00,836.0,838.0,836.0,836.0,20665.33001837,17282530.21376899
2023-06-09 00:00:00,836.0,836.0,835.0,835.0,5229.44498376,4371744.13681858
2023-06-09 00:05:00,835.0,835.0,834.0,834.0,2304.81733406,1923548.22365784
2023-06-09 00:10:00,834.0,835.0,834.0,834.0,2567.29127799,2142120.34049889
2023-06-09 00:15:00,834.0,834.0,833.0,833.0,2563.18170409,2136316.07563763
2023-06-09 00:20:00,834.0,834.0,832.0,832.0,27864.84363553,23207292.18940582
2023-06-09 00:25:00,833.0,833.0,832.0,832.0,4497.1379873,3741925.13856684
2023-06-09 00:30:00,833.0,835.0,833.0,834.0,14323.4404822,11941187.72448641
2023-06-09 00:35:00,832.0,834.0,832.0,834.0,727.35195172,605219.80464638
2023-06-09 00:40:00,834.0,834.0,834.0,834.0,1501.19904076,1251999.99999384
2023-06-09 00:45:00,834.0,835.0,833.0,833.0,48308.59129064,40286620.68237578
2023-06-09 00:50:00,833.0,834.0,832.0,834.0,4877.27315347,4063985.9419337
2023-06-09 00:55:00,833.0,835.0,833.0,833.0,3180.66550801,2652697.94804255
2023-06-09 01:00:00,833.0,835.0,833.0,833.0,16790.90401982,13986870.95270166
2023-06-09 01:05:00,833.0,833.0,832.0,832.0,10428.13306791,8681681.84524161
2023-06-09 01:10:00,834.0,834.0,832.0,833.0,3036.04260977,2526718.62163558
2023-06-09 01:15:00,834.0,834.0,833.0,833.0,1770.74430007,1476600.74536356
2023-06-09 01:20:00,833.0,834.0,832.0,833.0,16993.7483069,14140758.0704996
2023-06-09 01:25:00,832.0,833.0,832.0,833.0,9134.85765239,7600207.58119424
2023-06-09 01:30:00,832.0,832.0,831.0,831.0,15781.68494807,13129729.24448105
2023-06-09 01:35:00,831.0,831.0,830.0,830.0,47319.7221114,39289320.36096492
2023-06-09 01:40:00,830.0,830.0,829.0,829.0,3213.55943913,2666536.36941025
2023-06-09 01:45:00,830.0,830.0,826.0,826.0,37951.18228424,31400904.1628153
2023-06-09 01:50:00,826.0,827.0,824.0,827.0,13544.72001563,11175721.69278722
2023-06-09 01:55:00,826.0,827.0,826.0,827.0,5944.31764396,4910156.37391096
2023-06-09 02:00:00,828.0,828.0,826.0,826.0,10979.91834345,9085312.9759479
2023-06-09 02:05:00,826.0,826.0,825.0,825.0,10243.30687373,8452329.17752665
2023-06-09 02:10:00,826.0,826.0,825.0,826.0,1652.21222286,1364186.46400477
2023-06-09 02:15:00,826.0,827.0,825.0,825.0,8024.60506962,6621891.29893717
2023-06-09 02:20:00,826.0,827.0,826.0,827.0,1667.74733967,1378042.97850454
2023-06-09 02:25:00,824.0,825.0,824.0,824.0,5876.74400585,4842443.2225404
2023-06-09 02:30:00,824.0,825.0,824.0,825.0,6872.47575378,5668322.22556149
