,open,high,low,close,volume,value
2023-06-06 17:25:00,3540.0,3540.0,3530.0,3530.0,16806.64076777,59442254.61669885
2023-06-06 17:30:00,3530.0,3545.0,3510.0,3545.0,40214.68795191,141841365.60519186
2023-06-06 17:35:00,3545.0,3620.0,3545.0,3615.0,117275.17191751,419952276.0543119
2023-06-06 17:40:00,3600.0,3615.0,3570.0,3580.0,170745.21633615,613186107.9730347
2023-06-06 17:45:00,3570.0,3585.0,3545.0,3555.0,79367.80711258,283019303.0549535
2023-06-06 17:50:00,3555.0,3580.0,3545.0,3575.0,29453.12844035,104838424.3597559
2023-06-06 17:55:00,3580.0,3595.0,3565.0,3570.0,43320.17712883,155115706.3614856
2023-06-06 18:00:00,3570.0,3570.0,3550.0,3555.0,17239.9669514,61348808.4843882
2023-06-06 18:05:00,3560.0,3565.0,3555.0,3555.0,5728.66981429,20391891.73935775
2023-06-06 18:10:00,3555.0,3565.0,3540.0,3545.0,13546.54462487,48078180.24162345
2023-06-06 18:15:00,3540.0,3560.0,3540.0,3545.0,33099.01367867,117416094.48786795
2023-06-06 18:20:00,3550.0,3560.0,3545.0,3545.0,6079.3989443,21583863.61807445
2023-06-06 18:25:00,3545.0,3550.0,3525.0,3545.0,35722.51015885,126301438.66212934
2023-06-06 18:30:00,3545.0,3545.0,3535.0,3535.0,4402.04108056,15597201.4016069
2023-06-06 18:35:00,3535.0,3535.0,3530.0,3535.0,13060.01282918,46144170.00866845
2023-06-06 18:40:00,3535.0,3535.0,3525.0,3530.0,22815.15742693,80529784.8114325
2023-06-06 18:45:00,3530.0,3550.0,3525.0,3540.0,8250.20049431,29136381.2310012
2023-06-06 18:50:00,3545.0,3555.0,3535.0,3545.0,8288.01009066,29353771.0345709
2023-06-06 18:55:00,3545.0,3555.0,3535.0,3540.0,7688.38887304,27280331.13429545
2023-06-06 19:00:00,3540.0,3545.0,3535.0,3535.0,5361.74697198,18969267.4859052
2023-06-06 19:05:00,3535.0,3545.0,3535.0,3535.0,4097.28414024,14489008.2696367
2023-06-06 19:10:00,3535.0,3570.0,3535.0,3570.0,14697.09897854,52250087.7145002
2023-06-06 19:15:00,3565.0,3575.0,3550.0,3550.0,62662.95456413,223363885.655174
2023-06-06 19:20:00,3550.0,3555.0,3545.0,3545.0,7925.29151459,28140613.94056625
2023-06-06 19:25:00,3545.0,3545.0,3535.0,3540.0,7012.806078,24831343.8277118
2023-06-06 19:30:00,3540.0,3555.0,3535.0,3555.0,3728.38273025,13199258.82054045
2023-06-06 19:35:00,3545.0,3545.0,3540.0,3540.0,1126.78982231,3993995.90616225
2023-06-06 19:40:00,3540.0,3545.0,3530.0,3530.0,24082.57741108,85179881.2757045
2023-06-06 19:45:00,3535.0,3535.0,3525.0,3530.0,16268.49895505,57366085.6387213
2023-06-06 19:50:00,3530.0,3545.0,3530.0,3540.0,5301.4419093,18741023.53504365
2023-06-06 19:55:00,3530.0,3535.0,3525.0,3525.0,8333.33153303,29395479.97737255
2023-06-06 20:00:00,3525.0,3530.0,3510.0,3510.0,22321.79002122,78494457.22692975
2023-06-06 20:05:00,3515.0,3515.0,3500.0,3505.0,21654.11477404,75982191.2164011
2023-06-06 20:10:00,3500.0,3555.0,3500.0,3515.0,55238.22750852,195316063.97517684
2023-06-06 20:15:00,3515.0,3525.0,3505.0,3515.0,12904.8656288,45291506.6391495
2023-06-06 20:20:00,3515.0,3520.0,3510.0,3510.0,5558.37509799,19529182.0850534
2023-06-06 20:25:00,3510.0,3515.0,3500.0,3500.0,16829.81420135,58939412.80934365
2023-06-06 20:30:00,3500.0,3565.0,3500.0,3555.0,90068.24773109,318937218.4041377
2023-06-06 20:35:00,3560.0,3560.0,3515.0,3525.0,57917.27943928,204853130.7914648
2023-06-06 20:40:00,3525.0,3535.0,3510.0,3515.0,8311.86695693,29245412.08486155
2023-06-06 20:45:00,3515.0,3525.0,3510.0,3510.0,6780.65185574,23836653.1018182
2023-06-06 20:50:00,3510.0,3515.0,3505.0,3510.0,10177.31277262,35720510.23237475
2023-06-06 20:55:00,3515.0,3520.0,3510.0,3515.0,3431.02381426,12050768.07623105
2023-06-06 21:00:00,3515.0,3525.0,3515.0,3525.0,5428.94258668,19101267.5385117
2023-06-06 21:05:00,3525.0,3555.0,3520.0,3545.0,23497.45606915,83181651.6552208
2023-06-06 21:10:00,3530.0,3545.0,3455.0,3455.0,69542.13479029,242624058.4551744
2023-06-06 21:15:00,3455.0,3500.0,3455.0,3475.0,31344.41659496,108850380.1949596
2023-06-06 21:20:00,3475.0,3480.0,3460.0,3460.0,14901.60553192,51638610.96212425
2023-06-06 21:25:00,3455.0,3470.0,3455.0,3460.0,13727.04519841,47519879.57662215
2023-06-06 21:30:00,3460.0,3510.0,3455.0,3470.0,81659.68474214,284087921.49430203
2023-06-06 21:35:00,3470.0,3475.0,3455.0,3470.0,16090.70499838,55702066.0256405
2023-06-06 21:40:00,3470.0,3470.0,3455.0,3465.0,32454.60003609,112369182.22578
2023-06-06 21:45:00,3465.0,3475.0,3460.0,3465.0,7740.54186835,26842344.527132
2023-06-06 21:50:00,3465.0,3475.0,3465.0,3470.0,15558.34979591,53923011.24965055
2023-06-06 21:55:00,3470.0,3470.0,3450.0,3455.0,8552.95018714,29583066.7854969
2023-06-06 22:00:00,3455.0,3460.0,3420.0,3420.0,24873.51895856,85613679.282159
2023-06-06 22:05:00,3420.0,3430.0,3400.0,3405.0,29087.9278039,99165714.06565595
2023-06-06 22:10:00,3400.0,3405.0,3380.0,3395.0,35621.61629699,120675736.3423217
2023-06-06 22:15:00,3395.0,3485.0,3395.0,3440.0,106700.82726562,369433493.744581
2023-06-06 22:20:00,3440.0,3490.0,3420.0,3465.0,102238.03987772,353497394.1203411
2023-06-06 22:25:00,3460.0,3475.0,3440.0,3445.0,29310.71029993,101076236.96066615
