,open,high,low,close,volume,value
2023-05-27 11:15:00,30.8,30.8,30.8,30.8,310.55900621,9565.21739127
2023-05-27 11:20:00,30.8,30.8,30.8,30.8,4027.29656063,124040.7340674
2023-05-27 11:30:00,30.8,30.8,30.8,30.8,3209.6859597,98858.32755876
2023-05-27 11:35:00,30.9,30.9,30.9,30.9,3236.24595469,99999.99999992
2023-05-27 11:40:00,30.9,30.9,30.9,30.9,97402.59740259,3009740.25974003
2023-05-27 11:45:00,30.9,30.9,30.9,30.9,700.0,21630.0
2023-05-27 12:20:00,30.9,30.9,30.9,30.9,3236.24595469,99999.99999992
2023-05-27 12:25:00,30.9,30.9,30.9,30.9,970.8737864,29999.99999976
2023-05-27 12:35:00,30.9,30.9,30.9,30.9,2940.16520388,90851.10479989
2023-05-27 12:40:00,30.9,30.9,30.9,30.9,323.62459546,9999.99999971
2023-05-27 12:45:00,30.9,30.9,30.9,30.9,989.27773139,30568.68189995
2023-05-27 12:50:00,30.9,30.9,30.9,30.9,3236.24595469,99999.99999992
2023-05-27 12:55:00,30.9,30.9,30.9,30.9,6259.25703864,193411.04249397
2023-05-27 13:05:00,30.9,30.9,30.9,30.9,1293.85113268,39979.99999981
2023-05-27 13:10:00,30.9,30.9,30.9,30.9,787.0151165,24318.76709985
2023-05-27 13:15:00,30.9,30.9,30.8,30.9,29822.0998361,919077.49188166
2023-05-27 13:30:00,30.9,30.9,30.9,30.9,5395.5885016,166723.68469944
2023-05-27 13:35:00,30.9,30.9,30.9,30.9,391.78918122,12106.2856997
2023-05-27 13:40:00,30.9,30.9,30.8,30.8,2042.38310797,62956.26380314
2023-05-27 13:45:00,30.8,30.8,30.8,30.8,145450.71963016,4479882.16460893
2023-05-27 13:50:00,30.8,30.8,30.8,30.8,0.00016968,0.00522614
2023-05-27 13:55:00,30.9,30.9,30.9,30.9,220.0,6798.0
2023-05-27 14:00:00,30.9,30.9,30.9,30.9,1779.96763754,55000.99999999
2023-05-27 14:05:00,30.8,30.8,30.8,30.8,8653.43122107,266525.68160895
2023-05-27 14:10:00,30.7,30.9,30.7,30.9,69334.91909385,2141526.99999997
2023-05-27 14:20:00,30.8,30.8,30.7,30.7,17974.51675767,553482.21659814
2023-05-27 14:25:00,30.7,30.7,30.7,30.7,89018.564587,2732869.9328209
2023-05-27 14:30:00,30.8,30.8,30.8,30.8,72871.84122002,2244452.70957661
2023-05-27 14:40:00,30.8,30.8,30.8,30.8,69265.85287737,2133388.268623
2023-05-27 14:50:00,30.8,30.8,30.8,30.8,4109.147,126561.7276
2023-05-27 14:55:00,30.8,30.8,30.8,30.8,0.00012263,0.003777
2023-05-27 15:05:00,30.9,30.9,30.9,30.9,35949.633,1110843.6597
2023-05-27 15:10:00,30.9,30.9,30.8,30.8,5546.75324675,171069.99999991
2023-05-27 15:15:00,30.9,30.9,30.9,30.9,15216.354,470185.3386
2023-05-27 15:20:00,30.8,30.9,30.8,30.9,103132.89724236,3180168.72226468
2023-05-27 15:25:00,30.9,30.9,30.9,30.9,12301.51,380116.659
2023-05-27 15:30:00,30.9,30.9,30.9,30.9,250.40716612,7737.58143311
2023-05-27 16:10:00,30.8,30.8,30.8,30.8,1300.0,40040.0
2023-05-27 16:30:00,30.8,31.0,30.8,31.0,4199.83242563,129999.99999973
2023-05-27 16:55:00,30.8,30.8,30.8,30.8,21832.01277866,672425.99358273
2023-05-27 17:10:00,30.9,30.9,30.9,30.9,11326.86084142,349999.99999988
2023-05-27 17:15:00,30.9,30.9,30.9,30.9,970.8737864,29999.99999976
2023-05-27 17:20:00,30.9,30.9,30.8,30.8,22235.03350123,687018.56666594
2023-05-27 17:40:00,30.8,30.8,30.8,30.8,27247.95640326,839237.05722041
2023-05-27 17:45:00,30.8,30.8,30.8,30.8,2013.64828032,62020.36703386
2023-05-27 18:10:00,30.8,30.8,30.8,30.8,32575.68291328,1003331.03372902
2023-05-27 18:35:00,30.7,30.7,30.7,30.7,76009.92679768,2333504.75268878
2023-05-27 18:40:00,30.9,30.9,30.9,30.9,16835.78922512,520225.88705621
2023-05-27 18:50:00,30.9,30.9,30.8,30.8,13938.51456148,430600.09994973
2023-05-27 19:25:00,30.9,30.9,30.9,30.9,421.84594498,13035.03969988
2023-05-27 19:35:00,30.9,30.9,30.9,30.9,359.92419741,11121.65769997
2023-05-27 19:45:00,30.9,30.9,30.9,30.9,200.0,6180.0
2023-05-27 19:55:00,30.9,30.9,30.9,30.9,324.45216504,10025.57189974
2023-05-27 20:10:00,30.9,30.9,30.9,30.9,55662.347,1719966.5223
2023-05-27 20:15:00,30.9,31.0,30.8,30.8,6360.11947686,196520.61695609
2023-05-27 20:20:00,30.8,30.8,30.8,30.8,5552.77916597,171025.59831188
2023-05-27 20:30:00,30.9,30.9,30.9,30.9,21430.0,662187.0
2023-05-27 20:35:00,31.0,31.0,31.0,31.0,345.47055806,10709.58729986
2023-05-27 20:40:00,31.0,31.0,30.9,30.9,41044.83442947,1268349.89999966
2023-05-27 21:00:00,30.9,30.9,30.9,30.9,323.62459546,9999.99999971
2023-05-27 21:15:00,30.9,30.9,30.9,30.9,30654.727,947231.0643
2023-05-27 21:20:00,30.8,30.8,30.8,30.8,9740.25974026,300000.00000001
2023-05-27 21:25:00,30.8,30.8,30.8,30.8,7766.82721077,239218.27809172
2023-05-27 21:35:00,30.8,30.8,30.8,30.8,26896.36001224,828407.88837699
2023-05-27 21:45:00,30.8,30.8,30.8,30.8,51029.23706458,1571700.50158906
2023-05-27 22:55:00,30.8,30.8,30.8,30.8,474189.8632227,14605047.78725916
2023-05-27 23:00:00,30.7,30.9,30.7,30.8,408304.71107689,12552380.11251532
2023-05-27 23:05:00,30.8,30.8,30.8,30.8,6312.52633459,194425.81110537
2023-05-27 23:10:00,30.8,30.8,30.7,30.8,87457.33518467,2685619.32223888
2023-05-27 23:15:00,30.7,30.8,30.7,30.8,22438.45555825,688934.48563828
2023-05-27 23:20:00,30.7,30.9,30.7,30.8,302319.30940558,9302503.56859065
2023-05-27 23:35:00,30.9,30.9,30.9,30.9,32562.13317289,1006169.9150423
2023-05-27 23:45:00,30.8,30.9,30.8,30.9,64290.0,1982275.0
2023-05-28 00:00:00,30.9,30.9,30.9,30.9,171430.10517798,5297190.24999958
2023-05-28 00:05:00,30.7,30.7,30.7,30.7,2569.57998997,78886.10569208
2023-05-28 00:10:00,30.8,30.8,30.8,30.8,6923.07692307,213230.76923055
2023-05-28 00:45:00,30.8,30.8,30.8,30.8,1493.40989517,45997.02477124
2023-05-28 00:55:00,30.8,30.8,30.8,30.8,32391.03101603,997643.75529373
2023-05-28 01:00:00,30.8,30.8,30.8,30.8,126441.32467532,3894392.79999986
2023-05-28 01:05:00,30.8,30.8,30.8,30.8,2922.07792207,89999.99999976
2023-05-28 01:10:00,30.7,30.7,30.7,30.7,13000.21360283,399106.55760688
2023-05-28 01:25:00,30.9,30.9,30.9,30.9,161.81229773,4999.99999986
2023-05-28 01:45:00,30.8,30.8,30.8,30.8,32051.28205128,987179.48717942
2023-05-28 02:55:00,31.0,31.0,31.0,31.0,170.10204081,5273.16326511
2023-05-28 03:15:00,31.0,31.0,31.0,31.0,322580.64516129,9999999.99999999
2023-05-28 04:00:00,30.9,30.9,30.9,30.9,22730.661,702377.4249
2023-05-28 05:15:00,30.9,31.0,30.9,31.0,502.84901111,15563.48063473
2023-05-28 05:45:00,31.1,31.1,31.1,31.1,643.08681672,19999.99999999
2023-05-28 06:00:00,31.0,31.0,31.0,31.0,1992.43217159,61765.39731929
2023-05-28 06:10:00,31.1,31.1,31.1,31.1,32154.34083601,999999.99999991
2023-05-28 06:20:00,31.1,31.1,31.1,31.1,5144.69453376,159999.99999994
2023-05-28 06:35:00,31.0,31.1,31.0,31.0,24678.13339927,765182.90708155
2023-05-28 06:40:00,31.0,31.0,31.0,31.0,25086.901,777693.931
2023-05-28 06:45:00,31.0,31.0,31.0,31.0,2674.5758341,82911.8508571
2023-05-28 07:05:00,31.0,31.0,31.0,31.0,19397.044,601308.364
2023-05-28 07:15:00,31.0,31.0,31.0,31.0,11326.86084142,351132.68608402
2023-05-28 07:30:00,31.0,31.0,31.0,31.0,25178.29798619,780527.23757189
2023-05-28 07:45:00,31.0,31.1,31.0,31.1,33008.29659003,1023337.58174993
2023-05-28 07:50:00,31.1,31.1,31.1,31.1,55865.2506544,1737409.29535185
2023-05-28 08:05:00,31.1,31.1,31.1,31.1,115768.63978204,3600404.69722145
2023-05-28 08:10:00,31.1,31.1,31.0,31.0,107759.48530332,3351291.99293325
2023-05-28 08:15:00,31.0,31.0,31.0,31.0,69783.08681672,2163275.69131832
2023-05-28 08:20:00,31.1,31.1,31.0,31.0,69834.63022508,2164964.83440513
2023-05-28 08:45:00,31.0,31.0,31.0,31.0,5099.52290894,158085.21017714
2023-05-28 08:50:00,31.0,31.1,31.0,31.1,55371.76489811,1716615.21964217
2023-05-28 08:55:00,31.0,31.1,30.9,30.9,303281.81073341,9407211.81045422
2023-05-28 09:00:00,30.9,30.9,30.9,30.9,98861.54970776,3054821.88596979
2023-05-28 09:05:00,30.9,30.9,30.9,30.9,60587.83445121,1872164.08454239
2023-05-28 09:10:00,31.0,31.0,31.0,31.0,100000.0,3100000.0
2023-05-28 09:15:00,31.0,31.0,31.0,31.0,149809.38606822,4644090.96811482
2023-05-28 09:20:00,31.0,31.0,31.0,31.0,13767.59006452,426795.29200012
2023-05-28 09:25:00,31.0,31.0,30.9,30.9,389012.73773005,12020955.82947144
2023-05-28 09:30:00,31.0,31.0,31.0,31.0,33391.16434091,1035126.09456821
2023-05-28 09:40:00,31.1,31.1,31.1,31.1,36491.78026731,1134894.36631334
2023-05-28 09:45:00,31.2,31.2,31.2,31.2,116253.52660206,3627110.02998426
2023-05-28 09:50:00,31.2,31.2,31.2,31.2,340766.64743587,10631919.39999915
2023-05-28 09:55:00,31.2,31.3,31.2,31.3,278048.49434622,8684402.63255241
2023-05-28 10:00:00,31.3,31.3,31.3,31.3,311515.02955139,9750420.4249585
2023-05-28 10:05:00,31.3,31.4,31.3,31.3,190308.99780867,5962100.9063549
2023-05-28 10:10:00,31.3,31.4,31.3,31.4,91486.01814019,2871612.14468177
2023-05-28 10:15:00,31.4,31.5,31.3,31.3,47139.75492028,1478972.71235633
2023-05-28 10:20:00,31.3,31.3,31.0,31.3,558731.53234506,17365649.74212893
2023-05-28 10:25:00,31.3,31.3,31.2,31.2,513658.07496131,16032950.07399047
2023-05-28 10:30:00,31.2,31.3,31.2,31.3,86384.92703194,2695545.34639972
2023-05-28 10:35:00,31.3,31.3,31.1,31.1,10986.74850225,343808.63241359
2023-05-28 10:45:00,31.2,31.2,31.1,31.1,129676.27186178,4045860.85490136
2023-05-28 10:55:00,31.1,31.1,31.1,31.1,362.09492461,11261.15215537
2023-05-28 11:00:00,31.2,31.2,31.2,31.2,14371.65641148,448395.68003817
2023-05-28 11:05:00,31.2,31.2,31.1,31.1,91107.47489629,2836647.59747975
2023-05-28 11:10:00,31.2,31.2,31.2,31.2,6410.25641024,199999.99999948
2023-05-28 11:15:00,31.1,31.2,31.1,31.1,490.80339149,15280.33162918
2023-05-28 11:25:00,31.2,31.2,31.1,31.2,102524.90666559,3190142.09729985
2023-05-28 11:30:00,31.1,31.2,31.1,31.2,186039.82931561,5797954.20961439
2023-05-28 11:35:00,31.1,31.1,31.1,31.1,356.47780046,11086.45959431
2023-05-28 11:40:00,31.1,31.1,31.1,31.1,23707.29223772,737296.78859309
2023-05-28 11:45:00,31.1,31.4,31.1,31.3,261293.63560593,8170274.16839966
2023-05-28 11:50:00,31.3,31.3,31.3,31.3,487.43769967,15256.79999968
2023-05-28 12:00:00,31.3,31.3,31.3,31.3,32800.51658673,1026656.16916465
2023-05-28 12:40:00,31.3,31.3,31.2,31.2,3895.52512158,121859.87261118
2023-05-28 12:50:00,31.2,31.2,31.2,31.2,53891.85346759,1681425.82818881
2023-05-28 12:55:00,31.2,31.2,31.2,31.2,1780.4711418,55550.69962416
2023-05-28 13:00:00,31.2,31.2,31.2,31.2,106791.47904569,3331894.14622553
2023-05-28 13:05:00,31.2,31.2,31.2,31.2,15914.45370562,496530.95561535
2023-05-28 13:10:00,31.3,31.3,31.3,31.3,15454.72835573,483732.99753435
2023-05-28 13:15:00,31.3,31.3,31.3,31.3,70405.94718614,2203706.14692618
2023-05-28 13:20:00,31.3,31.4,31.2,31.2,116144.88350085,3630159.83461054
2023-05-28 13:25:00,31.3,31.3,31.3,31.3,651.75718848,20399.99999944
2023-05-28 13:30:00,31.2,31.2,31.2,31.2,183.48623853,5724.77064214
2023-05-28 13:40:00,31.2,31.2,31.2,31.2,69766.96955036,2176729.44997123
2023-05-28 14:00:00,31.2,31.2,31.2,31.2,36876.31562007,1150541.04734619
2023-05-28 14:25:00,31.2,31.2,31.2,31.2,52936.15566847,1651608.05685626
2023-05-28 14:30:00,31.2,31.2,31.1,31.1,10200.27243589,317248.49999977
2023-05-28 14:35:00,31.1,31.1,31.1,31.1,52547.74196021,1634234.77496253
2023-05-28 14:45:00,31.1,31.1,31.1,31.1,300.74118689,9353.05091228
2023-05-28 14:50:00,31.1,31.1,31.1,31.1,9646.3022508,299999.99999988
2023-05-28 15:00:00,31.2,31.2,31.2,31.2,81017.1196453,2527734.13293335
