,open,high,low,close,volume,value
2023-06-07 09:25:00,8210.0,8210.0,8210.0,8210.0,111.79100607,917804.1598347
2023-06-07 09:30:00,8220.0,8225.0,8220.0,8225.0,513.12920349,4218323.2181436
2023-06-07 09:35:00,8220.0,8235.0,8220.0,8230.0,107.51941806,884597.8045558
2023-06-07 09:40:00,8235.0,8235.0,8235.0,8235.0,6.374,52489.89
2023-06-07 09:45:00,8235.0,8255.0,8230.0,8230.0,2003.56871404,16496919.83520155
2023-06-07 09:50:00,8225.0,8225.0,8225.0,8225.0,1202.88681485,9893744.05214125
2023-06-07 09:55:00,8225.0,8230.0,8215.0,8215.0,2659.29069428,21852590.7667659
2023-06-07 10:00:00,8225.0,8225.0,8200.0,8200.0,825.09818965,6770956.17821205
2023-06-07 10:05:00,8200.0,8200.0,8195.0,8195.0,903.14991807,7404941.21390795
2023-06-07 10:10:00,8195.0,8195.0,8175.0,8180.0,2419.80859009,19800209.69994695
2023-06-07 10:15:00,8180.0,8185.0,8170.0,8170.0,2922.74597098,23891568.6145771
2023-06-07 10:20:00,8170.0,8175.0,8170.0,8175.0,143.11943731,1169364.5528227
2023-06-07 10:25:00,8180.0,8180.0,8175.0,8175.0,227.02421405,1856678.7493694
2023-06-07 10:30:00,8170.0,8175.0,8160.0,8165.0,1212.22433204,9901532.4594646
2023-06-07 10:35:00,8160.0,8165.0,8160.0,8160.0,889.01551063,7254867.5220194
2023-06-07 10:40:00,8160.0,8160.0,8155.0,8160.0,1933.19067123,15773391.81634045
2023-06-07 10:45:00,8155.0,8160.0,8150.0,8155.0,3866.71280064,31525486.390104
2023-06-07 10:50:00,8155.0,8155.0,8150.0,8150.0,285.01629008,2324304.1668777
2023-06-07 10:55:00,8150.0,8150.0,8145.0,8145.0,469.96276913,3829582.7318748
2023-06-07 11:00:00,8145.0,8165.0,8130.0,8165.0,3878.60990795,31581832.2913285
2023-06-07 11:05:00,8160.0,8160.0,8160.0,8160.0,80.2461424,654808.521984
2023-06-07 11:10:00,8160.0,8165.0,8155.0,8160.0,1247.41370734,10178920.8458827
2023-06-07 11:15:00,8160.0,8160.0,8150.0,8150.0,1511.9058494,12329838.48429175
2023-06-07 11:20:00,8150.0,8150.0,8150.0,8150.0,417.61872876,3403592.639394
2023-06-07 11:25:00,8150.0,8150.0,8150.0,8150.0,947.16252432,7719374.573208
2023-06-07 11:30:00,8150.0,8150.0,8145.0,8150.0,349.7761347,2850026.6156527
2023-06-07 11:35:00,8150.0,8150.0,8125.0,8125.0,6517.01229358,52968299.9032115
2023-06-07 11:40:00,8125.0,8150.0,8125.0,8150.0,583.12086754,4741781.95995
2023-06-07 11:45:00,8150.0,8150.0,8150.0,8150.0,24.5398773,199999.999995
2023-06-07 11:50:00,8140.0,8150.0,8135.0,8135.0,177.23652465,1442121.5695952
2023-06-07 11:55:00,8135.0,8135.0,8115.0,8130.0,5468.54534064,44423503.9708445
