,open,high,low,close,volume,value
2023-06-06 05:15:00,58.2,58.3,58.0,58.1,310802.5198297,18073726.34834932
2023-06-06 05:20:00,58.1,58.2,58.1,58.2,109129.07930729,6350345.30244834
2023-06-06 05:25:00,58.2,58.3,58.2,58.3,453152.01967924,26404805.78341177
2023-06-06 05:30:00,58.4,58.6,58.2,58.4,265634.99603701,15526762.75327855
2023-06-06 05:35:00,58.5,58.5,58.3,58.4,252604.99291273,14752951.24505972
2023-06-06 05:40:00,58.4,58.5,58.4,58.5,6996.83295721,409255.62799679
2023-06-06 05:45:00,58.5,58.7,58.5,58.7,86284.57937593,5057282.3531495
2023-06-06 05:50:00,58.7,58.9,58.7,58.7,144400.44707401,8479227.02620198
2023-06-06 05:55:00,58.7,58.8,58.7,58.8,68246.79926841,4011225.08153124
2023-06-06 06:00:00,58.7,59.0,58.7,58.9,280263.11722018,16497398.48594737
2023-06-06 06:05:00,58.9,58.9,58.6,58.6,119299.88397017,6998282.80460916
2023-06-06 06:10:00,58.5,58.8,58.3,58.6,325901.8886096,19016478.27164369
2023-06-06 06:15:00,58.4,58.6,58.3,58.3,640797.50505575,37364096.13984715
2023-06-06 06:20:00,58.3,58.3,58.0,58.1,149839.33650881,8712297.85411532
2023-06-06 06:25:00,58.1,58.3,58.0,58.0,105165.50518852,6104768.87448866
2023-06-06 06:30:00,58.2,58.4,58.2,58.2,53950.69267291,3142700.59730725
2023-06-06 06:35:00,58.4,58.5,58.3,58.3,140090.32291004,8168416.41104202
2023-06-06 06:40:00,58.3,58.4,58.2,58.4,159335.67277019,9292722.6835055
2023-06-06 06:45:00,58.4,58.5,58.4,58.4,229339.73508737,13397762.94101612
2023-06-06 06:50:00,58.4,59.1,58.4,59.0,728762.19918077,42715607.00789986
2023-06-06 06:55:00,59.0,59.0,58.5,58.7,428130.32275039,25128261.80591874
2023-06-06 07:00:00,58.7,58.8,58.7,58.8,611539.34987854,35955248.56695799
2023-06-06 07:05:00,58.8,59.0,58.7,58.7,197899.23326494,11640383.18361023
2023-06-06 07:10:00,58.9,58.9,58.8,58.8,71120.01848314,4182976.64531721
2023-06-06 07:15:00,58.8,59.0,58.7,58.7,82643.0097918,4866287.25545529
2023-06-06 07:20:00,58.9,58.9,58.8,58.9,134990.08286071,7937566.5292556
2023-06-06 07:25:00,58.9,58.9,58.6,58.9,362707.12190171,21286252.2494546
2023-06-06 07:30:00,58.8,59.0,58.8,59.0,90139.12424016,5313224.26267818
2023-06-06 07:35:00,58.9,59.1,58.9,59.1,361072.67408789,21289642.60001976
2023-06-06 07:40:00,59.1,59.1,59.0,59.1,61146.40107919,3612903.33586763
2023-06-06 07:45:00,59.1,59.1,59.0,59.1,132398.41899755,7822558.80100717
2023-06-06 07:50:00,59.1,59.2,59.1,59.2,147041.56182087,8696346.74138225
2023-06-06 07:55:00,59.2,59.3,59.1,59.1,617792.75259167,36596406.01119481
2023-06-06 08:00:00,59.4,59.4,59.0,59.1,500774.1915758,29550819.73770513
2023-06-06 08:05:00,59.1,59.4,59.1,59.4,97591.64327487,5779865.9758004
2023-06-06 08:10:00,59.4,59.4,59.1,59.3,12531.43587288,741580.55115263
2023-06-06 08:15:00,59.3,59.4,59.1,59.1,81887.53188702,4847653.68376395
2023-06-06 08:20:00,59.1,59.3,59.0,59.3,442835.19519267,26145205.31176739
2023-06-06 08:25:00,59.3,59.6,59.2,59.6,387111.02572519,22989995.8120002
2023-06-06 08:30:00,59.5,59.5,59.1,59.2,429038.26288795,25479631.07736008
2023-06-06 08:35:00,59.1,59.3,59.1,59.2,253738.70188072,15020780.05899171
2023-06-06 08:40:00,59.2,59.3,59.2,59.2,193919.11043653,11486370.91253666
2023-06-06 08:45:00,59.2,59.4,59.2,59.3,284447.10217354,16860810.11845188
2023-06-06 08:50:00,59.3,59.4,59.2,59.4,244369.69683992,14490832.57890174
2023-06-06 08:55:00,59.4,59.4,59.2,59.4,234212.92227517,13901823.77185276
2023-06-06 09:00:00,59.3,59.7,59.2,59.5,1033131.08932014,61409445.53424649
2023-06-06 09:05:00,59.4,61.0,59.2,59.4,6105495.47059394,365422972.4794
2023-06-06 09:10:00,59.4,59.8,59.3,59.5,811418.5261767,48299764.17481168
2023-06-06 09:15:00,59.5,59.7,59.4,59.5,500381.5160937,29757588.01165197
2023-06-06 09:20:00,59.4,59.5,59.3,59.4,258818.15817272,15372067.42582105
2023-06-06 09:25:00,59.4,59.7,59.1,59.3,517638.11832638,30761765.39374512
2023-06-06 09:30:00,59.4,59.5,59.2,59.3,219569.66731793,13019207.87359139
2023-06-06 09:35:00,59.2,59.3,59.1,59.3,238380.44105585,14114088.75555539
2023-06-06 09:40:00,59.4,59.4,59.2,59.2,228747.00002338,13551122.50632352
2023-06-06 09:45:00,59.2,59.4,59.2,59.4,34507.24761554,2048924.82981239
2023-06-06 09:50:00,59.5,59.9,59.5,59.7,346493.61428216,20676997.21244435
2023-06-06 09:55:00,59.6,59.7,59.5,59.6,575463.40348823,34307533.262119
2023-06-06 10:00:00,59.6,59.8,59.5,59.7,65566.46506682,3905321.83774215
2023-06-06 10:05:00,59.7,59.7,59.5,59.5,150219.46035702,8940071.22344289
2023-06-06 10:10:00,59.4,59.5,59.2,59.2,388855.27989225,23068496.04743092
2023-06-06 10:15:00,59.2,59.2,58.2,58.2,1443634.1770261,84724556.88552742
2023-06-06 10:20:00,58.5,58.6,57.5,57.7,1583738.40480387,91632010.85591505
2023-06-06 10:25:00,57.9,58.2,57.6,57.6,881230.96101032,50911065.71199388
2023-06-06 10:30:00,57.6,57.9,57.6,57.8,602766.8416865,34795035.89398666
2023-06-06 10:35:00,57.7,58.2,57.7,58.2,503386.99549755,29136782.75076827
2023-06-06 10:40:00,58.1,58.2,57.8,58.0,279473.80241761,16207042.48573299
2023-06-06 10:45:00,58.0,58.1,57.9,57.9,381135.74094165,22092816.84618489
2023-06-06 10:50:00,57.9,58.0,57.7,58.0,296959.22769345,17162503.76069088
2023-06-06 10:55:00,58.0,58.1,58.0,58.0,92473.78092204,5363489.29347832
2023-06-06 11:00:00,58.0,58.0,57.8,57.8,474069.57635381,27439147.24193201
2023-06-06 11:05:00,57.7,57.9,57.6,57.9,298326.93155183,17227673.01698959
2023-06-06 11:10:00,57.9,58.1,57.8,58.1,531363.91983351,30808049.00454362
2023-06-06 11:15:00,58.1,58.2,58.0,58.1,149746.29972307,8696354.38718234
2023-06-06 11:20:00,58.1,58.3,58.1,58.3,99509.31303725,5790695.37763129
2023-06-06 11:25:00,58.3,58.5,58.3,58.5,101962.5799226,5952057.85815698
2023-06-06 11:30:00,58.5,58.6,58.3,58.6,187915.34802751,10983692.70027819
2023-06-06 11:35:00,58.5,58.6,58.5,58.6,48229.60095165,2821943.60106403
2023-06-06 11:40:00,58.6,58.6,58.4,58.5,127010.87540092,7435624.7061502
2023-06-06 11:45:00,58.6,58.7,58.6,58.6,78607.14041101,4608272.36334925
2023-06-06 11:50:00,58.6,58.6,58.2,58.2,351215.12521115,20467028.07268238
2023-06-06 11:55:00,58.4,58.4,58.2,58.4,47023.26662874,2745458.85359302
2023-06-06 12:00:00,58.3,58.4,58.3,58.4,38489.9116897,2247509.58362961
2023-06-06 12:05:00,58.4,58.4,58.2,58.4,114707.13629708,6680316.20190964
2023-06-06 12:10:00,58.3,58.3,58.2,58.2,35441.09137554,2065968.69108228
2023-06-06 12:15:00,58.2,58.3,58.2,58.3,85697.01268969,4994339.25944258
2023-06-06 12:20:00,58.3,58.4,58.3,58.3,65660.56674271,3828805.56507088
2023-06-06 12:25:00,58.3,58.3,58.3,58.3,86083.78909914,5018684.90447988
2023-06-06 12:30:00,58.3,58.3,58.2,58.3,32766.97219395,1910178.89552205
2023-06-06 12:35:00,58.2,58.2,58.0,58.2,421780.11887912,24491127.07999296
2023-06-06 12:40:00,58.1,58.1,58.0,58.0,313716.24113686,18202642.21607426
2023-06-06 12:45:00,58.0,58.0,58.0,58.0,52454.6091188,3042367.3288904
2023-06-06 12:50:00,58.2,58.2,58.2,58.2,217250.61169832,12643985.60084222
2023-06-06 12:55:00,58.2,58.2,58.1,58.1,246370.18537405,14332434.15217447
2023-06-06 13:00:00,58.1,58.2,58.0,58.2,202385.87201012,11754258.61629551
2023-06-06 13:05:00,58.2,58.4,58.2,58.4,83150.28737541,4845422.16229663
2023-06-06 13:10:00,58.4,58.4,58.3,58.3,112250.34239321,6554774.57685347
2023-06-06 13:15:00,58.3,58.3,58.3,58.3,32617.57304333,1901604.50842614
2023-06-06 13:20:00,58.4,58.6,58.3,58.6,285093.94864022,16634131.0899328
2023-06-06 13:25:00,58.6,58.7,58.3,58.3,82419.29269833,4827052.83874429
2023-06-06 13:30:00,58.3,58.7,58.3,58.4,116268.7336196,6819220.01449551
2023-06-06 13:35:00,58.5,58.5,58.5,58.5,19754.25290229,1155623.79478397
2023-06-06 13:40:00,58.6,58.6,58.6,58.6,1535.06864315,89955.02248859
2023-06-06 13:45:00,58.6,58.6,58.5,58.5,7521.07581459,439999.99999994
2023-06-06 13:50:00,58.6,58.7,58.6,58.7,45596.1750303,2673999.78052069
2023-06-06 13:55:00,58.7,58.8,58.6,58.6,167749.37164659,9838729.63143066
2023-06-06 14:00:00,58.6,58.6,58.6,58.6,15403.72301112,902658.16845163
2023-06-06 14:05:00,58.6,58.7,58.6,58.7,80900.84780022,4740847.17724095
2023-06-06 14:10:00,58.6,58.8,58.6,58.8,281012.99962013,16499501.19557435
2023-06-06 14:15:00,58.8,58.8,58.7,58.7,1903.3010204,111902.19523762
2023-06-06 14:20:00,58.7,58.7,58.7,58.7,18501.52476183,1086039.50351942
2023-06-06 14:25:00,58.7,58.8,58.7,58.8,211227.84383718,12406041.29823038
2023-06-06 14:30:00,58.8,58.9,58.8,58.9,25565.6066124,1504012.90073796
2023-06-06 14:35:00,58.9,59.1,58.9,59.0,25338.90592303,1493812.82070488
2023-06-06 14:40:00,59.0,59.0,58.9,59.0,14386.45433438,848072.78418363
2023-06-06 14:45:00,59.0,59.0,59.0,59.0,101018.22759675,5960075.42820825
2023-06-06 14:50:00,59.0,59.2,59.0,59.2,149812.70938799,8866495.6533657
2023-06-06 14:55:00,59.3,59.3,59.1,59.2,168238.94370697,9957222.66913781
2023-06-06 15:00:00,59.1,59.1,59.0,59.0,78450.42521887,4631151.7839492
2023-06-06 15:05:00,58.9,59.0,58.9,59.0,52239.21597102,3077382.5660817
2023-06-06 15:10:00,58.9,58.9,58.9,58.9,151147.1320638,8902566.07855782
2023-06-06 15:15:00,58.9,58.9,58.8,58.9,73491.8379446,4325233.51935645
2023-06-06 15:20:00,58.9,58.9,58.8,58.8,103640.06811194,6098390.48139305
2023-06-06 15:25:00,58.8,58.9,58.8,58.9,80651.36277476,4745313.00292935
2023-06-06 15:30:00,58.9,58.9,58.8,58.9,84359.47315499,4966928.14410239
2023-06-06 15:35:00,58.8,59.0,58.8,59.0,16368.5968218,964547.8999862
2023-06-06 15:40:00,58.9,59.0,58.9,59.0,1512.22433364,89209.16825017
2023-06-06 15:45:00,59.0,59.0,58.9,59.0,1384.38186862,81573.95564264
2023-06-06 15:50:00,58.9,59.0,58.9,59.0,34402.46219763,2026339.05733871
2023-06-06 15:55:00,59.0,59.0,59.0,59.0,338.98305084,19999.99999956
2023-06-06 16:00:00,58.9,58.9,58.8,58.9,28247.61382948,1663722.53886708
2023-06-06 16:05:00,58.9,58.9,58.8,58.8,75034.75537574,4419099.50921849
2023-06-06 16:10:00,58.8,58.9,58.8,58.9,26419.13268233,1555511.68315109
2023-06-06 16:15:00,58.8,59.0,58.8,59.0,6992.61564745,411356.44583277
2023-06-06 16:20:00,58.9,59.0,58.9,59.0,339559.60255719,20022066.66680928
2023-06-06 16:25:00,59.0,59.1,59.0,59.0,13228.6703619,780576.11141978
2023-06-06 16:30:00,59.0,59.0,59.0,59.0,3872.72485718,228490.76657362
2023-06-06 16:35:00,59.0,59.0,59.0,59.0,49232.16071674,2904697.48228766
2023-06-06 16:40:00,59.0,59.0,59.0,59.0,7015.66949152,413924.49999968
2023-06-06 16:45:00,58.9,58.9,58.9,58.9,132679.81300247,7814840.98584548
2023-06-06 16:50:00,58.9,58.9,58.9,58.9,23192.24827575,1366023.42344169
2023-06-06 16:55:00,58.8,59.0,58.7,59.0,40820.69134923,2396569.52932849
2023-06-06 17:00:00,58.8,59.0,58.8,58.8,117750.78330252,6924424.02428987
2023-06-06 17:05:00,58.8,58.8,58.8,58.8,12849.45632043,755548.03164129
2023-06-06 17:10:00,58.8,58.8,58.8,58.8,34726.89208272,2041941.25446393
2023-06-06 17:15:00,58.7,58.7,58.6,58.6,376265.31895887,22081114.33173416
2023-06-06 17:20:00,58.5,58.6,58.4,58.5,219613.23896915,12847249.91142205
2023-06-06 17:25:00,58.5,58.5,58.5,58.5,112000.29045303,6552016.99150227
2023-06-06 17:30:00,58.5,58.5,58.4,58.4,14547.66405242,850786.35484936
2023-06-06 17:35:00,58.5,58.5,58.5,58.5,70005.55751356,4095325.11454326
2023-06-06 17:40:00,58.5,58.6,58.5,58.6,82496.38116472,4826993.11967511
2023-06-06 17:45:00,58.6,58.6,58.5,58.5,39844.13537796,2331669.8801614
2023-06-06 17:50:00,58.5,58.7,58.5,58.7,8944.37525761,523552.82949035
2023-06-06 17:55:00,58.7,58.7,58.6,58.6,35626.54172444,2087751.12443677
2023-06-06 18:00:00,58.5,58.6,58.5,58.6,39749.51064887,2329294.34319525
2023-06-06 18:05:00,58.6,58.7,58.5,58.5,16768.31223581,982679.88410689
2023-06-06 18:10:00,58.5,58.8,58.4,58.4,149015.45679867,8716014.97579688
2023-06-06 18:25:00,58.5,58.5,58.5,58.5,5128.20512821,300000.00000029
2023-06-06 18:30:00,58.7,58.7,58.6,58.6,11149.01637244,653357.88411527
2023-06-06 18:35:00,58.5,58.6,58.5,58.5,58486.79401041,3422094.55730367
2023-06-06 18:40:00,58.5,58.7,58.5,58.5,35357.28061291,2068742.79619713
2023-06-06 18:45:00,58.6,58.6,58.6,58.6,1194.8309559,70017.09401576
2023-06-06 18:50:00,58.6,58.8,58.6,58.8,57386.0758901,3368728.26271711
2023-06-06 18:55:00,58.6,58.7,58.6,58.7,6427.33277759,377117.17521312
2023-06-06 19:00:00,58.6,58.8,58.6,58.8,69547.61777298,4082648.39528573
2023-06-06 19:05:00,58.8,58.8,58.8,58.8,114650.05876358,6741423.45529851
2023-06-06 19:10:00,58.8,58.9,58.8,58.8,100232.22940531,5897058.60968276
2023-06-06 19:15:00,58.8,58.8,58.7,58.7,8525.25016908,500582.81124826
2023-06-06 19:20:00,58.7,58.8,58.7,58.7,85184.16514533,5002146.52974517
2023-06-06 19:25:00,58.7,58.8,58.6,58.8,69982.71077408,4107715.1224385
2023-06-06 19:30:00,58.7,58.8,58.7,58.8,3725.72395455,218799.99613209
2023-06-06 19:35:00,58.8,58.9,58.8,58.8,444249.20770295,26131123.13848632
2023-06-06 19:40:00,58.7,58.7,58.5,58.6,327239.5810015,19176431.23095978
2023-06-06 19:45:00,58.6,58.6,58.6,58.6,328128.41788161,19228325.28786235
2023-06-06 19:50:00,58.8,58.8,58.8,58.8,206104.63475744,12118952.52373747
2023-06-06 19:55:00,58.7,58.9,58.7,58.9,141255.16631768,8303349.62470566
2023-06-06 20:00:00,58.7,58.9,58.7,58.8,32738.90660621,1925862.2024966
2023-06-06 20:05:00,58.8,58.8,58.8,58.8,20000.0,1176000.0
2023-06-06 20:10:00,58.8,58.9,58.8,58.9,81809.43101489,4810504.79075912
2023-06-06 20:15:00,58.9,58.9,58.8,58.9,23685.03465973,1394088.03204985
2023-06-06 20:20:00,58.8,58.8,58.7,58.7,126454.65169777,7435164.73288477
2023-06-06 20:25:00,58.8,58.8,58.5,58.5,641079.23901265,37584167.64938893
2023-06-06 20:30:00,58.5,58.7,58.5,58.6,105290.0870761,6168439.95536008
2023-06-06 20:35:00,58.6,58.6,58.5,58.5,74006.95175479,4336732.61622177
2023-06-06 20:40:00,58.6,58.6,58.6,58.6,104787.40152106,6140541.72913414
2023-06-06 20:45:00,58.5,58.6,58.5,58.6,91032.52451967,5332534.85861104
