,open,high,low,close,volume,value
2023-06-08 14:10:00,5350.0,5370.0,5350.0,5370.0,1077.47811704,5773971.6688038
2023-06-08 14:15:00,5370.0,5375.0,5355.0,5360.0,6393.26793954,34330949.8785503
2023-06-08 14:20:00,5360.0,5365.0,5360.0,5360.0,2218.22375413,11889918.66903235
2023-06-08 14:25:00,5360.0,5360.0,5350.0,5355.0,8954.12467284,47935736.93678685
2023-06-08 14:30:00,5355.0,5360.0,5340.0,5340.0,10529.56893422,56242918.91843015
2023-06-08 14:35:00,5345.0,5345.0,5310.0,5315.0,18571.24631787,98839811.9888287
2023-06-08 14:40:00,5315.0,5315.0,5300.0,5310.0,19295.38770779,102453217.8482325
2023-06-08 14:45:00,5310.0,5315.0,5290.0,5295.0,40812.05131961,216217387.2562314
2023-06-08 14:50:00,5295.0,5300.0,5290.0,5290.0,23156.65900588,122601402.8025109
2023-06-08 14:55:00,5290.0,5300.0,5290.0,5295.0,23200.15975939,122832529.6090225
2023-06-08 15:00:00,5295.0,5300.0,5280.0,5280.0,36853.24968694,194786088.5137932
2023-06-08 15:05:00,5290.0,5290.0,5265.0,5265.0,29955.53707062,158145009.50187036
2023-06-08 15:10:00,5265.0,5265.0,5240.0,5260.0,69354.40802644,364283695.1329374
2023-06-08 15:15:00,5260.0,5280.0,5260.0,5270.0,24042.89696024,126600006.8317407
2023-06-08 15:20:00,5270.0,5280.0,5265.0,5270.0,5969.92785841,31474106.11959685
2023-06-08 15:25:00,5270.0,5280.0,5265.0,5275.0,8200.10832699,43230343.5084496
2023-06-08 15:30:00,5270.0,5290.0,5270.0,5290.0,9201.89618472,48556246.5536937
2023-06-08 15:35:00,5285.0,5295.0,5285.0,5290.0,1220.92183231,6462815.4894532
2023-06-08 15:40:00,5295.0,5330.0,5295.0,5330.0,21179.20396821,112563699.02353345
2023-06-08 15:45:00,5330.0,5335.0,5305.0,5310.0,18648.97150392,99131455.8726943
2023-06-08 15:50:00,5310.0,5320.0,5305.0,5320.0,5437.63157163,28880984.20279915
2023-06-08 15:55:00,5325.0,5330.0,5320.0,5325.0,5241.12134191,27908111.50684755
2023-06-08 16:00:00,5325.0,5340.0,5325.0,5335.0,11218.748885,59817019.33730715
2023-06-08 16:05:00,5340.0,5345.0,5335.0,5345.0,6638.85319003,35455147.88428275
2023-06-08 16:10:00,5345.0,5360.0,5345.0,5350.0,16475.40691228,88122903.31412895
2023-06-08 16:15:00,5350.0,5350.0,5325.0,5330.0,16026.47499584,85472424.76894015
2023-06-08 16:20:00,5330.0,5345.0,5330.0,5345.0,10244.83647557,54653906.3406804
2023-06-08 16:25:00,5350.0,5360.0,5350.0,5360.0,9285.48659983,49732637.8515598
2023-06-08 16:30:00,5365.0,5365.0,5355.0,5360.0,17281.78499409,92629471.65530425
2023-06-08 16:35:00,5360.0,5360.0,5340.0,5340.0,22472.45151948,120233091.09253415
2023-06-08 16:40:00,5340.0,5350.0,5335.0,5350.0,13556.5065117,72380907.50662304
2023-06-08 16:45:00,5350.0,5350.0,5320.0,5325.0,8043.80846464,42920325.7484025
2023-06-08 16:50:00,5330.0,5335.0,5325.0,5325.0,6611.94393771,35227294.44521295
2023-06-08 16:55:00,5325.0,5330.0,5320.0,5325.0,560.77874954,2984388.6544171
2023-06-08 17:00:00,5325.0,5325.0,5305.0,5310.0,2956.57244796,15705310.68854725
2023-06-08 17:05:00,5310.0,5320.0,5305.0,5320.0,2649.53443405,14070403.41161005
2023-06-08 17:10:00,5315.0,5315.0,5300.0,5300.0,7542.29296817,40035549.6691677
2023-06-08 17:15:00,5305.0,5320.0,5305.0,5320.0,3797.4761131,20156591.6005821
2023-06-08 17:20:00,5315.0,5315.0,5300.0,5305.0,11720.76452408,62238278.60692055
2023-06-08 17:25:00,5310.0,5335.0,5305.0,5330.0,15356.85675558,81756954.22916666
2023-06-08 17:30:00,5325.0,5325.0,5320.0,5325.0,17047.61274365,90715598.8513565
2023-06-08 17:35:00,5330.0,5345.0,5330.0,5340.0,3533.2982344,18851885.6997486
2023-06-08 17:40:00,5345.0,5350.0,5345.0,5350.0,1910.37478828,10212532.24533455
2023-06-08 17:45:00,5350.0,5355.0,5345.0,5350.0,4330.62648264,23163605.6663518
2023-06-08 17:50:00,5350.0,5365.0,5350.0,5360.0,7185.6441645,38476332.0079685
2023-06-08 17:55:00,5355.0,5360.0,5355.0,5360.0,1932.32772692,10350719.6093628
2023-06-08 18:00:00,5355.0,5365.0,5355.0,5365.0,3268.4505309,17521285.7862685
2023-06-08 18:05:00,5365.0,5365.0,5345.0,5345.0,10775.12068689,57755964.09427405
2023-06-08 18:10:00,5340.0,5345.0,5340.0,5345.0,24048.68189392,128458567.29606865
2023-06-08 18:15:00,5345.0,5360.0,5340.0,5360.0,14016.14890358,74921786.16648935
2023-06-08 18:20:00,5360.0,5360.0,5345.0,5350.0,18781.00154699,100540993.0039025
2023-06-08 18:25:00,5350.0,5355.0,5345.0,5350.0,6759.30680622,36170502.50278125
2023-06-08 18:30:00,5350.0,5350.0,5340.0,5345.0,10862.08785631,58080428.24035345
2023-06-08 18:35:00,5350.0,5350.0,5345.0,5350.0,4575.76913198,24467744.59826705
2023-06-08 18:40:00,5350.0,5365.0,5350.0,5360.0,8871.97457509,47544693.5897816
2023-06-08 18:45:00,5360.0,5360.0,5350.0,5355.0,6206.50346673,33238437.17459075
2023-06-08 18:50:00,5355.0,5355.0,5345.0,5345.0,29223.30133699,156233821.9338594
2023-06-08 18:55:00,5345.0,5345.0,5330.0,5340.0,6890.9539104,36806082.03840455
2023-06-08 19:00:00,5335.0,5345.0,5335.0,5340.0,16826.32355149,89839471.7450333
2023-06-08 19:05:00,5335.0,5340.0,5330.0,5330.0,14388.57760438,76759323.1198305
2023-06-08 19:10:00,5330.0,5335.0,5325.0,5330.0,10424.51126332,55544405.18544455
2023-06-08 19:15:00,5325.0,5340.0,5325.0,5340.0,2019.7390441,10773243.35499165
2023-06-08 19:20:00,5335.0,5335.0,5325.0,5325.0,19910.72183081,106132980.25415455
2023-06-08 19:25:00,5325.0,5330.0,5325.0,5330.0,2164.08983183,11528736.0465673
2023-06-08 19:30:00,5330.0,5330.0,5325.0,5330.0,9110.42713922,48554697.89772305
2023-06-08 19:35:00,5330.0,5330.0,5325.0,5330.0,3369.56154069,17957403.27886915
2023-06-08 19:40:00,5330.0,5355.0,5330.0,5355.0,2976.62993634,15894123.53762555
2023-06-08 19:45:00,5355.0,5360.0,5350.0,5360.0,15339.00119683,82175061.47190344
2023-06-08 19:50:00,5360.0,5370.0,5355.0,5370.0,6056.69412866,32483642.2916526
2023-06-08 19:55:00,5370.0,5390.0,5365.0,5380.0,7879.67732752,42369453.26430065
2023-06-08 20:00:00,5385.0,5395.0,5380.0,5385.0,19697.96443547,106136448.1481708
2023-06-08 20:05:00,5380.0,5390.0,5380.0,5385.0,16967.32733601,91350791.70489594
2023-06-08 20:10:00,5380.0,5385.0,5370.0,5375.0,16592.87069704,89227635.58932325
2023-06-08 20:15:00,5380.0,5385.0,5375.0,5375.0,3097.9985909,16665628.0698428
2023-06-08 20:20:00,5385.0,5385.0,5380.0,5380.0,3031.66165201,16320728.68836505
2023-06-08 20:25:00,5385.0,5385.0,5375.0,5375.0,7586.00266682,40776810.65662125
2023-06-08 20:30:00,5375.0,5390.0,5375.0,5375.0,8080.39139391,43472979.11241925
2023-06-08 20:35:00,5375.0,5385.0,5375.0,5380.0,8576.48316442,46123077.5545418
2023-06-08 20:40:00,5380.0,5380.0,5365.0,5375.0,14166.62798255,76144792.57728805
2023-06-08 20:45:00,5375.0,5375.0,5370.0,5370.0,5827.82196169,31300070.262423
2023-06-08 20:50:00,5375.0,5390.0,5375.0,5390.0,18187.67946144,97810149.44436625
2023-06-08 20:55:00,5385.0,5390.0,5385.0,5390.0,6287.42445712,33857930.7015912
2023-06-08 21:00:00,5390.0,5405.0,5390.0,5395.0,15473.68188637,83542650.36873385
2023-06-08 21:05:00,5390.0,5390.0,5370.0,5380.0,3177.27121789,17089351.5904271
2023-06-08 21:10:00,5380.0,5395.0,5380.0,5395.0,4460.95678733,24023223.39956585
2023-06-08 21:15:00,5400.0,5400.0,5380.0,5380.0,4524.42970665,24375826.41042355
2023-06-08 21:20:00,5380.0,5385.0,5380.0,5385.0,4754.81752326,25581980.77317645
2023-06-08 21:25:00,5385.0,5395.0,5380.0,5385.0,4197.99999547,22620475.93946465
2023-06-08 21:30:00,5385.0,5420.0,5380.0,5400.0,26061.48628011,140895721.2397174
2023-06-08 21:35:00,5405.0,5435.0,5405.0,5430.0,17558.35719297,95222324.9374955
2023-06-08 21:40:00,5430.0,5435.0,5415.0,5435.0,29618.03881203,160680301.23520854
