,open,high,low,close,volume,value
2023-05-24 23:45:00,2965.0,2965.0,2960.0,2960.0,313.47071028,928385.9263866
2023-05-24 23:50:00,2960.0,2960.0,2955.0,2955.0,5914.05815027,17499933.8136161
2023-05-24 23:55:00,2950.0,2950.0,2950.0,2950.0,1010.0,2979500.0
2023-05-25 00:00:00,2955.0,2955.0,2945.0,2950.0,5635.4608799,16624110.9967932
2023-05-25 00:05:00,2950.0,2950.0,2945.0,2945.0,3039.93077071,8958336.6816075
2023-05-25 00:10:00,2945.0,2950.0,2945.0,2945.0,357.01546853,1051461.8336833
2023-05-25 00:15:00,2945.0,2955.0,2945.0,2955.0,1006.59243315,2971315.36691395
2023-05-25 00:20:00,2960.0,2960.0,2955.0,2960.0,290.97568122,861129.7105801
2023-05-25 00:25:00,2955.0,2960.0,2955.0,2960.0,738.10427029,2182780.1661967
2023-05-25 00:30:00,2960.0,2970.0,2960.0,2970.0,1186.72829008,3518572.33855565
2023-05-25 00:35:00,2965.0,2970.0,2965.0,2970.0,73.11191276,217126.04102795
2023-05-25 00:45:00,2970.0,2970.0,2970.0,2970.0,13.63484848,40495.4999856
2023-05-25 01:00:00,2970.0,2970.0,2970.0,2970.0,136.62294001,405770.1318297
2023-05-25 01:05:00,2965.0,2965.0,2965.0,2965.0,574.25583123,1702668.53959695
2023-05-25 01:10:00,2970.0,2970.0,2970.0,2970.0,14.35353534,42629.9999598
2023-05-25 01:20:00,2970.0,2970.0,2965.0,2965.0,180.98623236,536792.52911575
2023-05-25 01:30:00,2965.0,2965.0,2965.0,2965.0,69.8787613,207190.5272545
2023-05-25 01:35:00,2965.0,2965.0,2965.0,2965.0,3023.5891711,8964941.8923115
2023-05-25 01:40:00,2965.0,2965.0,2965.0,2965.0,35.0,103775.0
2023-05-25 01:55:00,2970.0,2970.0,2970.0,2970.0,1.68350168,4999.9999896
2023-05-25 02:00:00,2965.0,2965.0,2965.0,2965.0,33.72681282,100000.0000113
2023-05-25 02:05:00,2965.0,2965.0,2965.0,2965.0,23.60876898,70000.0000257
2023-05-25 02:10:00,2965.0,2965.0,2965.0,2965.0,1375.85650184,4079414.5279556
