,open,high,low,close,volume,value
2023-06-08 16:55:00,24660.0,24660.0,24630.0,24660.0,117.15600457,2888116.2867635
2023-06-08 17:00:00,24660.0,24660.0,24580.0,24590.0,1130.93495988,27849080.4790305
2023-06-08 17:05:00,24590.0,24600.0,24580.0,24600.0,702.97061206,17286492.9251192
2023-06-08 17:10:00,24600.0,24610.0,24590.0,24610.0,593.00932815,14587905.4223513
2023-06-08 17:15:00,24610.0,24630.0,24590.0,24590.0,971.40485722,23894723.8360043
2023-06-08 17:20:00,24590.0,24600.0,24590.0,24600.0,112.40390129,2764014.6303811
2023-06-08 17:25:00,24600.0,24670.0,24590.0,24650.0,948.83095477,23355196.1096419
2023-06-08 17:30:00,24620.0,24650.0,24600.0,24610.0,2278.23284786,56087059.3820289
2023-06-08 17:35:00,24610.0,24700.0,24610.0,24670.0,1351.00801815,33275937.3923342
2023-06-08 17:40:00,24670.0,24730.0,24670.0,24730.0,1738.4363129,42955422.7737318
2023-06-08 17:45:00,24720.0,24720.0,24700.0,24700.0,468.4875762,11575439.9550056
2023-06-08 17:50:00,24700.0,24750.0,24700.0,24750.0,518.16742409,12809235.1558383
2023-06-08 17:55:00,24750.0,24750.0,24710.0,24750.0,676.77368514,16737077.6426201
2023-06-08 18:00:00,24750.0,24860.0,24730.0,24860.0,1177.26318913,29233237.3089531
2023-06-08 18:05:00,24870.0,24870.0,24710.0,24720.0,1063.40858247,26371708.0025342
2023-06-08 18:10:00,24720.0,24760.0,24690.0,24690.0,1402.30459831,34648951.7440481
2023-06-08 18:15:00,24710.0,24710.0,24690.0,24710.0,349.37615481,8630762.6906195
2023-06-08 18:20:00,24730.0,24750.0,24690.0,24690.0,1193.51852476,29524105.2889479
2023-06-08 18:25:00,24680.0,24720.0,24680.0,24720.0,159.32069399,3933149.6812624
2023-06-08 18:30:00,24720.0,24720.0,24690.0,24690.0,283.78902258,7012363.9063934
2023-06-08 18:35:00,24690.0,24690.0,24630.0,24650.0,620.00149214,15294084.1078352
2023-06-08 18:40:00,24690.0,24720.0,24640.0,24720.0,273.16204668,6743112.1756332
2023-06-08 18:45:00,24720.0,24760.0,24680.0,24680.0,1143.24786647,28275459.2082285
2023-06-08 18:50:00,24680.0,24690.0,24670.0,24670.0,672.21273316,16588211.0432802
2023-06-08 18:55:00,24660.0,24660.0,24640.0,24650.0,373.17385141,9199209.6444792
2023-06-08 19:00:00,24630.0,24650.0,24610.0,24620.0,1678.92302754,41342929.6772071
2023-06-08 19:05:00,24610.0,24610.0,24560.0,24570.0,865.68780752,21275358.5076198
2023-06-08 19:10:00,24590.0,24610.0,24570.0,24590.0,304.3294529,7478211.38886
2023-06-08 19:15:00,24580.0,24610.0,24540.0,24600.0,2349.8099804,57698806.3951423
2023-06-08 19:20:00,24600.0,24600.0,24540.0,24540.0,757.53501053,18625099.3354013
2023-06-08 19:25:00,24540.0,24590.0,24530.0,24590.0,1505.43568318,36942487.4195816
2023-06-08 19:30:00,24550.0,24590.0,24550.0,24580.0,691.6297595,16982945.8270058
2023-06-08 19:35:00,24580.0,24580.0,24550.0,24550.0,288.24466081,7080140.2126342
2023-06-08 19:40:00,24570.0,24750.0,24560.0,24730.0,1306.53669942,32205104.4023788
2023-06-08 19:45:00,24750.0,24750.0,24710.0,24730.0,1073.66594629,26543393.1405927
2023-06-08 19:50:00,24730.0,24750.0,24710.0,24750.0,360.04270204,8904757.6510108
2023-06-08 19:55:00,24750.0,24800.0,24730.0,24800.0,1005.27241736,24897889.0160676
2023-06-08 20:00:00,24800.0,24800.0,24730.0,24780.0,1812.78071414,44909220.0995495
2023-06-08 20:05:00,24780.0,24810.0,24780.0,24800.0,4627.68564681,114750177.9148871
2023-06-08 20:10:00,24810.0,24810.0,24760.0,24790.0,1336.51872778,33128006.837394
2023-06-08 20:15:00,24820.0,24830.0,24790.0,24790.0,828.4723348,20557663.0020698
2023-06-08 20:20:00,24790.0,24790.0,24760.0,24790.0,769.23948423,19052624.854404
2023-06-08 20:25:00,24790.0,24800.0,24730.0,24730.0,585.56917901,14505185.3468898
2023-06-08 20:30:00,24730.0,24790.0,24730.0,24730.0,1389.13553587,34408808.057228
2023-06-08 20:35:00,24730.0,24830.0,24720.0,24830.0,1609.44815855,39877904.1975432
