,open,high,low,close,volume,value
2023-05-30 15:50:00,249.0,249.0,249.0,249.0,602.10843373,149924.99999877
2023-05-30 15:55:00,249.0,249.0,249.0,249.0,240.96385542,59999.99999958
2023-05-30 16:00:00,248.0,249.0,248.0,249.0,3439.46036514,853931.86533383
2023-05-30 16:05:00,249.0,249.0,248.0,248.0,4096.70941832,1020000.00000038
2023-05-30 16:20:00,249.0,249.0,248.0,248.0,12081.6451613,2998249.0000024
2023-05-30 16:25:00,248.0,248.0,248.0,248.0,398.20727086,98755.40317328
2023-05-30 16:30:00,249.0,249.0,249.0,249.0,4016.06425702,999999.99999798
2023-05-30 16:35:00,248.0,248.0,248.0,248.0,5000.0,1240000.0
2023-05-30 16:40:00,248.0,249.0,248.0,249.0,2659.5047054,660726.21695234
2023-05-30 16:50:00,248.0,248.0,248.0,248.0,23.90438247,5928.28685256
2023-05-30 16:55:00,248.0,248.0,248.0,248.0,11293.73425339,2800846.09484072
2023-05-30 17:00:00,248.0,248.0,248.0,248.0,59734.53559879,14814164.82849992
2023-05-30 17:05:00,248.0,248.0,248.0,248.0,11887.09677419,2947999.99999912
2023-05-30 17:10:00,248.0,248.0,248.0,248.0,1758.11491935,436012.4999988
2023-05-30 17:15:00,248.0,248.0,248.0,248.0,102.64516128,25455.99999744
2023-05-30 17:20:00,248.0,248.0,247.0,248.0,18279.82701611,4525397.09999528
2023-05-30 17:25:00,248.0,249.0,248.0,248.0,8517.16027905,2112548.75723651
2023-05-30 17:35:00,248.0,248.0,248.0,248.0,21090.36563178,5230410.67668144
2023-05-30 17:40:00,248.0,248.0,248.0,248.0,14919.35483871,3700000.00000008
2023-05-30 17:45:00,249.0,249.0,248.0,248.0,122.49004211,30458.73526252
2023-05-30 17:50:00,249.0,249.0,249.0,249.0,45839.88547894,11414131.48425606
2023-05-30 17:55:00,249.0,249.0,248.0,248.0,1172.01375157,291790.61988501
2023-05-30 18:00:00,249.0,249.0,249.0,249.0,21684.21949398,5399370.65400102
2023-05-30 18:05:00,249.0,250.0,249.0,250.0,924.29870562,230170.38169938
2023-05-30 18:10:00,250.0,250.0,249.0,249.0,1278.7761999,319656.503975
2023-05-30 18:15:00,249.0,249.0,249.0,249.0,12150.40107777,3025449.86836473
2023-05-30 18:20:00,249.0,250.0,249.0,249.0,23324.92348614,5807945.95604886
2023-05-30 18:25:00,249.0,250.0,249.0,250.0,1711.48549175,426199.89544575
2023-05-30 18:35:00,249.0,250.0,249.0,249.0,1520.96550524,378740.09978113
2023-05-30 18:40:00,250.0,250.0,250.0,250.0,900.0,225000.0
2023-05-30 18:45:00,249.0,250.0,249.0,249.0,2827.98844869,704195.52385419
2023-05-30 18:50:00,250.0,250.0,250.0,250.0,480.368,120092.0
2023-05-30 18:55:00,250.0,250.0,249.0,249.0,778.47780645,193942.97380605
2023-05-30 19:00:00,250.0,250.0,250.0,250.0,20.0,5000.0
2023-05-30 19:05:00,250.0,250.0,249.0,250.0,822.97964981,205343.3060268
2023-05-30 19:15:00,250.0,250.0,249.0,250.0,95.9145215,23926.48265191
2023-05-30 19:20:00,250.0,251.0,250.0,251.0,148424.17412985,37110213.15896904
2023-05-30 19:25:00,250.0,250.0,250.0,250.0,120.08433735,30021.0843375
2023-05-30 19:30:00,250.0,251.0,250.0,250.0,6186.54928188,1546677.24477278
2023-05-30 19:35:00,251.0,251.0,251.0,251.0,4177.60840695,1048579.71014445
2023-05-30 19:40:00,250.0,251.0,250.0,251.0,34228.12940493,8561036.4149775
2023-05-30 19:45:00,251.0,251.0,250.0,250.0,12425.57712883,3118799.69401374
2023-05-30 19:50:00,251.0,251.0,251.0,251.0,2091.77482971,525035.48225721
2023-05-30 19:55:00,251.0,251.0,250.0,250.0,7448.88830506,1869113.51102571
2023-05-30 20:00:00,250.0,251.0,250.0,250.0,6043.07506857,1512485.39886648
2023-05-30 20:05:00,251.0,251.0,250.0,250.0,1215.38444609,305041.330646
2023-05-30 20:10:00,250.0,251.0,250.0,251.0,263.27300323,65838.2508075
2023-05-30 20:15:00,250.0,251.0,250.0,250.0,23847.50283615,5970511.1672048
2023-05-30 20:20:00,251.0,251.0,251.0,251.0,418.54581673,105054.99999923
2023-05-30 20:25:00,251.0,251.0,251.0,251.0,26908.94815723,6754145.98746473
2023-05-30 20:30:00,252.0,252.0,251.0,251.0,2084.19403128,523152.70185128
2023-05-30 20:35:00,251.0,251.0,250.0,250.0,5844.48214338,1461140.46014778
2023-05-30 20:45:00,251.0,252.0,251.0,251.0,2541.06821262,639808.12136762
2023-05-30 20:50:00,252.0,252.0,252.0,252.0,7936.5079365,1999999.999998
2023-05-30 20:55:00,251.0,251.0,251.0,251.0,42.06726336,10558.88310336
2023-05-30 21:00:00,251.0,252.0,251.0,252.0,4166.03351223,1045793.93348208
2023-05-30 21:05:00,252.0,252.0,252.0,252.0,1115.9861111,281228.4999972
2023-05-30 21:10:00,251.0,251.0,251.0,251.0,6370.0,1598870.0
2023-05-30 21:15:00,251.0,251.0,251.0,251.0,49.06080375,12314.26174125
2023-05-30 21:20:00,251.0,252.0,251.0,251.0,7262.8016393,1823002.89400398
2023-05-30 21:25:00,251.0,251.0,251.0,251.0,14107.17619017,3540901.22373267
2023-05-30 21:30:00,250.0,251.0,250.0,251.0,21930.46500607,5484667.57123861
2023-05-30 21:35:00,250.0,250.0,250.0,250.0,32446.80645161,8111701.6129025
2023-05-30 21:40:00,251.0,251.0,251.0,251.0,692.87578321,173911.82158571
2023-05-30 21:45:00,250.0,250.0,250.0,250.0,110.51218576,27628.04644
2023-05-30 21:50:00,251.0,251.0,250.0,250.0,449.2665092,112376.38825617
2023-05-30 21:55:00,250.0,250.0,250.0,250.0,1897.0,474250.0
2023-05-30 22:00:00,251.0,251.0,251.0,251.0,116.66019362,29281.70859862
2023-05-30 22:05:00,250.0,250.0,250.0,250.0,400.0,100000.0
2023-05-30 22:10:00,250.0,251.0,250.0,250.0,448.36778115,112111.9452875
2023-05-30 22:15:00,250.0,250.0,250.0,250.0,360.05384404,90013.46101
2023-05-30 22:30:00,250.0,251.0,250.0,251.0,3384.82072708,847590.00249708
2023-05-30 22:35:00,251.0,251.0,251.0,251.0,1992.03187251,500000.00000001
2023-05-30 22:40:00,250.0,250.0,250.0,250.0,536.61,134152.5
2023-05-30 22:45:00,250.0,250.0,250.0,250.0,5529.01817055,1382254.5426375
2023-05-30 22:50:00,251.0,251.0,251.0,251.0,3984.06374501,999999.99999751
2023-05-30 22:55:00,250.0,250.0,250.0,250.0,2416.91609206,604229.023015
2023-05-30 23:00:00,250.0,250.0,250.0,250.0,1525.0,381250.0
2023-05-30 23:05:00,250.0,250.0,250.0,250.0,11957.30012148,2989325.03037
2023-05-30 23:10:00,250.0,250.0,250.0,250.0,798.3,199575.0
2023-05-30 23:15:00,250.0,250.0,250.0,250.0,2400.0,600000.0
2023-05-30 23:20:00,250.0,250.0,250.0,250.0,10771.0156404,2692753.9101
2023-05-30 23:25:00,250.0,250.0,249.0,249.0,30672.51851783,7661986.65756994
2023-05-30 23:30:00,249.0,249.0,249.0,249.0,12785.51774275,3183593.91794475
2023-05-30 23:35:00,250.0,250.0,250.0,250.0,723.64617691,180911.5442275
2023-05-30 23:40:00,250.0,250.0,249.0,249.0,4409.11546214,1099069.75007286
2023-05-30 23:45:00,249.0,249.0,249.0,249.0,16748.16146215,4170292.20407535
2023-05-30 23:50:00,249.0,249.0,249.0,249.0,296.07098468,73721.67518532
2023-05-30 23:55:00,249.0,249.0,249.0,249.0,2938.99678715,731810.20000035
2023-05-31 00:00:00,249.0,249.0,249.0,249.0,1451.2,361348.8
2023-05-31 00:05:00,249.0,249.0,249.0,249.0,18039.1839244,4491756.7971756
2023-05-31 00:10:00,249.0,249.0,249.0,249.0,4113.95507065,1024374.81259185
2023-05-31 00:20:00,249.0,249.0,249.0,249.0,81.57228915,20311.49999835
2023-05-31 00:25:00,249.0,249.0,249.0,249.0,21.0,5229.0
2023-05-31 00:30:00,249.0,250.0,249.0,249.0,26566.48482873,6625804.72235377
2023-05-31 00:35:00,249.0,249.0,249.0,249.0,8964.373,2232128.877
2023-05-31 01:00:00,250.0,250.0,249.0,250.0,28094.10042156,7023504.70539
2023-05-31 01:05:00,250.0,251.0,250.0,250.0,10908.4752988,2728074.9999988
2023-05-31 01:10:00,250.0,250.0,250.0,250.0,6441.48966655,1610372.4166375
2023-05-31 01:50:00,250.0,250.0,249.0,249.0,1500.0,374000.0
2023-05-31 01:55:00,250.0,250.0,250.0,250.0,22.0,5500.0
2023-05-31 02:05:00,249.0,249.0,248.0,248.0,10655.96827197,2647009.05736685
2023-05-31 02:40:00,250.0,250.0,250.0,250.0,10000.0,2500000.0
2023-05-31 03:10:00,249.0,249.0,249.0,249.0,449.46762434,111917.43846066
2023-05-31 03:25:00,249.0,249.0,249.0,249.0,1000.0,249000.0
2023-05-31 03:30:00,249.0,249.0,249.0,249.0,9415.55665936,2344473.60818064
2023-05-31 04:05:00,249.0,249.0,249.0,249.0,15947.79116466,3971000.00000034
2023-05-31 05:05:00,249.0,249.0,249.0,249.0,835.90945536,208141.45438464
2023-05-31 05:20:00,249.0,249.0,249.0,249.0,349.65034965,87062.93706285
2023-05-31 05:25:00,249.0,249.0,249.0,249.0,100.0,24900.0
2023-05-31 05:55:00,250.0,250.0,250.0,250.0,1036.0,259000.0
2023-05-31 06:00:00,250.0,250.0,250.0,250.0,40.0,10000.0
2023-05-31 06:05:00,250.0,250.0,250.0,250.0,1898.893,474723.25
2023-05-31 06:25:00,249.0,250.0,249.0,250.0,1530.23583767,382496.49457983
2023-05-31 06:35:00,249.0,249.0,249.0,249.0,519.31453439,129309.31906311
2023-05-31 06:40:00,250.0,250.0,250.0,250.0,1207.147,301786.75
2023-05-31 06:45:00,250.0,250.0,249.0,249.0,3679.738,916734.762
2023-05-31 06:50:00,249.0,250.0,248.0,250.0,38486.06203487,9572213.83264358
2023-05-31 06:55:00,250.0,250.0,250.0,250.0,800.0,200000.0
2023-05-31 07:00:00,250.0,250.0,249.0,249.0,6802.44529593,1694284.24468657
2023-05-31 07:05:00,249.0,249.0,249.0,249.0,4036.0,1004964.0
2023-05-31 07:10:00,248.0,249.0,248.0,249.0,400.0,99500.0
2023-05-31 07:15:00,249.0,249.0,249.0,249.0,9739.80919608,2425212.48982392
2023-05-31 07:20:00,249.0,249.0,249.0,249.0,2091.582,520803.918
2023-05-31 07:25:00,250.0,250.0,250.0,250.0,19.76679841,4941.6996025
2023-05-31 07:35:00,249.0,249.0,249.0,249.0,1827.61688258,455076.60376242
2023-05-31 07:40:00,249.0,250.0,249.0,250.0,43778.93524892,10900974.72221917
2023-05-31 07:55:00,250.0,250.0,250.0,250.0,340.152,85038.0
2023-05-31 08:10:00,250.0,250.0,250.0,250.0,164.393,41098.25
2023-05-31 08:15:00,249.0,249.0,248.0,249.0,820.0,203565.59242369
2023-05-31 08:20:00,250.0,250.0,250.0,250.0,19.84523809,4961.3095225
2023-05-31 08:25:00,250.0,250.0,248.0,248.0,4756.37684941,1184078.47167327
2023-05-31 08:30:00,249.0,249.0,249.0,249.0,6141.63158347,1529266.26428403
2023-05-31 08:35:00,248.0,249.0,248.0,249.0,3262.4953482,811151.66428244
2023-05-31 08:40:00,248.0,249.0,248.0,249.0,17112.30297838,4247315.81144398
2023-05-31 08:45:00,250.0,250.0,249.0,249.0,2029.00933251,505655.5203785
2023-05-31 08:50:00,250.0,250.0,250.0,250.0,53688.32906117,13422082.2652925
2023-05-31 08:55:00,249.0,249.0,249.0,249.0,461.42356,114894.46644
2023-05-31 09:00:00,249.0,250.0,248.0,248.0,41952.80744015,10415017.06684717
2023-05-31 09:05:00,248.0,249.0,248.0,249.0,1320.70844368,327615.9751772
2023-05-31 09:10:00,249.0,249.0,248.0,249.0,4754.87147069,1179288.44601626
2023-05-31 09:15:00,248.0,248.0,247.0,248.0,86373.43833117,21383590.71199043
2023-05-31 09:20:00,248.0,248.0,247.0,248.0,11679.96610077,2886219.0099547
2023-05-31 09:25:00,248.0,248.0,248.0,248.0,2875.0,713000.0
2023-05-31 09:30:00,247.0,248.0,247.0,248.0,4725.65826612,1171812.21773969
2023-05-31 09:35:00,248.0,248.0,248.0,248.0,8132.44971652,2016847.52969696
2023-05-31 09:40:00,247.0,247.0,247.0,247.0,1195.2191235,295219.1235045
2023-05-31 09:45:00,248.0,249.0,248.0,249.0,35701.28299488,8860702.37612156
2023-05-31 09:50:00,249.0,249.0,249.0,249.0,2420.99432211,602827.58620539
2023-05-31 10:00:00,248.0,249.0,248.0,248.0,10781.3917297,2673812.52841224
2023-05-31 10:05:00,248.0,249.0,248.0,248.0,488.44793395,121160.0876196
2023-05-31 10:10:00,248.0,248.0,248.0,248.0,3552.99093226,881141.75120048
2023-05-31 10:15:00,248.0,248.0,248.0,248.0,23226.30129967,5760122.72231816
2023-05-31 10:20:00,248.0,248.0,248.0,248.0,3968.25396825,984126.984126
2023-05-31 10:25:00,248.0,248.0,248.0,248.0,24790.88963148,6148140.62860704
2023-05-31 10:30:00,248.0,248.0,248.0,248.0,3000.0,744000.0
2023-05-31 10:35:00,248.0,248.0,248.0,248.0,19087.70201168,4733750.09889664
2023-05-31 10:40:00,248.0,249.0,248.0,249.0,37424.61971215,9281386.00989834
2023-05-31 10:45:00,249.0,249.0,248.0,248.0,378.28636655,93855.17954697
2023-05-31 10:50:00,248.0,248.0,248.0,248.0,202.89216414,50317.25670672
2023-05-31 10:55:00,248.0,248.0,248.0,248.0,16414.08753454,4070693.70856592
2023-05-31 11:00:00,248.0,248.0,248.0,248.0,10000.0,2480000.0
2023-05-31 11:05:00,248.0,248.0,248.0,248.0,30747.55250577,7625393.02143096
2023-05-31 11:10:00,248.0,248.0,248.0,248.0,19332.70766129,4794511.49999992
2023-05-31 11:15:00,248.0,248.0,248.0,248.0,8139.61261568,2018623.92868864
2023-05-31 11:20:00,248.0,248.0,248.0,248.0,9302.62006602,2307049.77637296
2023-05-31 11:25:00,249.0,249.0,249.0,249.0,1004.01606425,249999.99999825
2023-05-31 11:30:00,248.0,248.0,248.0,248.0,74282.96689336,18422175.78955328
2023-05-31 11:40:00,248.0,249.0,248.0,249.0,10074.18778191,2498840.33698195
2023-05-31 11:45:00,248.0,248.0,248.0,248.0,29690.84153648,7363328.70104704
2023-05-31 11:50:00,248.0,248.0,248.0,248.0,954.7363415,236774.612692
2023-05-31 11:55:00,247.0,248.0,247.0,247.0,3662.3774978,907477.0014317
2023-05-31 12:00:00,247.0,248.0,247.0,248.0,12705.29223873,3147971.84934888
2023-05-31 12:05:00,249.0,249.0,249.0,249.0,200.80321285,49999.99999965
2023-05-31 12:10:00,248.0,248.0,248.0,248.0,23746.40502328,5889108.44577344
2023-05-31 12:15:00,247.0,248.0,247.0,248.0,54744.82668001,13522595.3400717
2023-05-31 12:20:00,248.0,248.0,248.0,248.0,2879.56425013,714131.93403224
2023-05-31 12:25:00,247.0,247.0,247.0,247.0,43646.33481951,10780644.70041897
2023-05-31 12:30:00,247.0,247.0,247.0,247.0,9723.04070718,2401591.05467346
2023-05-31 12:40:00,247.0,248.0,247.0,248.0,410.85620032,101521.96730899
2023-05-31 12:50:00,248.0,248.0,248.0,248.0,20.16532258,5000.99999984
2023-05-31 12:55:00,247.0,247.0,246.0,247.0,30592.96403872,7548449.17604446
2023-05-31 13:00:00,246.0,247.0,246.0,247.0,19971.57903767,4927080.53788031
2023-05-31 13:05:00,247.0,247.0,247.0,247.0,4735.82995949,1169749.99999403
2023-05-31 13:10:00,247.0,247.0,246.0,246.0,1282.65953416,315734.24540336
2023-05-31 13:15:00,247.0,247.0,247.0,247.0,5427.76595945,1340658.19198415
2023-05-31 13:20:00,247.0,247.0,247.0,247.0,9559.55310496,2361209.61692512
2023-05-31 13:25:00,247.0,247.0,247.0,247.0,283.18920284,69947.73310148
2023-05-31 13:30:00,247.0,247.0,247.0,247.0,660.60664821,163169.84210787
2023-05-31 13:35:00,247.0,247.0,247.0,247.0,4000.0,988000.0
2023-05-31 13:40:00,247.0,247.0,247.0,247.0,18998.3908371,4692602.5367637
2023-05-31 13:45:00,247.0,248.0,246.0,247.0,61878.3048786,15271699.70880902
2023-05-31 13:50:00,247.0,247.0,246.0,246.0,11348.19913894,2794053.64854631
2023-05-31 13:55:00,247.0,247.0,246.0,247.0,47538.6314444,11731628.33466543
2023-05-31 14:00:00,246.0,246.0,243.0,245.0,296567.6730507,72490375.88502873
2023-05-31 14:05:00,245.0,245.0,244.0,244.0,91789.80924892,22402951.61316845
2023-05-31 14:10:00,244.0,245.0,243.0,245.0,12139.57680463,2954641.82376852
2023-05-31 14:15:00,244.0,244.0,243.0,244.0,20250.66171681,4941092.39182222
2023-05-31 14:20:00,244.0,245.0,244.0,245.0,49857.54452094,12206076.96035036
2023-05-31 14:25:00,244.0,245.0,244.0,245.0,29940.19573047,7305567.84657202
2023-05-31 14:30:00,245.0,245.0,242.0,244.0,250470.50868353,60873041.37481831
2023-05-31 14:35:00,243.0,244.0,243.0,244.0,153621.32395945,37338298.45898139
2023-05-31 14:40:00,243.0,244.0,243.0,244.0,9385.28802008,2285309.63334664
2023-05-31 14:45:00,244.0,244.0,243.0,244.0,1456.6804186,354730.43366103
2023-05-31 14:50:00,244.0,244.0,244.0,244.0,2049.18032786,499999.99999784
2023-05-31 14:55:00,244.0,244.0,244.0,244.0,1281.68136171,312730.25225724
2023-05-31 15:00:00,244.0,244.0,242.0,244.0,90692.44172716,22043772.0089018
2023-05-31 15:05:00,244.0,244.0,244.0,244.0,9199.79764214,2244750.62468216
2023-05-31 15:10:00,243.0,244.0,243.0,244.0,8582.79396074,2085659.26310498
2023-05-31 15:15:00,244.0,245.0,243.0,245.0,131487.04031801,32082721.13490361
2023-05-31 15:20:00,245.0,245.0,245.0,245.0,599.79598669,146950.01673905
2023-05-31 15:25:00,245.0,245.0,244.0,244.0,1160.0,283340.0
2023-05-31 15:30:00,245.0,245.0,244.0,244.0,22006.20089108,5372654.34522076
2023-05-31 15:35:00,243.0,244.0,243.0,244.0,35540.73785118,8663907.90717387
