,open,high,low,close,volume,value
2023-06-05 23:20:00,5.65,5.66,5.65,5.66,5485.71963473,31029.65162527
2023-06-05 23:25:00,5.65,5.67,5.65,5.67,265241.62512328,1498660.46618273
2023-06-05 23:30:00,5.66,5.66,5.66,5.66,1763.66843033,9982.36331567
2023-06-05 23:35:00,5.66,5.68,5.66,5.68,586989.12654966,3329454.08060594
2023-06-05 23:40:00,5.67,5.67,5.67,5.67,235554.0,1335591.18
2023-06-05 23:45:00,5.68,5.68,5.67,5.67,1467388.70619209,8320120.70249822
2023-06-05 23:50:00,5.67,5.68,5.67,5.68,826206.63401684,4686467.57302315
2023-06-05 23:55:00,5.68,5.68,5.66,5.67,98253.17782372,557996.82034966
2023-06-06 00:00:00,5.66,5.68,5.65,5.65,2938355.52171201,16638234.65015542
2023-06-06 00:05:00,5.65,5.66,5.65,5.65,3491905.16784451,19738340.49999993
2023-06-06 00:10:00,5.66,5.67,5.66,5.66,686852.4061636,3887594.54024109
2023-06-06 00:15:00,5.66,5.67,5.64,5.64,3834440.58401702,21664103.84087646
2023-06-06 00:20:00,5.64,5.64,5.63,5.63,2867948.18775083,16156441.8451858
2023-06-06 00:25:00,5.63,5.64,5.58,5.6,16990312.19774352,95252977.90002064
2023-06-06 00:30:00,5.61,5.61,5.58,5.59,978526.75004837,5473538.73223651
2023-06-06 00:35:00,5.59,5.61,5.58,5.61,1621803.01636235,9054546.83411622
2023-06-06 00:40:00,5.61,5.62,5.61,5.62,767251.7604642,4311842.92266431
2023-06-06 00:45:00,5.63,5.64,5.61,5.61,710530.92035966,3989811.50675775
2023-06-06 00:50:00,5.6,5.6,5.55,5.57,11768244.27685077,65443787.53693491
2023-06-06 00:55:00,5.56,5.56,5.4,5.41,23615130.92324422,129601949.73140079
2023-06-06 01:00:00,5.42,5.44,5.27,5.27,27227510.00675346,145401325.1761423
2023-06-06 01:05:00,5.26,5.35,5.25,5.35,12390647.06442377,65687684.83155311
2023-06-06 01:10:00,5.35,5.37,5.34,5.37,6390759.6537574,34219149.25125318
2023-06-06 01:15:00,5.37,5.38,5.35,5.36,6994406.44631724,37539654.05745795
2023-06-06 01:20:00,5.37,5.38,5.34,5.36,4337004.56520089,23202132.48686756
2023-06-06 01:25:00,5.36,5.37,5.34,5.37,4647378.93027491,24911476.8119223
2023-06-06 01:30:00,5.36,5.36,5.33,5.33,6013812.97514668,32160620.27568537
2023-06-06 01:35:00,5.33,5.37,5.31,5.31,6782841.93915962,36138438.91129863
2023-06-06 01:40:00,5.31,5.33,5.29,5.31,5381837.95201581,28562469.07765255
2023-06-06 01:45:00,5.31,5.32,5.28,5.28,3374626.95705023,17877842.32049016
2023-06-06 01:50:00,5.29,5.3,5.27,5.29,18642248.97138335,98454085.28670055
