,open,high,low,close,volume,value
2023-06-08 17:00:00,874.0,880.0,873.0,878.0,248012.25990623,217299527.33756283
2023-06-08 17:05:00,878.0,886.0,878.0,883.0,586434.67425203,517552629.1172359
2023-06-08 17:10:00,883.0,884.0,877.0,881.0,357786.38867486,315055895.76746976
2023-06-08 17:15:00,880.0,888.0,880.0,885.0,446049.18504478,394781497.19730353
2023-06-08 17:20:00,885.0,887.0,881.0,885.0,349382.15633193,309042966.2648422
2023-06-08 17:25:00,885.0,886.0,883.0,884.0,232818.53147429,206006241.3387061
2023-06-08 17:30:00,884.0,886.0,877.0,880.0,461150.95179321,406014251.6201851
2023-06-08 17:35:00,880.0,884.0,879.0,883.0,300111.60482853,264479181.1372644
2023-06-08 17:40:00,883.0,887.0,882.0,885.0,377010.8669831,333465703.57084686
2023-06-08 17:45:00,885.0,892.0,884.0,884.0,793536.65204189,704869613.9494003
2023-06-08 17:50:00,884.0,888.0,883.0,887.0,208728.18759584,184955561.82212117
2023-06-08 17:55:00,887.0,887.0,880.0,880.0,403792.46265516,356210317.726779
2023-06-08 18:00:00,880.0,890.0,873.0,885.0,909998.38996986,803050017.7187003
2023-06-08 18:05:00,884.0,887.0,882.0,885.0,304464.58177605,269431663.80688953
2023-06-08 18:10:00,885.0,888.0,883.0,884.0,227747.56548555,201644553.6810025
2023-06-08 18:15:00,885.0,887.0,884.0,886.0,207186.18450092,183452556.77633932
2023-06-08 18:20:00,885.0,885.0,878.0,880.0,407309.14469858,359009280.3922509
2023-06-08 18:25:00,879.0,884.0,877.0,880.0,505882.34903457,444987994.769861
2023-06-08 18:30:00,880.0,882.0,875.0,876.0,306261.26796134,268833291.64193416
2023-06-08 18:35:00,876.0,878.0,872.0,874.0,589651.4281644,515458547.0452626
2023-06-08 18:40:00,874.0,878.0,874.0,875.0,139991.22787471,122549723.68330763
2023-06-08 18:45:00,875.0,880.0,874.0,875.0,246158.68295582,215838643.67156792
2023-06-08 18:50:00,875.0,880.0,874.0,876.0,119324.44982735,104673929.6072852
2023-06-08 18:55:00,876.0,877.0,872.0,876.0,221852.31148747,193956088.55668157
2023-06-08 19:00:00,876.0,878.0,875.0,878.0,142442.15127991,124984224.83231635
2023-06-08 19:05:00,877.0,877.0,873.0,875.0,71799.02734945,62831272.4011235
2023-06-08 19:10:00,876.0,876.0,868.0,870.0,454891.2244413,396036075.38336146
2023-06-08 19:15:00,870.0,873.0,867.0,870.0,207942.84928767,180819426.5589671
2023-06-08 19:20:00,870.0,870.0,858.0,862.0,914240.29436265,788565411.7023401
2023-06-08 19:25:00,862.0,865.0,856.0,858.0,605016.10363685,520458006.24566185
2023-06-08 19:30:00,857.0,859.0,853.0,855.0,600527.9306168,513905073.3863883
2023-06-08 19:35:00,855.0,855.0,848.0,851.0,1652011.39367057,1406152326.6714816
