,open,high,low,close,volume,value
2023-06-08 17:40:00,1035.0,1035.0,1030.0,1035.0,22229.75464663,22972516.12049915
2023-06-08 17:45:00,1030.0,1035.0,1025.0,1025.0,270416.5549673,278524097.27721304
2023-06-08 17:50:00,1030.0,1035.0,1025.0,1030.0,125015.72611548,128728298.101013
2023-06-08 17:55:00,1030.0,1035.0,1030.0,1030.0,22233.55678865,22902928.12999055
2023-06-08 18:00:00,1035.0,1035.0,1030.0,1035.0,18945.7842158,19588541.69872685
2023-06-08 18:05:00,1030.0,1035.0,1030.0,1035.0,47349.37482334,48873821.652843
2023-06-08 18:10:00,1035.0,1035.0,1030.0,1035.0,38660.67734817,39867039.81384675
2023-06-08 18:15:00,1035.0,1035.0,1030.0,1030.0,172588.32608032,177766217.28785035
2023-06-08 18:20:00,1035.0,1035.0,1030.0,1035.0,30472.2907485,31395502.27322525
2023-06-08 18:25:00,1035.0,1035.0,1030.0,1030.0,26182.10505118,26976133.3420659
2023-06-08 18:30:00,1030.0,1035.0,1025.0,1025.0,159022.97929898,163727176.2948065
2023-06-08 18:35:00,1025.0,1030.0,1025.0,1025.0,67167.11407025,68848540.86466345
2023-06-08 18:40:00,1025.0,1030.0,1020.0,1025.0,322982.62245265,330746528.41756904
2023-06-08 18:45:00,1030.0,1030.0,1020.0,1025.0,140654.50530852,144153954.09029475
2023-06-08 18:50:00,1020.0,1025.0,1020.0,1025.0,43219.8702333,44177496.404052
2023-06-08 18:55:00,1020.0,1025.0,1020.0,1020.0,73789.53045177,75300625.43376546
2023-06-08 19:00:00,1020.0,1025.0,1015.0,1015.0,312066.4573641,318003704.1818092
2023-06-08 19:05:00,1020.0,1020.0,1015.0,1015.0,108849.54983822,110879732.34233645
2023-06-08 19:10:00,1015.0,1020.0,1010.0,1015.0,311570.64032156,315891791.6880605
2023-06-08 19:15:00,1010.0,1020.0,1010.0,1015.0,173706.09407641,176259281.22677454
2023-06-08 19:20:00,1015.0,1020.0,1010.0,1010.0,128535.08252843,130274176.3465756
2023-06-08 19:25:00,1010.0,1015.0,1005.0,1005.0,288796.19037089,291782104.0334125
2023-06-08 19:30:00,1005.0,1010.0,994.0,995.0,1958613.29723487,1957841096.423887
2023-06-08 19:35:00,995.0,1005.0,995.0,1000.0,445724.08046515,445369252.25937444
2023-06-08 19:40:00,1005.0,1010.0,999.0,1010.0,421083.85165056,421830202.612395
2023-06-08 19:45:00,1010.0,1010.0,1005.0,1010.0,206099.82637251,207408711.2373459
2023-06-08 19:50:00,1010.0,1015.0,1005.0,1015.0,129451.91545068,130607815.76374225
2023-06-08 19:55:00,1010.0,1015.0,1005.0,1015.0,100645.03172736,101676050.84822644
2023-06-08 20:00:00,1015.0,1020.0,1010.0,1015.0,250701.15757172,254395357.02676305
2023-06-08 20:05:00,1010.0,1015.0,1010.0,1010.0,44423.38692959,44940232.3438571
2023-06-08 20:10:00,1010.0,1015.0,1010.0,1010.0,139683.47440874,141081790.51187256
2023-06-08 20:15:00,1010.0,1015.0,1010.0,1010.0,65594.26647135,66284758.5376503
2023-06-08 20:20:00,1010.0,1010.0,1005.0,1010.0,59613.109881,60181052.1132028
2023-06-08 20:25:00,1010.0,1010.0,1005.0,1005.0,50725.80867901,51078632.0066197
2023-06-08 20:30:00,1010.0,1015.0,1005.0,1010.0,204330.05102359,206356756.1301106
2023-06-08 20:35:00,1010.0,1015.0,1005.0,1010.0,64163.07650014,64849571.92126445
