,open,high,low,close,volume,value
2023-06-02 04:20:00,4.73,4.73,4.73,4.73,105708.24524312,499999.99999996
2023-06-02 04:35:00,4.72,4.72,4.72,4.72,5790300.26683973,27330217.25948353
2023-06-02 05:00:00,4.72,4.72,4.72,4.72,30000.0,141600.0
2023-06-02 05:10:00,4.73,4.73,4.73,4.73,2114.16490486,9999.99999999
2023-06-02 05:15:00,4.72,4.72,4.72,4.72,30000.0,141600.0
2023-06-02 05:30:00,4.72,4.72,4.72,4.72,30000.0,141600.0
2023-06-02 05:45:00,4.72,4.72,4.72,4.72,100132.21276595,472624.04425528
2023-06-02 05:55:00,4.72,4.72,4.72,4.72,30000.0,141600.0
2023-06-02 06:00:00,4.72,4.72,4.72,4.72,15707.36876873,74138.78058841
2023-06-02 06:05:00,4.73,4.73,4.73,4.73,1057.29386892,5000.99999999
2023-06-02 06:10:00,4.73,4.73,4.73,4.73,107474.59251346,508354.82258867
2023-06-02 06:15:00,4.72,4.72,4.72,4.72,424912.01207906,2005584.69701316
2023-06-02 06:25:00,4.73,4.73,4.73,4.73,1057.50528541,5001.99999999
2023-06-02 06:40:00,4.73,4.73,4.72,4.72,60000.0,283500.0
2023-06-02 06:45:00,4.72,4.73,4.72,4.73,130580.0,616443.4
2023-06-02 06:50:00,4.73,4.73,4.73,4.73,100000.0,473000.0
2023-06-02 06:55:00,4.72,4.72,4.72,4.72,60568.62745098,285883.92156863
2023-06-02 07:05:00,4.72,4.72,4.72,4.72,16595.71283876,78331.76459895
2023-06-02 07:10:00,4.72,4.72,4.72,4.72,34128.89525882,161088.38562163
2023-06-02 07:25:00,4.72,4.72,4.72,4.72,65403.10353296,308702.64867558
2023-06-02 07:35:00,4.71,4.71,4.71,4.71,134000.0,631140.0
2023-06-02 08:05:00,4.72,4.72,4.72,4.72,4071.37554104,19216.89255371
2023-06-02 08:10:00,4.71,4.71,4.71,4.71,276594.20746099,1302758.71714126
2023-06-02 08:25:00,4.7,4.7,4.7,4.7,85106.38297873,400000.00000003
2023-06-02 08:35:00,4.7,4.7,4.7,4.7,142000.0,667400.0
2023-06-02 08:40:00,4.7,4.7,4.7,4.7,183959.34841132,864608.9375332
2023-06-02 08:45:00,4.69,4.7,4.68,4.7,566453.27037003,2654751.90975956
2023-06-02 08:55:00,4.69,4.69,4.68,4.68,433243.55901253,2029185.17101658
2023-06-02 09:00:00,4.68,4.72,4.68,4.68,1689502.71450873,7928285.583673
2023-06-02 09:05:00,4.68,4.68,4.67,4.67,1132103.40183277,5289681.06342961
2023-06-02 09:10:00,4.69,4.69,4.69,4.69,5330.49040511,24999.99999997
2023-06-02 09:15:00,4.68,4.68,4.68,4.68,3685.28013675,17247.11103999
2023-06-02 09:20:00,4.68,4.68,4.68,4.68,1709.4017094,7999.99999999
2023-06-02 09:25:00,4.68,4.68,4.67,4.67,577666.57094034,2697916.56150507
2023-06-02 09:30:00,4.68,4.68,4.68,4.68,146272.58415899,684555.69386407
2023-06-02 09:35:00,4.68,4.68,4.65,4.66,4660936.45642379,21692676.12811145
2023-06-02 09:40:00,4.66,4.69,4.64,4.69,2070284.32555299,9662542.33136637
2023-06-02 09:45:00,4.69,4.69,4.69,4.69,500.0,2345.0
2023-06-02 09:50:00,4.68,4.69,4.68,4.69,131572.15037019,615796.96010775
2023-06-02 09:55:00,4.69,4.7,4.69,4.7,208411.60185168,977498.47552374
