,open,high,low,close,volume,value
2023-06-07 15:25:00,2205.0,2205.0,2200.0,2205.0,37037.03984,81523555.5422178
2023-06-07 15:30:00,2205.0,2215.0,2200.0,2210.0,56795.59392162,125385936.8079107
2023-06-07 15:35:00,2210.0,2210.0,2190.0,2190.0,72576.1682654,159804511.30472404
2023-06-07 15:40:00,2190.0,2195.0,2185.0,2185.0,94186.86284227,206056265.7934495
2023-06-07 15:45:00,2185.0,2190.0,2180.0,2185.0,68799.28739449,150204845.6082876
2023-06-07 15:50:00,2180.0,2185.0,2180.0,2180.0,37699.37937722,82191618.1173865
2023-06-07 15:55:00,2185.0,2185.0,2180.0,2180.0,22837.40956815,49820433.69908635
2023-06-07 16:00:00,2185.0,2190.0,2180.0,2185.0,25278.4267852,55201210.2554299
2023-06-07 16:05:00,2185.0,2185.0,2180.0,2185.0,51963.26831431,113467869.09136996
2023-06-07 16:10:00,2185.0,2190.0,2180.0,2185.0,40756.13471647,89043979.5934785
2023-06-07 16:15:00,2185.0,2185.0,2180.0,2180.0,33201.86582606,72429095.63151325
2023-06-07 16:20:00,2180.0,2190.0,2175.0,2185.0,27413.9489116,59749770.8462847
2023-06-07 16:25:00,2185.0,2195.0,2185.0,2195.0,30104.91594706,65923949.5190939
2023-06-07 16:30:00,2195.0,2205.0,2190.0,2200.0,46397.30417721,101890055.77072585
2023-06-07 16:35:00,2205.0,2205.0,2190.0,2195.0,35007.53028893,76900130.1891363
2023-06-07 16:40:00,2200.0,2200.0,2200.0,2200.0,31604.69396884,69530326.731448
2023-06-07 16:45:00,2200.0,2205.0,2195.0,2195.0,18879.77551892,41509582.04775795
2023-06-07 16:50:00,2190.0,2200.0,2190.0,2195.0,22690.48723989,49813097.44467625
2023-06-07 16:55:00,2195.0,2195.0,2190.0,2190.0,19360.4980918,42411276.78421125
2023-06-07 17:00:00,2190.0,2190.0,2180.0,2180.0,25729.44406972,56122326.5141696
2023-06-07 17:05:00,2180.0,2185.0,2180.0,2185.0,19647.1064346,42847802.00458235
2023-06-07 17:10:00,2185.0,2185.0,2180.0,2185.0,2018.65766578,4406200.60030065
2023-06-07 17:15:00,2185.0,2190.0,2180.0,2185.0,22690.3106697,49558770.07649375
2023-06-07 17:20:00,2185.0,2190.0,2185.0,2185.0,9118.36722008,19940204.0004486
2023-06-07 17:25:00,2185.0,2190.0,2185.0,2190.0,10905.52801078,23869730.0790571
2023-06-07 17:30:00,2190.0,2195.0,2185.0,2190.0,17959.19273877,39331980.88147
2023-06-07 17:35:00,2190.0,2190.0,2180.0,2190.0,20817.18512882,45512661.65399875
2023-06-07 17:40:00,2190.0,2190.0,2185.0,2190.0,4095.73977668,8966909.13003015
2023-06-07 17:45:00,2190.0,2190.0,2185.0,2190.0,21041.89299861,46027130.5302882
2023-06-07 17:50:00,2185.0,2190.0,2180.0,2185.0,16544.04158853,36113060.6950262
2023-06-07 17:55:00,2185.0,2195.0,2185.0,2195.0,10602.98757734,23210808.57080725
2023-06-07 18:00:00,2190.0,2195.0,2190.0,2195.0,11263.09526223,24682415.3548268
