,open,high,low,close,volume,value
2023-06-07 08:35:00,0.0313,0.0313,0.0312,0.0312,24655547.12073152,769984.83974529
2023-06-07 08:40:00,0.0312,0.0313,0.0312,0.0313,21900605.06683557,685200.56462379
2023-06-07 08:45:00,0.0313,0.0313,0.0312,0.0312,135488053.92032248,4240412.83650182
2023-06-07 08:50:00,0.0313,0.0313,0.0313,0.0313,12017880.19169326,376159.65
2023-06-07 08:55:00,0.0312,0.0313,0.0312,0.0312,216525795.3503925,6758239.46714129
2023-06-07 09:00:00,0.0313,0.0314,0.0311,0.0311,93022015.6001653,2909090.14028415
2023-06-07 09:05:00,0.0311,0.0312,0.0311,0.0312,74983039.44370197,2338278.16234285
2023-06-07 09:10:00,0.0312,0.0312,0.0311,0.0311,264527536.61204264,8253024.96074991
2023-06-07 09:15:00,0.0311,0.0312,0.031,0.0312,211737906.7828815,6587462.05720909
2023-06-07 09:20:00,0.0311,0.0311,0.0311,0.0311,394936378.1671736,12282521.36099911
2023-06-07 09:25:00,0.0311,0.0312,0.0311,0.0311,56139720.90980339,1746265.83311539
2023-06-07 09:30:00,0.0311,0.0311,0.0311,0.0311,5010904.41024403,155839.12715859
2023-06-07 09:35:00,0.0311,0.0312,0.031,0.031,144911948.10731676,4514069.71663115
2023-06-07 09:40:00,0.031,0.0311,0.031,0.0311,98724778.72670451,3070060.85634907
2023-06-07 09:45:00,0.0312,0.0312,0.0311,0.0311,72855399.86474845,2266122.80758855
2023-06-07 09:50:00,0.0312,0.0312,0.0311,0.0311,5888979.29881213,183699.95412294
2023-06-07 09:55:00,0.0311,0.0311,0.031,0.031,66253915.98853677,2055734.29431778
2023-06-07 10:00:00,0.031,0.0312,0.031,0.0311,277757924.3075677,8623829.88245009
2023-06-07 10:05:00,0.0312,0.0312,0.0311,0.0311,55999085.50360972,1743825.7734029
2023-06-07 10:10:00,0.0311,0.0311,0.031,0.031,23115790.47608808,716605.58514458
2023-06-07 10:15:00,0.031,0.0311,0.031,0.031,112374448.54513437,3484194.47403099
2023-06-07 10:20:00,0.031,0.031,0.0309,0.0309,121412305.71446472,3753453.1502864
2023-06-07 10:25:00,0.0309,0.0309,0.0308,0.0308,40769576.18228755,1256512.00790313
2023-06-07 10:30:00,0.0308,0.0309,0.0308,0.0308,4512286.89815095,138997.85393877
2023-06-07 10:35:00,0.0308,0.0309,0.0308,0.0308,361793176.4491719,11143248.42103451
2023-06-07 10:40:00,0.0307,0.0308,0.0307,0.0308,27916513.86755294,859357.85268192
2023-06-07 10:45:00,0.0308,0.0308,0.0307,0.0308,403239057.33059824,12419743.54830669
2023-06-07 10:50:00,0.0308,0.0309,0.0308,0.0308,34888459.98564334,1074583.98503354
2023-06-07 10:55:00,0.0309,0.0309,0.0309,0.0309,19405995.14563106,599645.25
2023-06-07 11:00:00,0.0308,0.0309,0.0308,0.0308,126243096.48125128,3888468.601396
2023-06-07 11:05:00,0.0308,0.0308,0.0307,0.0307,105527682.4853375,3249666.05141657
2023-06-07 11:10:00,0.0308,0.0308,0.0308,0.0308,3822272.90188938,117726.00537819
2023-06-07 11:15:00,0.0308,0.0308,0.0307,0.0307,476022489.0005337,14623365.19042239
2023-06-07 11:20:00,0.0307,0.0307,0.0307,0.0307,162356735.49248353,4984351.77961923
2023-06-07 11:25:00,0.0307,0.0307,0.0307,0.0307,242984664.0524788,7459629.1864111
2023-06-07 11:30:00,0.0307,0.0307,0.0306,0.0307,195662888.87488726,5991263.2041939
2023-06-07 11:35:00,0.0308,0.0308,0.0307,0.0307,59195667.88464934,1820172.6689938
2023-06-07 11:40:00,0.0307,0.0308,0.0306,0.0306,17552287.2238856,538892.05694232
2023-06-07 11:45:00,0.0308,0.0308,0.0307,0.0307,101600586.12751982,3123650.56500256
2023-06-07 11:50:00,0.0307,0.0307,0.0307,0.0307,12950274.43675148,397573.42520827
