,open,high,low,close,volume,value
2023-06-08 18:15:00,688.0,688.0,686.0,688.0,73105.56078926,50231078.46902258
2023-06-08 18:20:00,687.0,688.0,687.0,687.0,150926.65802652,103809550.23134156
2023-06-08 18:25:00,687.0,688.0,686.0,687.0,456254.1855893,313471465.491787
2023-06-08 18:30:00,686.0,687.0,685.0,686.0,1215357.44879908,833742983.2049046
2023-06-08 18:35:00,686.0,686.0,683.0,683.0,1720546.56054794,1177904950.3384492
2023-06-08 18:40:00,684.0,685.0,683.0,685.0,814412.99117794,557167195.7424597
2023-06-08 18:45:00,685.0,686.0,685.0,685.0,298035.26757885,204222765.335842
2023-06-08 18:50:00,685.0,686.0,684.0,686.0,629220.76106432,431278585.6746335
2023-06-08 18:55:00,686.0,687.0,685.0,686.0,148558.80039682,101870492.37537086
2023-06-08 19:00:00,686.0,686.0,685.0,686.0,260480.89656677,178613559.2082561
2023-06-08 19:05:00,686.0,687.0,685.0,686.0,291009.57294184,199581092.1336808
2023-06-08 19:10:00,686.0,687.0,686.0,686.0,181936.21083991,124894810.15283678
2023-06-08 19:15:00,687.0,687.0,686.0,687.0,588988.02952326,404425528.0766307
2023-06-08 19:20:00,687.0,688.0,686.0,686.0,415926.75193647,285744268.18037575
2023-06-08 19:25:00,686.0,687.0,685.0,685.0,284357.78819085,195049783.89294407
2023-06-08 19:30:00,686.0,686.0,685.0,685.0,105036.02405943,72008628.5903176
2023-06-08 19:35:00,685.0,686.0,685.0,686.0,304869.35306371,209011425.54456952
2023-06-08 19:40:00,686.0,687.0,684.0,686.0,621082.57890772,425640266.2654121
2023-06-08 19:45:00,687.0,687.0,686.0,686.0,221646.12869446,152244960.63169622
2023-06-08 19:50:00,687.0,688.0,686.0,688.0,379995.43501657,261116865.2200672
2023-06-08 19:55:00,687.0,689.0,687.0,688.0,471616.11175775,324472821.5565053
2023-06-08 20:00:00,688.0,689.0,688.0,688.0,852882.9816076,587033393.2355176
2023-06-08 20:05:00,689.0,689.0,688.0,689.0,370757.55079637,255292696.18633035
2023-06-08 20:10:00,689.0,689.0,688.0,689.0,258383.98137527,177958655.87599584
2023-06-08 20:15:00,689.0,689.0,688.0,688.0,248958.71226916,171455184.07003954
2023-06-08 20:20:00,688.0,689.0,688.0,689.0,369576.58064998,254390439.6551062
2023-06-08 20:25:00,689.0,689.0,688.0,688.0,170396.93287714,117287716.94055425
2023-06-08 20:30:00,689.0,689.0,687.0,687.0,373985.49986867,257341718.7621442
2023-06-08 20:35:00,687.0,688.0,687.0,687.0,213882.32846921,147095706.3972932
2023-06-08 20:40:00,688.0,688.0,687.0,688.0,86625.61394305,59543474.20360116
2023-06-08 20:45:00,688.0,688.0,687.0,687.0,201318.63018036,138328326.60574204
2023-06-08 20:50:00,687.0,688.0,687.0,687.0,287580.22415864,197617841.99832967
2023-06-08 20:55:00,687.0,688.0,686.0,686.0,487876.38813154,335349296.0052702
2023-06-08 21:00:00,687.0,687.0,685.0,686.0,523275.00145797,359003149.88595456
2023-06-08 21:05:00,686.0,687.0,685.0,686.0,183682.61477381,125999834.21591784
2023-06-08 21:10:00,686.0,687.0,686.0,687.0,152868.63471493,104974730.96023157
2023-06-08 21:15:00,686.0,687.0,686.0,687.0,233589.08261263,160377409.98076582
2023-06-08 21:20:00,686.0,687.0,685.0,685.0,335280.62720742,230012292.82712507
2023-06-08 21:25:00,685.0,686.0,685.0,686.0,281378.55374892,192915754.3006365
2023-06-08 21:30:00,686.0,687.0,685.0,687.0,500314.1125844,343376035.7922803
2023-06-08 21:35:00,687.0,689.0,686.0,689.0,1803803.28995322,1241105547.0022087
2023-06-08 21:40:00,689.0,689.0,687.0,688.0,1566638.61262249,1079040921.0893977
2023-06-08 21:45:00,689.0,691.0,688.0,691.0,1440742.16587437,993729034.8272516
2023-06-08 21:50:00,691.0,694.0,690.0,692.0,3538686.60531309,2450566591.5602674
2023-06-08 21:55:00,692.0,693.0,690.0,691.0,1368954.27286913,946198583.7111006
2023-06-08 22:00:00,691.0,691.0,686.0,687.0,1717228.44787793,1181322549.0513356
2023-06-08 22:05:00,687.0,690.0,686.0,690.0,1170293.41191429,805665747.790854
2023-06-08 22:10:00,689.0,690.0,688.0,689.0,415290.80309384,286128865.83446276
2023-06-08 22:15:00,689.0,690.0,688.0,689.0,713755.88235133,491661197.80495894
2023-06-08 22:20:00,688.0,690.0,688.0,688.0,288749.97569237,198890585.90273178
2023-06-08 22:25:00,689.0,689.0,687.0,688.0,462636.60541012,318364854.166997
2023-06-08 22:30:00,688.0,689.0,687.0,688.0,182250.96155784,125412501.21565571
2023-06-08 22:35:00,688.0,691.0,687.0,690.0,775947.61244885,534684028.9587489
2023-06-08 22:40:00,689.0,691.0,689.0,689.0,821153.6730381,566577990.1770774
