,open,high,low,close,volume,value
2023-02-06 09:00:00,709.0,764.0,705.0,712.0,26816736.58804967,19575578836.025192
2023-02-07 09:00:00,711.0,744.0,696.0,741.0,13899910.80854234,10071022406.590393
2023-02-08 09:00:00,741.0,754.0,697.0,723.0,11353353.73372674,8251622164.418246
2023-02-09 09:00:00,722.0,739.0,675.0,682.0,13078870.01950289,9225482498.176577
2023-02-10 09:00:00,682.0,698.0,669.0,691.0,7825913.05402242,5343741238.1891575
2023-02-11 09:00:00,692.0,703.0,684.0,702.0,2353805.64246765,1626298242.395486
2023-02-12 09:00:00,702.0,704.0,678.0,691.0,5059940.30183748,3522248229.0142527
2023-02-13 09:00:00,691.0,703.0,664.0,688.0,15065641.03640141,10361370702.990726
2023-02-14 09:00:00,690.0,701.0,670.0,701.0,8753149.83209879,6045759170.347494
2023-02-15 09:00:00,702.0,733.0,691.0,730.0,11657715.28638439,8303432013.992673
2023-02-16 09:00:00,730.0,736.0,698.0,703.0,17869211.18929858,12923982432.407873
2023-02-17 09:00:00,703.0,735.0,696.0,732.0,9309092.81362374,6720017504.83851
2023-02-18 09:00:00,731.0,751.0,723.0,743.0,9175550.64155312,6785524719.095566
2023-02-19 09:00:00,743.0,773.0,733.0,746.0,10573987.58875624,7931968047.956076
2023-02-20 09:00:00,746.0,793.0,727.0,788.0,15654921.13408473,11984483461.968426
2023-02-21 09:00:00,789.0,915.0,777.0,891.0,145537964.37852952,124603303309.04333
2023-02-22 09:00:00,890.0,892.0,820.0,842.0,45128933.32233278,38282418161.957085
2023-02-23 09:00:00,842.0,845.0,799.0,813.0,16167832.36215436,13277276853.512468
2023-02-24 09:00:00,814.0,825.0,781.0,799.0,13616212.37411005,10939891934.061838
2023-02-25 09:00:00,800.0,800.0,758.0,778.0,6034088.43738246,4712908903.668703
2023-02-26 09:00:00,778.0,797.0,761.0,775.0,7586543.39718256,5920424141.624821
2023-02-27 09:00:00,775.0,798.0,755.0,772.0,14172654.32641211,10922146531.556726
2023-02-28 09:00:00,773.0,780.0,756.0,766.0,5938138.16289766,4546046117.7921915
2023-03-01 09:00:00,767.0,793.0,759.0,776.0,7132035.02452476,5548210807.37753
2023-03-02 09:00:00,776.0,777.0,733.0,750.0,7597370.17191817,5690126422.034404
2023-03-03 09:00:00,749.0,749.0,680.0,703.0,9672293.31971395,6744539335.235785
2023-03-04 09:00:00,703.0,708.0,672.0,690.0,3127358.53299342,2168031374.1779437
2023-03-05 09:00:00,689.0,715.0,682.0,685.0,5653987.18133476,3938172714.9295673
2023-03-06 09:00:00,687.0,729.0,685.0,697.0,25671256.54783838,18046531063.394577
2023-03-07 09:00:00,697.0,702.0,659.0,675.0,9002256.46938168,6119530797.16089
2023-03-08 09:00:00,676.0,680.0,626.0,632.0,6308812.59385142,4141585792.234347
2023-03-09 09:00:00,632.0,647.0,587.0,594.0,6421173.09239484,3962861448.814724
2023-03-10 09:00:00,594.0,608.0,561.0,606.0,7741598.01882504,4526820400.907896
2023-03-11 09:00:00,607.0,618.0,576.0,595.0,4109434.06477579,2453034537.266177
2023-03-12 09:00:00,595.0,631.0,575.0,628.0,3710169.21544726,2223879126.3219743
