,open,high,low,close,volume,value
2023-02-06 09:00:00,495.0,509.0,487.0,491.0,26147972.89641502,12994257450.240551
2023-02-07 09:00:00,491.0,507.0,488.0,505.0,34437118.23153798,17079222318.505219
2023-02-08 09:00:00,505.0,509.0,492.0,502.0,32752139.98780757,16503138253.10882
2023-02-09 09:00:00,502.0,505.0,465.0,468.0,41413880.33456884,20141264346.008987
2023-02-10 09:00:00,467.0,473.0,456.0,466.0,29884952.49030656,13896464266.908644
2023-02-11 09:00:00,466.0,479.0,464.0,478.0,12411862.05554558,5825462328.799895
2023-02-12 09:00:00,477.0,482.0,468.0,473.0,14005077.04250773,6659638276.935025
2023-02-13 09:00:00,473.0,474.0,450.0,467.0,23735181.38328853,10935538450.300808
2023-02-14 09:00:00,467.0,508.0,458.0,500.0,49599434.44445384,23990933479.228947
2023-02-15 09:00:00,500.0,538.0,495.0,536.0,45871528.03065198,23340413110.62488
2023-02-16 09:00:00,535.0,539.0,500.0,502.0,65613876.53466536,34220008906.629494
2023-02-17 09:00:00,502.0,526.0,499.0,519.0,31913815.47579329,16401147444.00163
2023-02-18 09:00:00,519.0,540.0,512.0,523.0,28014252.01612742,14685040661.979795
2023-02-19 09:00:00,523.0,530.0,515.0,516.0,24767422.45877138,12929656192.885344
2023-02-20 09:00:00,517.0,527.0,505.0,520.0,29935281.09829964,15574184951.02419
2023-02-21 09:00:00,519.0,524.0,506.0,511.0,36684162.60013304,18965057308.91203
2023-02-22 09:00:00,511.0,512.0,493.0,509.0,29881402.72496047,14991237140.607006
2023-02-23 09:00:00,510.0,515.0,498.0,502.0,18147727.51385138,9189938744.885809
2023-02-24 09:00:00,502.0,504.0,480.0,487.0,34289547.81515358,16930935518.58312
2023-02-25 09:00:00,488.0,490.0,472.0,483.0,20171327.74362455,9726626908.290949
2023-02-26 09:00:00,483.0,491.0,477.0,490.0,13371696.41007796,6460317238.977951
2023-02-27 09:00:00,489.0,491.0,478.0,485.0,16798234.90943798,8140080828.125351
2023-02-28 09:00:00,485.0,489.0,468.0,473.0,20268152.13817658,9721354502.718573
2023-03-01 09:00:00,472.0,482.0,468.0,475.0,15956527.05980593,7588383102.516635
2023-03-02 09:00:00,474.0,476.0,458.0,465.0,20163912.24801607,9408930235.972576
2023-03-03 09:00:00,465.0,465.0,436.0,456.0,28740988.75668744,12847612204.49853
2023-03-04 09:00:00,456.0,460.0,444.0,449.0,10084621.38205968,4572424794.451017
2023-03-05 09:00:00,450.0,456.0,446.0,450.0,7574460.37557527,3420422957.914312
2023-03-06 09:00:00,450.0,452.0,439.0,439.0,16074235.27846135,7125195777.013853
