,open,high,low,close,volume,value
2023-02-06 09:00:00,185.0,203.0,181.0,190.0,104128522.08935244,19911341713.80669
2023-02-07 09:00:00,189.0,194.0,180.0,189.0,50745240.66889746,9353810651.4932
2023-02-08 09:00:00,189.0,190.0,183.0,187.0,29041618.58583515,5422466447.477598
2023-02-09 09:00:00,186.0,189.0,171.0,174.0,57687180.76533883,10317181119.05585
2023-02-10 09:00:00,173.0,175.0,168.0,173.0,31767467.2739205,5439779610.396012
2023-02-11 09:00:00,173.0,174.0,170.0,174.0,10533689.45991547,1807583672.0240898
2023-02-12 09:00:00,174.0,178.0,168.0,175.0,28294166.90305436,4870089960.675866
2023-02-13 09:00:00,176.0,179.0,159.0,167.0,76646738.33786742,12781011008.17106
2023-02-14 09:00:00,166.0,170.0,158.0,169.0,32790803.85878163,5383831964.944921
2023-02-15 09:00:00,168.0,181.0,165.0,179.0,39570155.20966362,6797605012.771724
2023-02-16 09:00:00,179.0,190.0,177.0,180.0,98827549.54856305,18162678876.413544
2023-02-17 09:00:00,179.0,193.0,176.0,190.0,47989275.50770648,8855291604.47199
2023-02-18 09:00:00,191.0,203.0,184.0,189.0,134183513.69497539,25714662501.075703
2023-02-19 09:00:00,189.0,189.0,182.0,185.0,30754200.25283615,5703146396.16097
2023-02-20 09:00:00,185.0,189.0,180.0,189.0,36001599.92423382,6677951703.976809
2023-02-21 09:00:00,188.0,191.0,181.0,186.0,41726463.64458981,7783148073.346138
2023-02-22 09:00:00,186.0,190.0,176.0,185.0,34880774.77232331,6355656648.150443
2023-02-23 09:00:00,184.0,190.0,179.0,188.0,31573943.73198369,5831612008.858752
2023-02-24 09:00:00,188.0,231.0,187.0,203.0,303502752.4206301,61704421344.48684
2023-02-25 09:00:00,202.0,207.0,182.0,188.0,71466171.19253378,13635678593.87573
2023-02-26 09:00:00,188.0,194.0,182.0,186.0,40501554.67949395,7495588579.624711
2023-02-27 09:00:00,186.0,190.0,183.0,188.0,33963557.95746392,6328264769.917967
2023-02-28 09:00:00,188.0,189.0,183.0,186.0,17816065.03179752,3309995521.085759
2023-03-01 09:00:00,185.0,191.0,182.0,188.0,25352069.79393662,4714463526.328265
2023-03-02 09:00:00,188.0,188.0,177.0,182.0,28813452.46702294,5226760650.54394
2023-03-03 09:00:00,181.0,182.0,164.0,169.0,35114531.59490376,5932210442.104495
2023-03-04 09:00:00,169.0,171.0,166.0,169.0,11200743.10737262,1893162364.2325563
2023-03-05 09:00:00,169.0,172.0,165.0,170.0,10519238.13084457,1771992013.9274313
2023-03-06 09:00:00,170.0,170.0,164.0,167.0,9432394.46179371,1576238665.693547
2023-03-07 09:00:00,166.0,170.0,157.0,161.0,25705830.18171082,4212838180.1068816
2023-03-08 09:00:00,161.0,161.0,146.0,150.0,24521366.28952027,3790909864.569503
2023-03-09 09:00:00,149.0,155.0,138.0,141.0,23632527.11529762,3486597504.1256804
2023-03-10 09:00:00,142.0,142.0,132.0,141.0,23922238.87422317,3291473969.1791496
2023-03-11 09:00:00,141.0,145.0,137.0,142.0,16339529.84201969,2304960257.113492
2023-03-12 09:00:00,142.0,148.0,133.0,148.0,15601502.23139563,2197457440.0356836
2023-03-13 09:00:00,147.0,161.0,144.0,159.0,34939988.59908408,5289737226.808104
