,open,high,low,close,volume,value
2023-01-05 09:00:00,5.65,6.07,5.58,5.67,1312751077.134396,7642364199.267344
2023-01-06 09:00:00,5.65,5.72,5.44,5.6,185017274.2043327,1027788855.3806037
2023-01-07 09:00:00,5.6,5.71,5.55,5.62,99301891.14399263,558136991.3864561
2023-01-08 09:00:00,5.62,5.73,5.59,5.69,102722904.92672335,580622703.1854149
2023-01-09 09:00:00,5.69,5.87,5.68,5.82,284348546.0165395,1645097419.4862533
2023-01-10 09:00:00,5.8,6.14,5.73,6.01,532351288.8320301,3144192525.6539383
2023-01-11 09:00:00,6.01,6.13,5.96,6.12,204694179.90364623,1234796018.1840558
2023-01-12 09:00:00,6.1,6.21,5.94,6.2,256115618.07403365,1555979454.2988007
2023-01-13 09:00:00,6.2,6.42,6.1,6.37,315106948.76660055,1977446566.950117
2023-01-14 09:00:00,6.36,6.71,6.11,6.56,616830579.659309,3999610503.847775
2023-01-15 09:00:00,6.56,9.56,6.56,7.18,19155660124.631733,152617312117.01996
2023-01-16 09:00:00,7.17,7.45,6.77,7.18,2082089294.2576628,14882340000.317686
2023-01-17 09:00:00,7.13,7.54,6.91,7.18,2026265732.7730708,14614963851.42096
2023-01-18 09:00:00,7.19,7.19,6.64,6.65,534404163.46730334,3739882440.502634
2023-01-19 09:00:00,6.65,7.14,6.63,6.91,498604701.7421579,3431551038.1738105
2023-01-20 09:00:00,6.9,7.34,6.78,7.31,341890795.43470156,2398731414.407429
2023-01-21 09:00:00,7.31,8.17,7.15,7.43,3079635192.1846685,23689957991.93316
2023-01-22 09:00:00,7.43,7.77,7.34,7.46,777236884.26894,5828683580.314043
2023-01-23 09:00:00,7.46,7.84,7.42,7.82,437632243.6250195,3297554892.724021
2023-01-24 09:00:00,7.81,11.2,7.66,8.16,13612506460.221579,123107418786.10136
2023-01-25 09:00:00,8.16,8.62,7.74,8.26,2486802237.226216,20303251471.695026
2023-01-26 09:00:00,8.25,8.41,8.02,8.19,813045600.7211708,6637056263.931145
2023-01-27 09:00:00,8.19,8.32,7.93,8.24,819909781.756956,6672679135.236231
2023-01-28 09:00:00,8.25,8.68,8.11,8.32,1884035701.545293,15743344231.794699
2023-01-29 09:00:00,8.32,8.34,8.14,8.26,412486838.1745009,3383222059.581562
2023-01-30 09:00:00,8.24,8.4,7.53,7.65,693804658.7982885,5503954075.339686
2023-01-31 09:00:00,7.65,8.35,7.42,7.91,3487944723.279008,27863144589.661606
2023-02-01 09:00:00,7.91,8.25,7.55,8.07,1637873351.491741,13031746981.043337
2023-02-02 09:00:00,8.07,8.66,7.97,8.54,2153241942.0801654,18100790424.386757
2023-02-03 09:00:00,8.54,9.0,8.39,8.97,1297087402.4294608,11261672831.939236
2023-02-04 09:00:00,8.97,8.97,8.62,8.85,562661294.9592836,4922228877.617044
2023-02-05 09:00:00,8.85,10.1,8.01,8.67,5766827871.299181,53382175014.96406
2023-02-06 09:00:00,8.68,9.86,8.57,8.79,3590857804.9225187,32893401047.459885
2023-02-07 09:00:00,8.79,9.15,8.45,8.82,1444874907.4176517,12671766913.892132
2023-02-08 09:00:00,8.82,9.59,8.75,9.09,2840852629.961901,26028514302.129776
2023-02-09 09:00:00,9.12,9.2,8.62,8.79,1306511159.0022871,11684996560.308327
2023-02-10 09:00:00,8.81,9.5,8.7,9.23,1888659837.3022017,17376605518.27131
2023-02-11 09:00:00,9.22,9.33,9.01,9.3,251737362.8844025,2294370870.924648
2023-02-12 09:00:00,9.3,9.46,9.04,9.04,327972685.61802614,3015851574.5011687
2023-02-13 09:00:00,9.06,9.23,8.3,8.84,567622537.5891935,4993520627.571641
2023-02-14 09:00:00,8.83,9.09,8.47,9.02,248627176.79527497,2171593338.2256355
2023-02-15 09:00:00,9.03,18.0,8.89,15.3,19466944776.49736,276226680580.405
2023-02-16 09:00:00,15.3,28.0,13.9,14.5,21233118779.532585,391960645719.7315
2023-02-17 09:00:00,14.5,15.5,13.5,14.2,3299784319.450821,47588875866.505684
2023-02-18 09:00:00,14.1,14.2,13.3,13.8,824601234.9447172,11289573521.0182
2023-02-19 09:00:00,13.7,13.8,13.3,13.5,555711306.0712165,7498322236.041133
2023-02-20 09:00:00,13.5,14.1,12.9,13.3,1149747832.4999115,15205976099.715631
2023-02-21 09:00:00,13.3,13.7,12.8,13.0,827151918.1381449,10903737854.800995
2023-02-22 09:00:00,13.0,14.2,12.8,13.7,2799936872.149359,37860652831.70418
2023-02-23 09:00:00,13.7,13.7,13.1,13.5,521124804.31533945,6947535249.833975
2023-02-24 09:00:00,13.5,13.5,12.7,12.9,687075840.3128078,8922216762.41223
2023-02-25 09:00:00,12.9,13.2,12.3,12.6,459600791.10914546,5853409976.869035
2023-02-26 09:00:00,12.6,13.3,12.4,12.8,720267659.9285072,9251316860.19733
2023-02-27 09:00:00,12.7,12.9,12.3,12.6,239704742.1422057,3012454823.2369456
2023-02-28 09:00:00,12.6,12.8,12.3,12.4,259055098.2995361,3244792316.218564
2023-03-01 09:00:00,12.4,12.9,12.3,12.6,358714490.9472257,4523937302.101997
2023-03-02 09:00:00,12.5,12.6,11.6,12.1,385668190.5674381,4631533935.318287
2023-03-03 09:00:00,12.0,12.3,11.3,11.7,453220491.3752914,5298677724.337724
2023-03-04 09:00:00,11.6,12.1,11.6,12.0,221581152.871409,2618773678.9522448
2023-03-05 09:00:00,12.1,12.5,11.6,12.0,348673539.57077545,4201078775.4589276
2023-03-06 09:00:00,12.0,12.9,11.9,12.4,1349896631.6749997,16680654914.24735
2023-03-07 09:00:00,12.5,12.5,11.7,12.1,469985971.21166813,5666398495.355473
2023-03-08 09:00:00,12.1,12.1,11.2,11.3,315297420.9192061,3622109386.712799
2023-03-09 09:00:00,11.3,11.3,10.2,10.5,524948602.89456195,5634428731.136691
2023-03-10 09:00:00,10.5,10.7,9.86,10.7,787826438.8646368,8107071068.62666
2023-03-11 09:00:00,10.7,11.2,10.2,10.4,547359504.8623462,5870362547.928618
2023-03-12 09:00:00,10.5,10.8,9.95,10.7,437595180.1680008,4537179065.949889
2023-03-13 09:00:00,10.6,12.6,10.4,12.1,2037615832.8878407,23838280665.02691
2023-03-14 09:00:00,12.1,12.6,11.4,12.5,1296055963.981374,15682592517.300629
2023-03-15 09:00:00,12.5,13.3,11.6,12.3,1644457716.130589,20872333335.67893
2023-03-16 09:00:00,12.2,12.7,11.8,12.7,471064086.29336333,5718392592.190097
2023-03-17 09:00:00,12.7,13.2,12.4,13.2,548301318.2054402,6970001254.32664
2023-03-18 09:00:00,13.1,13.2,12.5,12.6,505059570.5846458,6476821221.302325
2023-03-19 09:00:00,12.7,12.7,12.2,12.6,317744486.16520345,3952792554.276952
2023-03-20 09:00:00,12.5,12.6,12.1,12.2,263931905.54803455,3238092857.1767073
2023-03-21 09:00:00,12.2,12.3,11.3,11.8,390487001.76022655,4579833789.88243
2023-03-22 09:00:00,11.8,11.8,11.3,11.5,190691028.32952344,2209818668.3632693
2023-03-23 09:00:00,11.5,12.0,11.2,11.9,195779576.93148604,2265823174.376824
2023-03-24 09:00:00,11.9,11.9,11.6,11.8,111882855.45194468,1316651112.6260154
2023-03-25 09:00:00,11.8,11.8,11.5,11.8,124246870.3441939,1451047489.0753937
2023-03-26 09:00:00,11.8,11.9,11.6,11.8,95723472.21637598,1122997958.5094497
2023-03-27 09:00:00,11.8,12.2,10.9,11.0,409798734.8163523,4700598019.031816
2023-03-28 09:00:00,11.0,11.4,10.6,11.1,290881581.5733898,3175448411.068007
2023-03-29 09:00:00,11.1,11.7,11.0,11.5,245770159.24469376,2788844847.227399
2023-03-30 09:00:00,11.4,11.6,11.1,11.3,207118285.8363114,2349766458.9748425
2023-03-31 09:00:00,11.3,11.5,11.0,11.4,147779396.49895045,1659540194.4021268
2023-04-01 09:00:00,11.4,12.2,11.3,12.0,646790989.2617258,7687622984.887926
2023-04-02 09:00:00,12.1,12.5,11.5,11.7,492011394.24368715,5947974187.552543
2023-04-03 09:00:00,11.7,12.3,11.4,12.2,342370087.36627644,4049122409.8791127
2023-04-04 09:00:00,12.1,13.2,11.9,12.1,2443665709.92196,30736755395.70265
2023-04-05 09:00:00,12.0,12.5,11.9,12.5,801462473.3568492,9718593673.693089
2023-04-06 09:00:00,12.4,12.8,12.0,12.7,943297001.2610638,11690868606.218426
2023-04-07 09:00:00,12.7,12.7,12.0,12.2,393132611.5125805,4835157264.350965
2023-04-08 09:00:00,12.3,12.7,12.1,12.6,374155257.44909257,4662841685.312129
2023-04-09 09:00:00,12.6,12.6,11.9,12.2,307634659.5622297,3751919979.9922714
2023-04-10 09:00:00,12.2,12.3,11.8,12.1,226691928.08347636,2718414468.435073
2023-04-11 09:00:00,12.2,12.4,12.0,12.1,245120113.99230218,2983696324.1255803
2023-04-12 09:00:00,12.1,12.2,11.8,11.8,227376006.0715025,2709979578.902168
2023-04-13 09:00:00,11.8,12.2,11.8,12.1,238267706.6433648,2862265843.911444
2023-04-14 09:00:00,12.0,12.1,11.9,12.1,239447802.6397462,2868903851.642269
2023-04-15 09:00:00,12.1,12.1,11.9,11.9,86717624.32616185,1036126948.8819363
2023-04-16 09:00:00,11.9,12.0,11.8,11.9,116366345.55328481,1383416198.4535239
2023-04-17 09:00:00,12.0,12.0,11.6,11.7,138668543.40031087,1633734399.4792743
2023-04-18 09:00:00,11.7,12.0,11.6,11.9,166546510.3221439,1972225840.9875095
2023-04-19 09:00:00,12.0,12.0,11.3,11.4,219257897.9453147,2548697827.043933
2023-04-20 09:00:00,11.4,11.7,11.3,11.6,193510960.89770114,2223543968.434919
2023-04-21 09:00:00,11.7,11.9,11.3,11.5,364328836.0919193,4225818855.9773417
2023-04-22 09:00:00,11.5,11.8,11.4,11.7,335213714.9407407,3902468283.0476904
2023-04-23 09:00:00,11.7,11.7,11.5,11.5,46186769.10529232,533793179.5001461
2023-04-24 09:00:00,11.6,11.6,10.8,11.2,202419075.74430242,2262649563.158747
2023-04-25 09:00:00,11.1,11.5,10.8,11.4,227298013.82751352,2530447102.370285
2023-04-26 09:00:00,11.4,11.6,11.1,11.4,314628949.99201626,3589560334.543904
2023-04-27 09:00:00,11.3,11.5,11.1,11.3,118432639.91103218,1330240411.8959887
2023-04-28 09:00:00,11.3,11.3,11.1,11.2,140723542.92150393,1574880763.959956
2023-04-29 09:00:00,11.2,11.7,11.2,11.5,394053203.51328266,4512210898.548084
2023-04-30 09:00:00,11.4,11.5,11.2,11.3,69686730.74987762,787287282.9289774
2023-05-01 09:00:00,11.3,11.3,10.9,11.0,117954758.84225157,1307027099.329091
2023-05-02 09:00:00,11.0,11.0,10.7,10.9,115053881.02595638,1247383123.2264888
2023-05-03 09:00:00,10.9,11.2,10.5,10.8,188349452.34112588,2039741599.1613894
2023-05-04 09:00:00,10.8,11.1,10.7,10.8,161671506.0967938,1759531472.017614
2023-05-05 09:00:00,10.8,11.0,10.7,10.8,64118917.67068656,692896270.8575975
2023-05-06 09:00:00,10.9,11.5,10.6,11.1,543730419.3366647,5976365952.170922
2023-05-07 09:00:00,11.2,11.3,10.8,10.8,169641469.9826037,1864191695.8101244
2023-05-08 09:00:00,10.8,10.9,9.99,10.1,306954379.37213415,3156930387.440331
2023-05-09 09:00:00,10.1,10.4,10.0,10.2,150355436.8889699,1527166933.2566137
2023-05-10 09:00:00,10.1,10.3,9.98,10.3,124559808.64686479,1258806582.771336
2023-05-11 09:00:00,10.3,10.3,9.91,9.94,107240377.25174543,1073157113.8616002
2023-05-12 09:00:00,9.94,9.99,9.34,9.81,169852871.69132358,1627700928.3042054
2023-05-13 09:00:00,9.8,10.1,9.7,9.74,136683534.40372276,1347161147.5731344
2023-05-14 09:00:00,9.75,10.1,9.73,9.83,117404479.35176012,1160811439.8767393
2023-05-15 09:00:00,9.83,9.86,9.68,9.81,66517233.62374107,649265960.7389425
2023-05-16 09:00:00,9.8,9.85,9.69,9.73,36368876.47462943,354187789.12659335
2023-05-17 09:00:00,9.73,9.79,9.61,9.76,50191540.26892851,486642016.52162385
2023-05-18 09:00:00,9.76,9.78,9.65,9.68,43731480.55444533,424186084.53262264
2023-05-19 09:00:00,9.66,10.4,9.66,9.81,966415079.2877377,9651235027.68593
2023-05-20 09:00:00,9.81,9.95,9.68,9.73,123275982.64547847,1205399000.5970173
2023-05-21 09:00:00,9.73,9.88,9.54,9.57,114122606.41556008,1111359901.0314865
2023-05-22 09:00:00,9.56,9.56,9.2,9.45,92372381.07673602,865009095.7758235
2023-05-23 09:00:00,9.45,9.85,9.33,9.4,219631823.02587998,2094252468.6739364
2023-05-24 09:00:00,9.42,9.43,9.0,9.02,116036154.77895904,1064879350.7504721
2023-05-25 09:00:00,9.0,9.06,8.4,8.65,238801314.11946777,2062908105.2757843
2023-05-26 09:00:00,8.66,8.82,8.47,8.57,123818465.92985888,1066006512.349674
2023-05-27 09:00:00,8.57,8.64,8.5,8.6,30830964.47129697,263693295.25200236
2023-05-28 09:00:00,8.6,8.81,8.54,8.79,74165708.89463304,643727996.2878872
2023-05-29 09:00:00,8.78,8.95,8.68,8.91,75291256.36296842,659854368.0345203
2023-05-30 09:00:00,8.89,9.38,8.73,8.76,1254879860.8929021,11478736484.809649
2023-05-31 09:00:00,8.76,9.33,8.46,8.63,1168761043.9786682,10481402753.59908
2023-06-01 09:00:00,8.63,8.77,8.42,8.46,248223448.80104554,2124064590.0583706
2023-06-02 09:00:00,8.46,8.61,8.3,8.47,177125442.5983227,1497832610.97645
2023-06-03 09:00:00,8.46,8.51,8.4,8.45,75772055.06207815,639658666.2664582
2023-06-04 09:00:00,8.44,8.65,8.43,8.51,175986038.66137323,1501169530.8705707
