,open,high,low,close,volume,value
2023-02-07 09:00:00,36.8,41.8,36.2,39.4,1640212742.2420397,64396359090.68341
2023-02-08 09:00:00,39.4,43.1,37.1,39.0,960771432.142998,39120800571.53186
2023-02-09 09:00:00,39.0,45.2,36.6,39.9,2324021210.636716,96196598658.11232
2023-02-10 09:00:00,39.9,44.8,37.7,39.1,1301589685.4145753,53906156826.464005
2023-02-11 09:00:00,39.0,39.3,37.9,39.0,188176347.60157436,7242259704.522249
2023-02-12 09:00:00,39.0,39.6,37.1,37.8,198193152.98188204,7686831106.137991
2023-02-13 09:00:00,37.8,38.8,34.2,36.3,341007806.0030102,12304890802.259453
2023-02-14 09:00:00,36.3,37.4,34.6,37.4,181934355.66615748,6530681061.046607
2023-02-15 09:00:00,37.4,42.8,36.7,41.7,534703091.42577666,21381597452.799816
2023-02-16 09:00:00,41.7,42.3,38.6,39.0,473686181.5226606,19358353097.806847
2023-02-17 09:00:00,39.1,42.3,38.5,41.8,437405494.6118601,17889978808.316887
2023-02-18 09:00:00,41.8,43.5,41.2,42.5,370707037.3659466,15780951796.631948
2023-02-19 09:00:00,42.5,42.8,41.0,41.9,181682694.39859277,7633642619.425264
2023-02-20 09:00:00,42.0,46.1,41.2,44.6,542042798.175204,23621608020.99622
2023-02-21 09:00:00,44.7,71.0,42.3,60.5,7295087214.427836,465542795614.1757
2023-02-22 09:00:00,60.5,69.6,57.7,64.4,7254316232.283199,460793422463.503
2023-02-23 09:00:00,64.3,72.0,62.0,62.4,3237778569.0752363,217445533622.00992
2023-02-24 09:00:00,62.5,63.2,56.0,57.5,1326358751.800225,80265631307.80782
2023-02-25 09:00:00,57.5,57.5,51.8,54.6,470265245.51106113,25322366647.914257
2023-02-26 09:00:00,54.6,59.8,53.7,57.1,1154454461.0867286,66130481660.67834
2023-02-27 09:00:00,57.1,61.1,55.4,56.3,1594415630.4533255,92631641776.67564
2023-02-28 09:00:00,56.4,58.8,51.7,52.4,876754285.591582,48748400337.05808
2023-03-01 09:00:00,52.4,54.6,50.8,52.3,391293352.8600868,20512997870.60782
2023-03-02 09:00:00,52.3,52.3,48.4,50.2,303264268.1869176,15134343591.501427
2023-03-03 09:00:00,50.2,50.2,44.1,47.3,331287411.101237,15445542217.701342
2023-03-04 09:00:00,47.3,48.8,43.3,45.0,248789603.40128374,11521333919.89357
2023-03-05 09:00:00,45.0,47.0,44.1,46.4,160129282.2013117,7253677905.436906
2023-03-06 09:00:00,46.5,46.7,44.1,45.2,149633615.36380082,6753663408.581237
2023-03-07 09:00:00,45.1,45.7,42.0,42.9,199875257.20381224,8719081537.698233
2023-03-08 09:00:00,42.9,43.2,39.3,39.6,177131480.43075117,7299920548.702986
2023-03-09 09:00:00,39.8,41.5,37.1,37.7,327720472.31134605,13046868371.517931
2023-03-10 09:00:00,37.8,37.9,34.8,37.7,247785080.83842686,9060246222.667171
2023-03-11 09:00:00,37.8,39.0,35.7,37.4,232387925.7741786,8717198674.814653
2023-03-12 09:00:00,37.5,40.3,35.4,40.1,166578835.69406852,6251524035.953946
2023-03-13 09:00:00,40.2,47.2,39.5,45.0,1296270630.4401562,56228599807.5585
2023-03-14 09:00:00,45.0,49.9,44.1,47.7,1222633080.9931688,56974164970.710655
2023-03-15 09:00:00,47.6,48.6,43.2,46.5,581260292.5304376,27075457813.48515
2023-03-16 09:00:00,46.5,48.5,44.5,47.1,423966027.7373348,19645718490.14208
2023-03-17 09:00:00,47.1,49.5,46.3,49.5,475494869.71188134,22776429119.410027
2023-03-18 09:00:00,49.4,51.4,46.4,47.8,546879256.0100985,27048637386.34666
2023-03-19 09:00:00,47.8,48.9,45.7,48.1,318473295.1014564,15075276587.436806
2023-03-20 09:00:00,48.1,48.5,45.2,45.5,330735539.2695809,15513258757.513004
2023-03-21 09:00:00,45.6,47.6,42.9,46.2,347827385.8758923,15852533561.766378
2023-03-22 09:00:00,46.3,46.5,42.5,43.7,217991364.97224018,9752470049.521189
2023-03-23 09:00:00,43.7,46.1,42.8,45.8,180280414.1405706,7972503791.841396
2023-03-24 09:00:00,45.8,47.0,44.3,44.9,161394722.0003375,7359681077.642284
2023-03-25 09:00:00,44.8,45.0,42.5,43.2,114140333.87062868,4988921973.158418
2023-03-26 09:00:00,43.2,44.7,42.4,43.3,130089000.10238619,5668007944.234489
2023-03-27 09:00:00,43.4,44.5,39.7,40.9,247187374.834366,10361037006.30527
2023-03-28 09:00:00,40.9,42.2,39.7,42.1,137555127.9688866,5594508719.89761
2023-03-29 09:00:00,42.2,43.9,41.9,43.7,182113899.8050384,7854317913.511964
2023-03-30 09:00:00,43.7,44.4,41.6,42.5,216760461.38654232,9326964476.957983
2023-03-31 09:00:00,42.7,49.2,42.4,46.0,1777348914.9379885,81580317849.68016
2023-04-01 09:00:00,46.0,55.7,45.4,49.9,4856234375.302818,248893415060.82092
2023-04-02 09:00:00,49.9,50.9,45.5,46.3,1010057897.884605,49041635575.314896
2023-04-03 09:00:00,46.3,46.3,43.3,44.2,397513711.84821016,17910821679.971172
2023-04-04 09:00:00,44.3,47.4,44.3,45.8,630981213.6090143,28988645320.38196
2023-04-05 09:00:00,45.9,49.3,45.3,48.0,626911417.6514491,29731342213.571655
2023-04-06 09:00:00,48.0,48.0,45.6,46.9,312993073.6078372,14580659430.638643
2023-04-07 09:00:00,46.9,47.6,45.5,46.3,166018790.30628636,7694658298.315413
2023-04-08 09:00:00,46.4,47.6,46.0,46.7,266606053.31257105,12460208980.99059
2023-04-09 09:00:00,46.8,46.9,45.0,45.9,152461040.9740965,6993596969.551693
