,open,high,low,close,volume,value
2023-01-05 09:00:00,4900.0,4935.0,4680.0,4745.0,1292088.39607828,6192777184.920195
2023-01-06 09:00:00,4750.0,4965.0,4570.0,4890.0,1438968.96012553,6864545167.521258
2023-01-07 09:00:00,4890.0,4955.0,4815.0,4890.0,584411.39830996,2853867232.96028
2023-01-08 09:00:00,4880.0,5010.0,4770.0,4975.0,873049.44224396,4231676867.7095995
2023-01-09 09:00:00,4980.0,7185.0,4935.0,6590.0,21244376.33541057,133316569313.58376
2023-01-10 09:00:00,6590.0,7485.0,6180.0,6895.0,47865459.28149801,332820949943.92664
2023-01-11 09:00:00,6895.0,6965.0,6320.0,6630.0,16664678.31781148,110570583379.19249
2023-01-12 09:00:00,6625.0,8245.0,6320.0,8150.0,20709748.02572934,151424745918.2034
2023-01-13 09:00:00,8150.0,8955.0,7805.0,8480.0,29584509.26854537,248176333839.16684
2023-01-14 09:00:00,8480.0,10210.0,8435.0,9510.0,50639434.21255869,479429963320.7997
2023-01-15 09:00:00,9510.0,10980.0,8680.0,9810.0,34619680.55163081,343483494078.7163
2023-01-16 09:00:00,9810.0,10770.0,9400.0,10100.0,24196588.39322324,245236569491.34164
2023-01-17 09:00:00,10100.0,10310.0,9405.0,9475.0,10854644.86729794,108057711630.64433
2023-01-18 09:00:00,9475.0,10570.0,8755.0,9485.0,17864426.12632758,172932702086.74768
2023-01-19 09:00:00,9490.0,10140.0,9385.0,9780.0,12897072.77398316,125912304286.72432
2023-01-20 09:00:00,9780.0,13950.0,9655.0,13580.0,28807595.46252049,327891336704.43585
2023-01-21 09:00:00,13560.0,16720.0,13030.0,14630.0,59395580.6858256,895076200037.0513
2023-01-22 09:00:00,14620.0,18130.0,14580.0,16700.0,54995906.94691923,928664846544.9622
2023-01-23 09:00:00,16700.0,18220.0,15780.0,15790.0,31833003.90969224,536020465360.9112
2023-01-24 09:00:00,15800.0,17340.0,14720.0,15500.0,29672430.95778167,479466834025.79584
2023-01-25 09:00:00,15510.0,23540.0,15280.0,23000.0,62425377.17824577,1185012739332.5781
2023-01-26 09:00:00,23000.0,25430.0,21560.0,22820.0,43372186.90640333,1012895378580.5557
2023-01-27 09:00:00,22820.0,23640.0,21630.0,22280.0,18789205.92253786,422024204710.27527
2023-01-28 09:00:00,22280.0,23880.0,21030.0,22500.0,22817519.20242866,513420952341.2157
2023-01-29 09:00:00,22510.0,23640.0,21970.0,22940.0,15846723.75008538,360203360903.9928
2023-01-30 09:00:00,22940.0,25400.0,20380.0,21690.0,33478671.87628418,759063986578.9982
2023-01-31 09:00:00,21690.0,21880.0,20120.0,21080.0,20572296.1290413,432280898781.4407
