,open,high,low,close,volume,value
2023-02-06 09:00:00,1500.0,1840.0,1450.0,1505.0,29519234.26711172,46886654214.733604
2023-02-07 09:00:00,1510.0,1510.0,1395.0,1455.0,5881390.6535855,8401782711.306367
2023-02-08 09:00:00,1455.0,1485.0,1400.0,1430.0,2838059.50682936,4105171688.02366
2023-02-09 09:00:00,1435.0,1600.0,1355.0,1430.0,25453579.96749266,38068146940.89182
2023-02-10 09:00:00,1435.0,1550.0,1360.0,1460.0,10300125.90859817,15139252307.798367
2023-02-11 09:00:00,1460.0,1480.0,1420.0,1455.0,2380666.28066005,3447269181.4860177
2023-02-12 09:00:00,1450.0,1525.0,1430.0,1480.0,7031108.25209331,10396255669.114882
2023-02-13 09:00:00,1480.0,1485.0,1350.0,1405.0,3153482.36581189,4427978513.040847
2023-02-14 09:00:00,1405.0,1430.0,1325.0,1425.0,1982471.93953948,2742443020.021746
2023-02-15 09:00:00,1425.0,1555.0,1400.0,1550.0,8113698.0772872,12065057548.486052
2023-02-16 09:00:00,1550.0,1860.0,1530.0,1560.0,30238610.73327759,51351046024.89016
2023-02-17 09:00:00,1555.0,1855.0,1545.0,1680.0,28351318.55602997,48730626662.21744
2023-02-18 09:00:00,1675.0,1680.0,1600.0,1650.0,3636536.35835798,5964298118.265858
2023-02-19 09:00:00,1650.0,1670.0,1600.0,1640.0,2514656.62438272,4109963497.9659
2023-02-20 09:00:00,1650.0,1690.0,1590.0,1690.0,4155295.58756442,6810810947.912657
2023-02-21 09:00:00,1690.0,1710.0,1615.0,1645.0,5081158.67230554,8482879991.377845
2023-02-22 09:00:00,1645.0,1665.0,1565.0,1645.0,2382759.54868226,3816661334.833406
2023-02-23 09:00:00,1650.0,1810.0,1630.0,1775.0,12125358.05171715,20944780500.947514
2023-02-24 09:00:00,1775.0,1875.0,1715.0,1820.0,10040362.17148394,17907209143.944542
2023-02-25 09:00:00,1830.0,2135.0,1690.0,1755.0,35965862.60567821,69680017649.0092
2023-02-26 09:00:00,1755.0,1755.0,1670.0,1705.0,2771039.21222252,4696328119.286427
2023-02-27 09:00:00,1705.0,1710.0,1620.0,1655.0,2870406.90103333,4736795474.990856
2023-02-28 09:00:00,1660.0,1785.0,1640.0,1700.0,9606158.02280001,16450095926.045782
2023-03-01 09:00:00,1700.0,1755.0,1645.0,1755.0,2126918.63751692,3613845586.226475
2023-03-02 09:00:00,1745.0,1885.0,1635.0,1705.0,12572231.39935549,22276935095.359154
2023-03-03 09:00:00,1710.0,1905.0,1620.0,1735.0,25604985.31354673,45376151124.45141
2023-03-04 09:00:00,1730.0,1750.0,1665.0,1740.0,3267266.95431507,5558174967.231314
2023-03-05 09:00:00,1740.0,1740.0,1680.0,1725.0,2012890.03042955,3434902518.778879
2023-03-06 09:00:00,1720.0,1720.0,1585.0,1620.0,3186613.09228575,5202429339.720751
