,open,high,low,close,volume,value
2023-02-07 09:00:00,461.0,463.0,438.0,457.0,18232311.34955563,8129131184.394192
2023-02-08 09:00:00,458.0,459.0,441.0,451.0,12380064.64495679,5593413739.526839
2023-02-09 09:00:00,452.0,480.0,425.0,432.0,32930539.47601839,14857037547.583168
2023-02-10 09:00:00,432.0,455.0,418.0,442.0,16601896.83218608,7264360409.575831
2023-02-11 09:00:00,441.0,446.0,433.0,442.0,5530443.31156419,2419422834.4886966
2023-02-12 09:00:00,443.0,448.0,432.0,445.0,10774520.40071603,4762374281.284002
2023-02-13 09:00:00,445.0,446.0,410.0,430.0,10888711.59046688,4615454021.707192
2023-02-14 09:00:00,430.0,447.0,410.0,437.0,12396210.89748285,5295514244.652325
2023-02-15 09:00:00,438.0,475.0,433.0,473.0,56642705.92107467,25739062798.915245
2023-02-16 09:00:00,473.0,496.0,454.0,460.0,25617620.62326388,12230511124.465494
2023-02-17 09:00:00,460.0,516.0,450.0,491.0,43704166.84824784,20833423602.160126
2023-02-18 09:00:00,491.0,499.0,476.0,499.0,13622250.90538611,6649602859.855015
2023-02-19 09:00:00,499.0,531.0,487.0,518.0,19538662.22550902,9874004527.383629
2023-02-20 09:00:00,519.0,538.0,502.0,534.0,20329031.50984033,10511554696.19823
2023-02-21 09:00:00,533.0,629.0,512.0,524.0,167434837.4338539,96617759990.84698
2023-02-22 09:00:00,524.0,524.0,489.0,509.0,16076553.66040628,8081183782.916814
2023-02-23 09:00:00,509.0,514.0,494.0,512.0,9802493.17327556,4944466269.511851
2023-02-24 09:00:00,512.0,563.0,508.0,551.0,48075458.6998211,25775541511.18681
2023-02-25 09:00:00,552.0,552.0,501.0,523.0,14445801.92738493,7541806314.962466
2023-02-26 09:00:00,524.0,537.0,508.0,536.0,8011827.05988894,4189268186.341299
2023-02-27 09:00:00,537.0,537.0,514.0,526.0,7054591.44335655,3686083495.006936
2023-02-28 09:00:00,526.0,526.0,510.0,516.0,5236364.24084156,2704825331.1839437
2023-03-01 09:00:00,516.0,522.0,503.0,520.0,5806812.26955246,2990504671.8844094
2023-03-02 09:00:00,521.0,521.0,494.0,503.0,7206294.72682462,3620635002.921567
2023-03-03 09:00:00,504.0,514.0,461.0,469.0,11891724.42302085,5710990590.442522
2023-03-04 09:00:00,470.0,474.0,456.0,465.0,4472052.52117754,2089695654.179073
2023-03-05 09:00:00,465.0,465.0,455.0,462.0,2818906.09441938,1297926831.3784869
