,open,high,low,close,volume,value
2023-02-07 09:00:00,18150.0,19000.0,18100.0,18910.0,383050.85677366,7096559587.76769
2023-02-08 09:00:00,18940.0,19550.0,18680.0,19300.0,617424.38853755,11801256500.791374
2023-02-09 09:00:00,19300.0,19600.0,17300.0,17490.0,642038.44616916,11886279339.108015
2023-02-10 09:00:00,17490.0,18100.0,17220.0,17830.0,704620.02267771,12532439998.467165
2023-02-11 09:00:00,17830.0,17920.0,17440.0,17850.0,227718.52368583,4023853055.3423915
2023-02-12 09:00:00,17830.0,18020.0,17410.0,17570.0,261346.80180045,4655165282.315183
2023-02-13 09:00:00,17570.0,17570.0,16530.0,17070.0,365226.07696367,6227911670.489595
2023-02-14 09:00:00,17070.0,17590.0,16600.0,17410.0,435620.57544264,7453826806.202268
2023-02-15 09:00:00,17410.0,18350.0,17190.0,18310.0,534815.2227867,9429026365.601046
2023-02-16 09:00:00,18300.0,18540.0,17350.0,17450.0,686374.80013681,12468705699.898504
2023-02-17 09:00:00,17460.0,18390.0,17340.0,18250.0,459004.9997976,8255165877.582291
2023-02-18 09:00:00,18240.0,18620.0,17940.0,18440.0,405435.73989814,7427871637.396229
2023-02-19 09:00:00,18450.0,19090.0,18120.0,18300.0,775515.36245279,14506280405.511642
2023-02-20 09:00:00,18290.0,18770.0,17870.0,18520.0,540872.73360791,9964085266.0718
2023-02-21 09:00:00,18520.0,18840.0,17780.0,18020.0,619275.21065927,11362159250.111258
2023-02-22 09:00:00,18030.0,18450.0,17310.0,17800.0,636933.45793773,11380005127.1926
2023-02-23 09:00:00,17790.0,18150.0,17630.0,18000.0,344261.55601303,6150112647.299951
2023-02-24 09:00:00,18000.0,18070.0,17160.0,17430.0,415223.34641317,7365323106.020842
2023-02-25 09:00:00,17430.0,17510.0,16730.0,17190.0,337287.44766242,5813812446.800888
2023-02-26 09:00:00,17180.0,17370.0,17030.0,17220.0,199187.13713548,3428034806.5998464
2023-02-27 09:00:00,17220.0,17350.0,16810.0,17060.0,356090.34723969,6072059809.716151
2023-02-28 09:00:00,17060.0,17060.0,16300.0,16480.0,319132.43463687,5330051664.969721
2023-03-01 09:00:00,16480.0,17040.0,16340.0,16830.0,398533.95172218,6676720969.892489
2023-03-02 09:00:00,16830.0,16950.0,16170.0,16540.0,391085.07333586,6462942837.576559
2023-03-03 09:00:00,16540.0,16540.0,15520.0,15960.0,343876.01211173,5457488232.635448
2023-03-04 09:00:00,15960.0,16110.0,15590.0,15820.0,161202.26465699,2567632101.6085644
2023-03-05 09:00:00,15830.0,16360.0,15820.0,16080.0,331949.71826895,5367715994.897936
2023-03-06 09:00:00,16070.0,16270.0,15730.0,15940.0,174280.6603458,2784762757.740522
2023-03-07 09:00:00,15940.0,16080.0,15250.0,15650.0,242428.29064481,3812547884.4396834
2023-03-08 09:00:00,15650.0,15740.0,14560.0,14650.0,294410.00233488,4458348542.413885
2023-03-09 09:00:00,14660.0,14980.0,14170.0,14940.0,774194.23574342,11233176399.336159
2023-03-10 09:00:00,14950.0,15380.0,14050.0,15120.0,617800.18181823,9117164094.991755
2023-03-11 09:00:00,15120.0,15420.0,14420.0,14950.0,326842.76707591,4857621344.43324
2023-03-12 09:00:00,14950.0,15570.0,14700.0,15540.0,397297.42884289,5984190475.830308
2023-03-13 09:00:00,15540.0,16040.0,15020.0,15780.0,730430.29062406,11405499287.72912
