,open,high,low,close,volume,value
2023-02-07 09:00:00,25100.0,26500.0,25000.0,26400.0,308255.71205673,7904212781.584695
2023-02-08 09:00:00,26390.0,26570.0,25080.0,25660.0,387893.89782594,10072969564.114084
2023-02-09 09:00:00,25690.0,25850.0,22680.0,23160.0,531279.49417218,13112188815.193438
2023-02-10 09:00:00,23160.0,23520.0,22570.0,23170.0,324203.99184592,7497565652.004111
2023-02-11 09:00:00,23160.0,23500.0,22980.0,23410.0,106309.90269101,2464815501.4633226
2023-02-12 09:00:00,23350.0,23840.0,22810.0,23060.0,163894.01184504,3834116255.7387433
2023-02-13 09:00:00,23050.0,23810.0,21950.0,22890.0,644350.66385163,14687829007.120033
2023-02-14 09:00:00,22890.0,23680.0,22260.0,23530.0,432012.07147528,9938685122.420109
2023-02-15 09:00:00,23550.0,25580.0,23210.0,25530.0,327083.31587695,7908646454.332001
2023-02-16 09:00:00,25530.0,26110.0,23950.0,24050.0,484481.8958341,12272315923.587303
2023-02-17 09:00:00,24070.0,25310.0,23910.0,25090.0,281806.4943834,6978858344.622925
2023-02-18 09:00:00,25090.0,25930.0,24970.0,25220.0,309952.8191385,7872866953.128374
2023-02-19 09:00:00,25190.0,26200.0,25080.0,25650.0,463056.79302548,11858914225.599874
2023-02-20 09:00:00,25660.0,27480.0,24700.0,26790.0,856421.71956387,22687923755.77477
2023-02-21 09:00:00,26790.0,28100.0,25870.0,27260.0,794965.11359583,21302817822.397224
2023-02-22 09:00:00,27260.0,28300.0,25650.0,26610.0,1599577.92800748,43029713134.85335
2023-02-23 09:00:00,26610.0,27000.0,25630.0,25860.0,616850.18336406,16266076500.807901
2023-02-24 09:00:00,25870.0,25900.0,24150.0,24540.0,502998.53188044,12652157290.16425
2023-02-25 09:00:00,24540.0,24670.0,23370.0,24030.0,377503.44608151,9114508330.859367
2023-02-26 09:00:00,24030.0,24630.0,23770.0,24490.0,166307.07984556,4015971513.669629
2023-02-27 09:00:00,24500.0,24760.0,23700.0,23900.0,334883.52918353,8125982738.254155
2023-02-28 09:00:00,23910.0,23960.0,22760.0,22920.0,338942.61973449,7919860164.746757
2023-03-01 09:00:00,22920.0,23530.0,22690.0,23410.0,271822.39262307,6316978031.734429
2023-03-02 09:00:00,23410.0,23500.0,22640.0,23150.0,203861.03460377,4683369536.060247
2023-03-03 09:00:00,23150.0,23180.0,21160.0,22160.0,293639.34295455,6395902283.207757
2023-03-04 09:00:00,22160.0,22530.0,21190.0,21600.0,101616.60413838,2236376675.3129973
2023-03-05 09:00:00,21600.0,21960.0,21440.0,21590.0,86658.24246328,1881334806.4216275
2023-03-06 09:00:00,21590.0,22300.0,21090.0,21950.0,311763.18288173,6798058355.319123
2023-03-07 09:00:00,21950.0,22270.0,21140.0,21520.0,223300.68527248,4843493720.383885
2023-03-08 09:00:00,21520.0,21610.0,20050.0,20220.0,185476.63403581,3882233409.3911123
2023-03-09 09:00:00,20220.0,20970.0,19250.0,19510.0,239806.24656589,4821643741.702804
2023-03-10 09:00:00,19510.0,20520.0,18960.0,20070.0,509199.50405097,10052974820.669107
2023-03-11 09:00:00,20100.0,20550.0,19010.0,19680.0,255399.47602136,5018048015.1032095
2023-03-12 09:00:00,19680.0,21670.0,19060.0,21470.0,318689.89572531,6537281307.304544
2023-03-13 09:00:00,21470.0,22080.0,20520.0,21700.0,635422.43597798,13634187228.311758
2023-03-14 09:00:00,21690.0,23380.0,21090.0,22540.0,602833.87775621,13393812730.733946
2023-03-15 09:00:00,22560.0,22930.0,20580.0,20840.0,405931.15703542,8880914877.212358
2023-03-16 09:00:00,20870.0,21430.0,20380.0,21100.0,178598.5266142,3734242997.52464
2023-03-17 09:00:00,21110.0,23420.0,20960.0,23300.0,335789.40106264,7415608582.068098
2023-03-18 09:00:00,23320.0,24110.0,22460.0,22590.0,360191.64368901,8391664330.728775
2023-03-19 09:00:00,22610.0,23870.0,22590.0,23310.0,342696.09609239,7960701419.9297695
2023-03-20 09:00:00,23340.0,23690.0,22240.0,22370.0,294388.43940427,6804220497.154719
2023-03-21 09:00:00,22370.0,23440.0,21740.0,23090.0,314214.55648153,7115526268.518045
2023-03-22 09:00:00,23120.0,23990.0,21810.0,22350.0,421069.38354313,9684613384.990738
