,open,high,low,close,volume,value
2023-02-07 09:00:00,13740.0,14830.0,13570.0,14790.0,2583389.75920005,36665030417.24046
2023-02-08 09:00:00,14790.0,15810.0,14450.0,15190.0,6623538.33734469,100100230208.7939
2023-02-09 09:00:00,15200.0,15950.0,13170.0,13320.0,6363629.66881282,92939066560.20415
2023-02-10 09:00:00,13320.0,13460.0,12780.0,13170.0,2918448.62661729,38244813222.1249
2023-02-11 09:00:00,13170.0,13550.0,13050.0,13430.0,1342496.35679721,17840823526.36913
2023-02-12 09:00:00,13420.0,13440.0,12640.0,12880.0,1413886.52836576,18591880432.308346
2023-02-13 09:00:00,12880.0,12930.0,11920.0,12470.0,2549841.597653,31527770662.501797
2023-02-14 09:00:00,12460.0,12950.0,12020.0,12930.0,2738590.78059966,34319769653.3918
2023-02-15 09:00:00,12930.0,13880.0,12680.0,13820.0,2647414.38422875,34837624719.09781
2023-02-16 09:00:00,13820.0,14350.0,13080.0,13120.0,3612578.13916156,50229972273.40815
2023-02-17 09:00:00,13140.0,13890.0,13010.0,13760.0,2025235.44236993,27392764872.262142
2023-02-18 09:00:00,13750.0,14750.0,13700.0,14070.0,4082675.77586776,58169408071.78381
2023-02-19 09:00:00,14090.0,14390.0,13820.0,14150.0,2851914.24530322,40260214601.70302
2023-02-20 09:00:00,14150.0,14640.0,13550.0,14430.0,3850329.33502657,55021898212.478645
2023-02-21 09:00:00,14440.0,14960.0,13720.0,14060.0,3903212.57195545,55997842005.34277
2023-02-22 09:00:00,14070.0,14130.0,13220.0,13850.0,2055709.88148186,27981113897.418884
2023-02-23 09:00:00,13850.0,14080.0,13480.0,13830.0,1987519.75481323,27430135369.276855
2023-02-24 09:00:00,13830.0,13870.0,13080.0,13370.0,1823094.63548878,24734947839.684856
2023-02-25 09:00:00,13360.0,13740.0,12710.0,13140.0,1689209.99131963,22235253837.613457
2023-02-26 09:00:00,13140.0,13320.0,12940.0,13290.0,704603.34079242,9248897239.479279
2023-02-27 09:00:00,13290.0,13600.0,13020.0,13300.0,1927800.8341414,25710678273.757263
2023-02-28 09:00:00,13300.0,13310.0,12810.0,12880.0,900360.07436932,11794872474.824106
2023-03-01 09:00:00,12880.0,13280.0,12730.0,13150.0,896216.12773711,11709557917.555084
2023-03-02 09:00:00,13150.0,13250.0,12710.0,12930.0,1051967.35888481,13579236236.07849
2023-03-03 09:00:00,12930.0,12940.0,11780.0,12140.0,1969185.3493747,23793423064.579147
2023-03-04 09:00:00,12140.0,12400.0,11470.0,11770.0,1210195.06839562,14538670420.360395
2023-03-05 09:00:00,11770.0,11940.0,11630.0,11740.0,665657.38293454,7856929458.114161
2023-03-06 09:00:00,11740.0,11920.0,11270.0,11810.0,1386179.81841417,16030481047.920513
2023-03-07 09:00:00,11810.0,11970.0,11230.0,11480.0,1085735.98360154,12592071244.961655
2023-03-08 09:00:00,11480.0,11580.0,10420.0,10580.0,1557306.75098013,16998034201.48938
2023-03-09 09:00:00,10570.0,10990.0,9860.0,9990.0,1710563.17177303,17828990030.64706
2023-03-10 09:00:00,9990.0,10110.0,9385.0,10050.0,2375094.19189142,23272000081.190952
2023-03-11 09:00:00,10050.0,10380.0,9500.0,9875.0,1619744.68669702,16061633601.553465
2023-03-12 09:00:00,9885.0,10490.0,9500.0,10480.0,1429087.71250142,14163357589.961193
2023-03-13 09:00:00,10480.0,11220.0,10180.0,10930.0,3670811.1741717,39431982587.194305
2023-03-14 09:00:00,10930.0,11760.0,10470.0,11350.0,3312545.90331531,37023177670.93846
2023-03-15 09:00:00,11340.0,11540.0,10300.0,10470.0,2751714.60112857,30200579667.25484
2023-03-16 09:00:00,10470.0,10770.0,10310.0,10690.0,1185708.27971043,12509052472.197636
2023-03-17 09:00:00,10690.0,11850.0,10530.0,11740.0,2887198.55397538,32353940579.91138
2023-03-18 09:00:00,11740.0,12480.0,11530.0,11590.0,5204769.83689778,62728732203.02674
2023-03-19 09:00:00,11600.0,13180.0,11590.0,12160.0,12246635.31017314,153438499071.3996
2023-03-20 09:00:00,12160.0,12370.0,11460.0,11600.0,3287972.69878759,39516800482.83822
