,open,high,low,close,volume,value
2023-02-07 09:00:00,356.0,382.0,348.0,380.0,17312431.80225267,6250363467.812179
2023-02-08 09:00:00,380.0,412.0,370.0,380.0,64695464.61645712,25427797866.937977
2023-02-09 09:00:00,381.0,392.0,337.0,342.0,27697304.01018575,10345840962.784176
2023-02-10 09:00:00,343.0,357.0,336.0,353.0,14813528.16444826,5133865161.858319
2023-02-11 09:00:00,353.0,355.0,345.0,352.0,8187433.03298681,2867037535.0111337
2023-02-12 09:00:00,352.0,387.0,344.0,366.0,25580868.35787348,9338041405.462519
2023-02-13 09:00:00,367.0,382.0,346.0,372.0,42637716.64256,15605840822.408136
2023-02-14 09:00:00,372.0,393.0,359.0,388.0,37091936.18558206,13980388144.990469
2023-02-15 09:00:00,389.0,405.0,380.0,404.0,23260405.38477117,9098800641.507782
2023-02-16 09:00:00,404.0,408.0,379.0,380.0,24182894.57648164,9648353177.59354
2023-02-17 09:00:00,382.0,398.0,374.0,396.0,20209555.17334435,7886113132.201846
2023-02-18 09:00:00,395.0,400.0,388.0,398.0,11717207.44189562,4625832796.514804
2023-02-19 09:00:00,398.0,403.0,389.0,399.0,19121414.83882872,7588069425.794962
2023-02-20 09:00:00,399.0,416.0,391.0,411.0,33256536.16406812,13534548097.772846
2023-02-21 09:00:00,411.0,413.0,393.0,400.0,20645805.40489239,8328205291.927895
2023-02-22 09:00:00,401.0,442.0,400.0,429.0,130783902.43887699,55013417733.28338
2023-02-23 09:00:00,429.0,430.0,411.0,417.0,24460671.15376451,10298721373.922623
2023-02-24 09:00:00,416.0,424.0,392.0,401.0,26345708.21988447,10741113365.225983
2023-02-25 09:00:00,400.0,402.0,376.0,392.0,13248506.6160903,5181789456.870767
2023-02-26 09:00:00,391.0,416.0,385.0,415.0,10843020.21035112,4353980192.088282
2023-02-27 09:00:00,415.0,420.0,402.0,406.0,14227915.71890914,5831935721.160746
2023-02-28 09:00:00,406.0,407.0,387.0,388.0,9592417.56374627,3792892404.3141937
2023-03-01 09:00:00,388.0,398.0,380.0,395.0,10900763.92591996,4257673125.380306
2023-03-02 09:00:00,395.0,413.0,375.0,387.0,25754293.26280528,10144257421.409885
2023-03-03 09:00:00,387.0,389.0,343.0,357.0,16723978.84700447,5993299949.560792
2023-03-04 09:00:00,357.0,367.0,340.0,347.0,9032510.68219205,3195861158.061033
2023-03-05 09:00:00,347.0,352.0,342.0,344.0,4203341.54101284,1460209454.6931186
2023-03-06 09:00:00,343.0,350.0,330.0,345.0,12589740.09046955,4287858946.0217505
2023-03-07 09:00:00,345.0,351.0,323.0,334.0,13016837.19115403,4338717575.270341
2023-03-08 09:00:00,333.0,336.0,312.0,315.0,9038438.50491997,2939973275.8865166
2023-03-09 09:00:00,316.0,326.0,292.0,297.0,8798559.07113232,2728609058.402816
2023-03-10 09:00:00,297.0,298.0,278.0,290.0,23929841.2853646,6834847918.78327
2023-03-11 09:00:00,290.0,296.0,272.0,282.0,18333079.18207722,5182530895.505496
2023-03-12 09:00:00,281.0,298.0,270.0,297.0,10012607.57094479,2813017624.96215
2023-03-13 09:00:00,297.0,316.0,289.0,314.0,19954547.21199533,6041161239.49516
2023-03-14 09:00:00,314.0,337.0,306.0,328.0,17843969.96521066,5706148034.744864
