,open,high,low,close,volume,value
2023-06-27 09:00:00,400.0,600.0,399.0,501.0,487018736.836609,266398128840.61713
2023-06-28 09:00:00,501.0,503.0,450.0,455.0,66056270.63974509,31325415909.59348
2023-06-29 09:00:00,455.0,474.0,454.0,461.0,46376897.4684766,21508215561.982224
2023-06-30 09:00:00,461.0,472.0,402.0,458.0,41603827.51360098,18799661188.26419
2023-07-01 09:00:00,458.0,469.0,444.0,466.0,16278842.69106969,7394871015.583026
2023-07-02 09:00:00,465.0,467.0,440.0,450.0,13447173.70798168,6081747584.556768
2023-07-03 09:00:00,451.0,524.0,451.0,492.0,210752806.6033579,102804183700.87045
2023-07-04 09:00:00,492.0,497.0,452.0,458.0,39987037.48341427,18940194416.07887
2023-07-05 09:00:00,458.0,460.0,425.0,440.0,18214327.84575322,8127085681.420833
2023-07-06 09:00:00,440.0,450.0,421.0,423.0,15252125.96613916,6657373488.611398
2023-07-07 09:00:00,422.0,454.0,419.0,428.0,50807402.51032542,22114944985.493656
2023-07-08 09:00:00,427.0,438.0,422.0,430.0,17847165.21471941,7676530177.325389
2023-07-09 09:00:00,431.0,433.0,422.0,428.0,5422546.44586413,2311521173.559097
2023-07-10 09:00:00,428.0,432.0,409.0,424.0,14337300.49929461,6008720548.369831
2023-07-11 09:00:00,424.0,428.0,417.0,424.0,8920158.93309038,3759430268.0808687
2023-07-12 09:00:00,424.0,430.0,414.0,421.0,9126979.04416179,3862429705.9394836
2023-07-13 09:00:00,420.0,440.0,412.0,440.0,13058609.64918799,5572189149.166522
2023-07-14 09:00:00,440.0,510.0,418.0,446.0,56001560.55524218,26238820818.50348
2023-07-15 09:00:00,446.0,485.0,438.0,450.0,61837817.73978406,28083342665.82285
2023-07-16 09:00:00,450.0,450.0,423.0,427.0,14421331.90025244,6264053334.198718
2023-07-17 09:00:00,427.0,439.0,416.0,430.0,16917035.70325231,7277273226.389499
2023-07-18 09:00:00,430.0,437.0,416.0,425.0,12547888.85455749,5349695207.695621
2023-07-19 09:00:00,425.0,432.0,420.0,425.0,5137307.83908767,2188795581.212177
2023-07-20 09:00:00,425.0,447.0,423.0,438.0,12633240.75676533,5500599946.123553
2023-07-21 09:00:00,438.0,442.0,426.0,432.0,6968368.32548916,3018663180.5032
2023-07-22 09:00:00,432.0,441.0,422.0,426.0,11134872.44245228,4823164860.518619
2023-07-23 09:00:00,426.0,432.0,422.0,427.0,3481823.44823964,1487233555.7962508
