,open,high,low,close,volume,value
2023-01-05 09:00:00,143.0,146.0,139.0,141.0,26749655.0057165,3810378865.3731885
2023-01-06 09:00:00,141.0,142.0,133.0,139.0,25671921.69913595,3518359039.5398736
2023-01-07 09:00:00,139.0,142.0,137.0,140.0,18515665.7627539,2595257118.0567594
2023-01-08 09:00:00,140.0,145.0,139.0,144.0,12919175.92226505,1821571282.5959017
2023-01-09 09:00:00,145.0,153.0,144.0,152.0,58498493.57468534,8718111493.576351
2023-01-10 09:00:00,152.0,155.0,148.0,154.0,32617023.86781729,4929265333.049751
2023-01-11 09:00:00,153.0,173.0,153.0,162.0,203827190.35019988,33354462588.50614
2023-01-12 09:00:00,161.0,176.0,160.0,170.0,161044692.94981837,27253118443.1907
2023-01-13 09:00:00,170.0,177.0,166.0,176.0,57316517.84526292,9746300365.550364
2023-01-14 09:00:00,176.0,207.0,175.0,197.0,195930775.6088637,37292586382.01365
2023-01-15 09:00:00,197.0,200.0,185.0,198.0,81741890.12559743,15668516942.214474
2023-01-16 09:00:00,197.0,221.0,191.0,207.0,190469827.7817541,39659614419.20661
2023-01-17 09:00:00,207.0,213.0,197.0,206.0,64508214.75728999,13196147213.052198
2023-01-18 09:00:00,206.0,214.0,189.0,191.0,66336860.00695662,13486045332.120787
2023-01-19 09:00:00,191.0,224.0,189.0,207.0,264011950.7421803,55395949097.51907
2023-01-20 09:00:00,207.0,233.0,203.0,224.0,314582458.3961951,69362636699.81894
2023-01-21 09:00:00,225.0,228.0,218.0,221.0,75613693.69476391,16857070889.556646
2023-01-22 09:00:00,220.0,235.0,220.0,224.0,92459058.25328149,21005965767.875233
2023-01-23 09:00:00,224.0,229.0,220.0,226.0,44269466.95865099,9920622040.835615
2023-01-24 09:00:00,226.0,290.0,226.0,238.0,1038700911.8752645,270827613637.3265
2023-01-25 09:00:00,237.0,264.0,231.0,243.0,231628406.92868248,56911257800.07765
2023-01-26 09:00:00,244.0,252.0,236.0,245.0,80288962.85840248,19517378146.44567
2023-01-27 09:00:00,245.0,246.0,234.0,245.0,49110737.90190149,11715974606.43462
2023-01-28 09:00:00,245.0,257.0,240.0,248.0,123188717.56046201,30717075055.29485
2023-01-29 09:00:00,248.0,253.0,246.0,251.0,40041146.5390084,9971678922.86495
2023-01-30 09:00:00,251.0,256.0,225.0,230.0,55909809.27733882,13359240973.29385
2023-01-31 09:00:00,231.0,238.0,221.0,232.0,49666354.12612186,11353850905.026882
2023-02-01 09:00:00,232.0,239.0,214.0,238.0,58928283.16324101,13344364640.581253
2023-02-02 09:00:00,238.0,244.0,233.0,242.0,49859658.93930056,11889596553.47591
2023-02-03 09:00:00,242.0,251.0,239.0,250.0,50174434.34381736,12188089508.802927
2023-02-04 09:00:00,250.0,276.0,248.0,264.0,240920312.6224755,63757838817.55501
2023-02-05 09:00:00,265.0,271.0,242.0,254.0,90388645.59157062,23175775901.420788
2023-02-06 09:00:00,253.0,278.0,246.0,277.0,100197807.64460935,26107198881.52094
2023-02-07 09:00:00,277.0,282.0,259.0,282.0,88758580.86737306,23710512824.298275
2023-02-08 09:00:00,281.0,282.0,265.0,274.0,61994918.19275273,16955598373.205317
2023-02-09 09:00:00,274.0,283.0,250.0,253.0,89811116.1111036,23816676625.249077
2023-02-10 09:00:00,253.0,257.0,245.0,255.0,30724357.27928785,7745505459.802437
2023-02-11 09:00:00,255.0,262.0,252.0,258.0,18373306.10557847,4702718116.34348
2023-02-12 09:00:00,257.0,258.0,249.0,252.0,14233649.83979127,3610193933.993579
2023-02-13 09:00:00,254.0,256.0,230.0,241.0,31719957.80948348,7608623010.830816
2023-02-14 09:00:00,242.0,247.0,226.0,245.0,29452033.51026537,7015981662.258925
2023-02-15 09:00:00,245.0,262.0,240.0,261.0,40605428.919511,10115139768.038465
2023-02-16 09:00:00,260.0,274.0,250.0,252.0,91108763.26517285,24096305143.511078
2023-02-17 09:00:00,252.0,267.0,250.0,266.0,33904213.05531181,8823556503.235691
2023-02-18 09:00:00,266.0,275.0,261.0,269.0,57229743.15348203,15348355834.965162
2023-02-19 09:00:00,270.0,270.0,263.0,268.0,30735413.08827823,8195923321.655677
2023-02-20 09:00:00,268.0,274.0,262.0,273.0,53187383.6128119,14332590281.711536
2023-02-21 09:00:00,273.0,290.0,265.0,271.0,134523037.64110756,37397082334.411446
2023-02-22 09:00:00,270.0,280.0,259.0,276.0,80071647.85222913,21652961164.018063
2023-02-23 09:00:00,277.0,285.0,268.0,283.0,63736941.38653758,17604813582.762253
2023-02-24 09:00:00,283.0,297.0,277.0,296.0,123992752.8999997,35428415681.101524
2023-02-25 09:00:00,296.0,297.0,272.0,283.0,51814355.01932192,14628750028.092758
2023-02-26 09:00:00,283.0,286.0,277.0,284.0,22389100.36613075,6277539046.253426
2023-02-27 09:00:00,284.0,325.0,280.0,302.0,330281955.436442,99408981152.7365
2023-02-28 09:00:00,302.0,305.0,283.0,289.0,67043473.43534171,19476008402.83166
2023-03-01 09:00:00,289.0,301.0,286.0,289.0,66097577.12829987,19380950824.191284
2023-03-02 09:00:00,288.0,293.0,269.0,277.0,53935921.29748552,14968901255.520918
2023-03-03 09:00:00,277.0,278.0,249.0,256.0,38574619.62193844,9939480615.916462
2023-03-04 09:00:00,255.0,265.0,252.0,257.0,23309773.60837175,6055006809.289287
2023-03-05 09:00:00,257.0,262.0,254.0,258.0,17187633.31767861,4439280947.070405
2023-03-06 09:00:00,258.0,265.0,242.0,255.0,44651258.32700095,11279999539.667807
2023-03-07 09:00:00,254.0,256.0,235.0,243.0,29965158.40734204,7378363074.386973
2023-03-08 09:00:00,243.0,244.0,225.0,228.0,30702977.35122449,7146878903.713824
2023-03-09 09:00:00,229.0,234.0,208.0,214.0,34437091.26237213,7621778135.928429
2023-03-10 09:00:00,214.0,217.0,198.0,216.0,32484982.27918552,6699205215.7323885
2023-03-11 09:00:00,216.0,224.0,204.0,213.0,18922734.82930879,4045539338.0341353
2023-03-12 09:00:00,213.0,223.0,204.0,222.0,20158049.23737296,4273343772.4352036
2023-03-13 09:00:00,222.0,238.0,215.0,237.0,44725661.59754229,10113201333.28356
2023-03-14 09:00:00,236.0,249.0,228.0,245.0,53676535.53752926,12801073175.33705
2023-03-15 09:00:00,245.0,246.0,227.0,229.0,31905498.48371742,7604562360.224103
2023-03-16 09:00:00,229.0,237.0,228.0,235.0,17739345.72116441,4120318855.8093877
