,open,high,low,close,volume,value
2023-01-05 09:00:00,0.0009,0.0009,0.0008,0.0009,779769329054.8826,630009089.2368615
2023-01-06 09:00:00,0.0008,0.0009,0.0007,0.0008,3496784041152.789,2791798163.3131323
2023-01-07 09:00:00,0.0009,0.0009,0.0008,0.0009,424893112236.53906,344094246.7193958
2023-01-08 09:00:00,0.0008,0.0009,0.0008,0.0009,251466249577.35764,205780652.51789102
2023-01-09 09:00:00,0.0008,0.0009,0.0008,0.0009,428959045878.8614,367642706.44545084
2023-01-10 09:00:00,0.0008,0.0009,0.0008,0.0009,315359960207.4769,260752993.8205063
2023-01-11 09:00:00,0.0009,0.0009,0.0008,0.0009,314570626878.1277,262189394.41102067
2023-01-12 09:00:00,0.0009,0.0009,0.0008,0.0009,451305704699.7158,383435701.6746845
2023-01-13 09:00:00,0.0008,0.0009,0.0008,0.0009,693644185997.5336,604630347.1054493
2023-01-14 09:00:00,0.0009,0.001,0.0008,0.0009,10261744235380.672,9217421909.357615
2023-01-15 09:00:00,0.001,0.001,0.0008,0.0009,2413343017503.89,2158755922.445121
2023-01-16 09:00:00,0.0008,0.001,0.0008,0.001,2935658041801.5347,2684691737.272905
2023-01-17 09:00:00,0.001,0.001,0.0009,0.001,772357892716.9779,717234610.5965545
2023-01-18 09:00:00,0.0009,0.001,0.0009,0.001,1763186207132.3806,1597570254.826386
2023-01-19 09:00:00,0.001,0.001,0.0008,0.0009,1736325163323.0063,1553744831.5562997
2023-01-20 09:00:00,0.0008,0.001,0.0008,0.001,2791960422753.4907,2511688084.529399
2023-01-21 09:00:00,0.0009,0.001,0.0009,0.001,679828079564.3713,638489985.5213392
2023-01-22 09:00:00,0.001,0.001,0.0009,0.001,523967610408.5851,489122382.5136602
2023-01-23 09:00:00,0.0009,0.001,0.0009,0.001,458496490109.649,425310727.5141118
2023-01-24 09:00:00,0.0009,0.001,0.0009,0.001,814660901150.8652,758151761.1346349
2023-01-25 09:00:00,0.001,0.001,0.0009,0.001,893489881977.0769,822041217.0603458
2023-01-26 09:00:00,0.0009,0.001,0.0009,0.001,590447109990.6162,555939512.0806391
2023-01-27 09:00:00,0.0009,0.001,0.0009,0.001,677865312170.8075,631126181.8044201
2023-01-28 09:00:00,0.0009,0.001,0.0009,0.001,387976570092.4657,361144623.14054686
2023-01-29 09:00:00,0.001,0.001,0.0009,0.001,797197606798.2474,732935043.8888613
2023-01-30 09:00:00,0.001,0.001,0.0008,0.0009,2954505702780.1685,2667763464.8742137
2023-01-31 09:00:00,0.0008,0.001,0.0008,0.001,1638756674814.045,1471398988.4256625
2023-02-01 09:00:00,0.001,0.001,0.0008,0.001,4068211167949.6123,3663076038.879496
2023-02-02 09:00:00,0.0009,0.001,0.0009,0.001,641612965001.9751,604349921.4335142
2023-02-03 09:00:00,0.001,0.001,0.0009,0.001,547678171595.72314,512425481.3649453
2023-02-04 09:00:00,0.0009,0.001,0.0009,0.001,583563996196.2626,558300838.2837988
2023-02-05 09:00:00,0.001,0.001,0.0009,0.001,619693276085.8423,582518494.5652004
2023-02-06 09:00:00,0.001,0.001,0.0009,0.001,443315168048.5358,415660400.11469775
2023-02-07 09:00:00,0.0009,0.001,0.0009,0.001,669050325182.5122,646125148.9837912
2023-02-08 09:00:00,0.001,0.001,0.0009,0.001,559084683417.9839,536612419.77942777
2023-02-09 09:00:00,0.001,0.001,0.0009,0.001,632058135797.024,587317789.6739022
2023-02-10 09:00:00,0.001,0.001,0.0009,0.001,2082702154753.899,1889007530.7233438
2023-02-11 09:00:00,0.001,0.001,0.0009,0.001,256085399033.93933,236872286.76783466
2023-02-12 09:00:00,0.001,0.001,0.0009,0.001,371031430367.0555,346645197.1696426
2023-02-13 09:00:00,0.0009,0.001,0.0008,0.0009,2747672426299.245,2469953299.2209635
2023-02-14 09:00:00,0.0009,0.001,0.0008,0.001,1644227257123.6335,1476827412.3025696
2023-02-15 09:00:00,0.001,0.001,0.0009,0.001,982236224229.7161,930948298.8190974
2023-02-16 09:00:00,0.001,0.001,0.0009,0.001,1084891518608.083,1022888939.318212
2023-02-17 09:00:00,0.001,0.001,0.0009,0.001,613288568422.039,578116734.1002928
2023-02-18 09:00:00,0.0009,0.001,0.0009,0.001,473637980900.8415,454638023.832094
2023-02-19 09:00:00,0.001,0.001,0.0009,0.0009,457317291059.63055,438343253.2416345
2023-02-20 09:00:00,0.0009,0.001,0.0009,0.001,2048841977364.3682,2001415380.0678346
2023-02-21 09:00:00,0.001,0.001,0.0009,0.001,1380945137369.834,1345552749.6524098
2023-02-22 09:00:00,0.001,0.001,0.0009,0.0009,566131646827.6925,534433289.4154341
2023-02-23 09:00:00,0.0009,0.001,0.0009,0.001,672935357544.2723,647218961.3050731
2023-02-24 09:00:00,0.001,0.001,0.0009,0.0009,608623269362.3463,574597618.6838073
2023-02-25 09:00:00,0.0009,0.001,0.0009,0.0009,417606687789.02325,392856613.89765984
2023-02-26 09:00:00,0.0009,0.001,0.0009,0.001,280335445773.402,265463073.9742743
2023-02-27 09:00:00,0.001,0.001,0.0009,0.001,459470433780.5794,427972554.1352646
2023-02-28 09:00:00,0.0009,0.001,0.0009,0.0009,324513735173.4756,305708584.77819294
2023-03-01 09:00:00,0.001,0.001,0.0009,0.0009,530176090269.0399,505134875.4058054
2023-03-02 09:00:00,0.0009,0.001,0.0009,0.001,453322362944.4929,431575115.7565855
2023-03-03 09:00:00,0.001,0.001,0.0009,0.001,700334562591.5228,638774552.4092574
2023-03-04 09:00:00,0.001,0.001,0.0009,0.001,227773933402.94653,213032386.95211124
2023-03-05 09:00:00,0.001,0.001,0.0009,0.001,264768508443.5635,253400501.72809476
2023-03-06 09:00:00,0.001,0.001,0.0009,0.001,349604605764.38824,318726858.2651427
2023-03-07 09:00:00,0.001,0.001,0.0009,0.001,418474259916.36536,387268419.938972
2023-03-08 09:00:00,0.001,0.001,0.0009,0.0009,632385569287.6317,575171694.925632
2023-03-09 09:00:00,0.0009,0.001,0.0008,0.0008,8079978855948.115,7274701849.984869
2023-03-10 09:00:00,0.0009,0.0009,0.0008,0.0008,797257551306.1454,686926946.6736002
2023-03-11 09:00:00,0.0008,0.0009,0.0008,0.0008,399388767710.1378,345503685.2784733
2023-03-12 09:00:00,0.0008,0.0009,0.0008,0.0008,533850046988.14685,464113521.0093642
2023-03-13 09:00:00,0.0009,0.0009,0.0008,0.0009,977612756187.0787,850163516.4011058
2023-03-14 09:00:00,0.0008,0.001,0.0008,0.0008,7373640084095.155,6605428522.333612
2023-03-15 09:00:00,0.0008,0.0009,0.0008,0.0009,1102222109905.7795,967010812.133807
2023-03-16 09:00:00,0.0009,0.0009,0.0008,0.0009,519595562861.437,446716546.00961107
