,open,high,low,close,volume,value
2023-02-06 09:00:00,971.0,1185.0,970.0,1010.0,59439206.67807447,63804412516.04319
2023-02-07 09:00:00,1005.0,1010.0,934.0,974.0,8096701.46920026,7741348030.747199
2023-02-08 09:00:00,974.0,979.0,937.0,950.0,3452451.44633347,3306398898.862414
2023-02-09 09:00:00,950.0,1005.0,901.0,911.0,9744873.9435046,9267302176.828636
2023-02-10 09:00:00,909.0,990.0,906.0,932.0,8803255.47144954,8243966340.824004
2023-02-11 09:00:00,933.0,952.0,918.0,948.0,2741368.50578768,2561285828.7192297
2023-02-12 09:00:00,948.0,955.0,925.0,930.0,2134692.49285183,2002377894.7512398
2023-02-13 09:00:00,926.0,930.0,853.0,895.0,2737921.50783119,2431686012.228073
2023-02-14 09:00:00,894.0,918.0,847.0,914.0,3508031.17302702,3117740022.1608505
2023-02-15 09:00:00,916.0,997.0,899.0,993.0,12009494.85263627,11528433128.521765
2023-02-16 09:00:00,994.0,1095.0,963.0,973.0,23536302.20411898,24490761737.959393
2023-02-17 09:00:00,973.0,1050.0,963.0,1040.0,10065760.46307153,10191437101.88064
2023-02-18 09:00:00,1040.0,1050.0,997.0,1030.0,3042164.1964949,3115877987.315907
2023-02-19 09:00:00,1030.0,1045.0,1000.0,1035.0,3193975.09314245,3250554944.602901
2023-02-20 09:00:00,1035.0,1085.0,1005.0,1085.0,5410390.40467795,5650926703.268188
2023-02-21 09:00:00,1080.0,1145.0,1020.0,1070.0,9268430.53786779,10035416006.557755
2023-02-22 09:00:00,1070.0,1075.0,1010.0,1060.0,3801246.8137748,3920424287.74351
2023-02-23 09:00:00,1060.0,1100.0,1020.0,1085.0,4825634.46673867,5083890329.227803
2023-02-24 09:00:00,1090.0,1265.0,1065.0,1125.0,23002723.67009172,26519527877.86251
2023-02-25 09:00:00,1130.0,1490.0,1125.0,1165.0,174889469.59979624,233933460833.2681
2023-02-26 09:00:00,1165.0,1175.0,1080.0,1105.0,13718418.08330036,15099564877.45086
2023-02-27 09:00:00,1105.0,1105.0,1040.0,1060.0,7373981.80630023,7819556720.943043
2023-02-28 09:00:00,1060.0,1105.0,1050.0,1090.0,6860215.61448979,7382320498.993911
2023-03-01 09:00:00,1090.0,1090.0,1045.0,1080.0,3720665.72039419,3953319466.900103
2023-03-02 09:00:00,1095.0,1110.0,1040.0,1070.0,5960053.32227009,6374072390.137379
2023-03-03 09:00:00,1070.0,1095.0,976.0,999.0,7125346.50654476,7309207860.762677
