,open,high,low,close,volume,value
2023-02-07 09:00:00,177.0,215.0,175.0,205.0,521742402.78416705,102301326556.58488
2023-02-08 09:00:00,205.0,228.0,195.0,202.0,525243063.21953535,112656089272.49274
2023-02-09 09:00:00,202.0,202.0,176.0,179.0,175656491.9236384,33277551047.110283
2023-02-10 09:00:00,179.0,182.0,173.0,177.0,89967827.79964337,15953074275.059694
2023-02-11 09:00:00,177.0,180.0,175.0,179.0,42781325.60656367,7595752643.047797
2023-02-12 09:00:00,179.0,181.0,171.0,173.0,92697116.11094686,16432394922.796616
2023-02-13 09:00:00,173.0,174.0,162.0,169.0,73113376.25721651,12249439172.741516
2023-02-14 09:00:00,169.0,175.0,163.0,175.0,62334855.83047047,10488105977.744892
2023-02-15 09:00:00,174.0,184.0,171.0,183.0,88032913.47123407,15580093036.62543
2023-02-16 09:00:00,183.0,185.0,172.0,174.0,130660337.6726105,23662757103.01384
2023-02-17 09:00:00,173.0,183.0,172.0,181.0,68947386.8549112,12345353491.446827
2023-02-18 09:00:00,181.0,184.0,179.0,182.0,50558364.00338656,9188670131.934574
2023-02-19 09:00:00,181.0,187.0,179.0,183.0,67904592.03254206,12417489156.579018
2023-02-20 09:00:00,183.0,189.0,178.0,188.0,98069519.33802104,18145780194.341427
2023-02-21 09:00:00,188.0,190.0,180.0,184.0,104463266.7738873,19305767810.214176
2023-02-22 09:00:00,184.0,185.0,175.0,183.0,65543263.73026782,11805059757.10897
2023-02-23 09:00:00,183.0,185.0,178.0,182.0,50141410.08346307,9119363162.238426
2023-02-24 09:00:00,182.0,189.0,177.0,180.0,104771415.34623967,19142917687.296455
2023-02-25 09:00:00,181.0,181.0,175.0,180.0,49648841.46531778,8848262334.563787
2023-02-26 09:00:00,179.0,181.0,177.0,181.0,25052102.25763002,4483362180.036698
2023-02-27 09:00:00,181.0,182.0,176.0,178.0,38271723.26754654,6848257240.757112
2023-02-28 09:00:00,178.0,180.0,175.0,175.0,42086804.54401672,7500206992.563594
