,open,high,low,close,volume,value
2023-02-06 09:00:00,6.59,6.96,6.19,6.43,1754269441.2336118,11316205502.073687
2023-02-07 09:00:00,6.42,7.38,6.21,6.54,5794848756.359077,39204881481.04985
2023-02-08 09:00:00,6.54,6.97,6.47,6.69,3615421041.8771443,24331096911.609222
2023-02-09 09:00:00,6.67,6.67,5.88,5.96,1257124893.955413,7908475874.481167
2023-02-10 09:00:00,6.0,7.3,5.94,6.15,9613146283.701078,62761910518.23632
2023-02-11 09:00:00,6.15,6.15,5.92,6.07,670386807.9593338,4030841207.6384897
2023-02-12 09:00:00,6.06,6.3,5.97,6.0,1214157368.7029011,7388936885.17212
2023-02-13 09:00:00,6.0,6.02,5.43,5.76,901325067.6281554,5121531626.087301
2023-02-14 09:00:00,5.75,6.04,5.55,5.9,1345790078.1987505,7782602644.226691
2023-02-15 09:00:00,5.9,6.65,5.76,6.56,5373732343.778823,34089777163.533947
2023-02-16 09:00:00,6.56,7.89,6.49,6.91,14177841620.03797,103132392456.3369
2023-02-17 09:00:00,6.92,7.07,6.61,7.07,1643019238.5438077,11279879497.787243
2023-02-18 09:00:00,7.06,7.07,6.68,6.88,730530234.7353451,5014024691.372
2023-02-19 09:00:00,6.86,6.88,6.66,6.75,475657075.57937956,3216410582.5547137
2023-02-20 09:00:00,6.75,6.95,6.53,6.84,1183640661.1974897,8003046783.307553
2023-02-21 09:00:00,6.84,6.99,6.54,6.66,1013576789.2986007,6841326183.179423
2023-02-22 09:00:00,6.64,6.71,6.27,6.54,590083783.184487,3797835372.8414507
2023-02-23 09:00:00,6.53,6.68,6.39,6.67,348202213.4514143,2261913597.9241037
2023-02-24 09:00:00,6.66,7.19,6.66,6.88,2971590397.7521176,20465134594.603962
2023-02-25 09:00:00,6.88,7.09,6.42,6.76,1289742491.8819358,8827671153.71568
2023-02-26 09:00:00,6.77,7.15,6.75,6.91,2671046315.6771903,18594015664.79076
2023-02-27 09:00:00,6.91,7.08,6.55,6.79,860114242.0130392,5858911596.17435
2023-02-28 09:00:00,6.77,6.79,6.57,6.61,290293590.15292335,1927095854.8000317
2023-03-01 09:00:00,6.6,7.1,6.56,6.73,2451010644.529445,16785949160.648048
2023-03-02 09:00:00,6.73,6.91,6.27,6.46,1043965728.3730997,6880367573.843932
2023-03-03 09:00:00,6.44,6.71,5.69,6.2,837718048.7921596,5138851691.907185
2023-03-04 09:00:00,6.2,6.45,6.0,6.1,515400127.0052173,3248161499.9654365
2023-03-05 09:00:00,6.12,7.12,6.06,6.36,8296229593.730321,55606187311.71246
2023-03-06 09:00:00,6.35,6.37,5.9,6.08,1801020845.1615756,10942505071.364573
2023-03-07 09:00:00,6.08,6.14,5.68,5.81,852483130.8313547,5031490849.590717
2023-03-08 09:00:00,5.8,5.82,5.42,5.43,466491250.9958765,2598346398.66204
2023-03-09 09:00:00,5.43,5.59,5.08,5.18,708503188.2724513,3816160569.5390854
2023-03-10 09:00:00,5.19,5.82,4.88,5.23,3248473998.0789723,17230223288.050755
2023-03-11 09:00:00,5.24,5.37,4.81,5.11,896075082.7249957,4630038286.189848
2023-03-12 09:00:00,5.09,5.31,4.81,5.29,878427087.6641661,4504784253.069282
2023-03-13 09:00:00,5.29,6.78,5.18,6.25,12995856064.523657,78383597330.4235
2023-03-14 09:00:00,6.25,6.78,5.94,6.45,5189160238.597681,33337877706.700993
2023-03-15 09:00:00,6.44,6.83,5.94,6.26,2687110747.3592706,17603818911.40306
2023-03-16 09:00:00,6.24,6.36,6.05,6.35,385947347.8008863,2392146213.262879
2023-03-17 09:00:00,6.32,6.67,6.23,6.64,757696267.0926479,4897132624.383531
2023-03-18 09:00:00,6.63,7.27,6.48,7.21,1325843959.4467924,9100685799.242872
2023-03-19 09:00:00,7.22,7.22,6.54,7.0,1712277577.1339931,11756993060.910442
2023-03-20 09:00:00,7.0,7.05,6.59,6.68,659758133.2473009,4465144559.852899
2023-03-21 09:00:00,6.66,6.84,6.2,6.54,628315493.7997385,4074831635.689329
2023-03-22 09:00:00,6.54,6.69,6.21,6.36,381427467.99524194,2459407596.3736916
2023-03-23 09:00:00,6.33,6.6,6.27,6.53,353313071.5883781,2276585774.8103476
2023-03-24 09:00:00,6.55,6.6,6.37,6.43,183996385.96163002,1189782890.0142047
2023-03-25 09:00:00,6.43,6.55,6.34,6.42,228766399.62163895,1473680752.9957788
2023-03-26 09:00:00,6.41,6.48,6.31,6.42,108473419.87330694,693534724.1221645
2023-03-27 09:00:00,6.42,6.43,5.8,6.02,387941671.56565475,2371912020.1654563
2023-03-28 09:00:00,6.04,6.23,5.66,5.95,883830733.7504958,5159295706.6634
2023-03-29 09:00:00,5.95,6.18,5.89,6.13,473468449.07899594,2863777075.7522264
2023-03-30 09:00:00,6.13,6.2,5.99,6.07,359369293.95087504,2191114679.655701
2023-03-31 09:00:00,6.05,6.21,5.88,6.16,288062128.96054643,1736497221.5644784
2023-04-01 09:00:00,6.16,6.47,6.14,6.3,852011811.048359,5387857236.822874
2023-04-02 09:00:00,6.29,6.37,6.07,6.14,265172882.77443397,1652309528.058376
2023-04-03 09:00:00,6.15,6.21,5.96,6.05,231821634.88629547,1404789320.4724038
2023-04-04 09:00:00,6.05,6.12,6.0,6.09,200613501.9344012,1216500199.8444908
2023-04-05 09:00:00,6.1,6.55,6.09,6.5,985969094.0964818,6211878349.927714
2023-04-06 09:00:00,6.5,6.86,6.21,6.46,1222985897.6003523,7959822326.997043
2023-04-07 09:00:00,6.46,6.49,6.2,6.32,254618313.13536564,1602514417.810457
2023-04-08 09:00:00,6.32,6.92,6.28,6.88,2478405862.2522817,16378335523.1063
2023-04-09 09:00:00,6.88,7.07,6.41,6.53,1217517957.255198,7963264909.542688
2023-04-10 09:00:00,6.52,6.55,6.32,6.51,410203594.60514057,2630829264.7090425
2023-04-11 09:00:00,6.52,6.53,6.38,6.49,357251880.17157894,2306500418.9847007
2023-04-12 09:00:00,6.49,7.45,6.49,6.7,11169194447.13015,77987504521.87299
2023-04-13 09:00:00,6.7,6.71,6.37,6.53,1300017370.4704912,8426086840.853054
2023-04-14 09:00:00,6.53,6.57,6.45,6.5,661864394.8242644,4294366829.167154
2023-04-15 09:00:00,6.5,6.61,6.43,6.5,385736767.35723674,2505020945.218558
2023-04-16 09:00:00,6.5,6.56,6.45,6.51,300573092.30005974,1951011108.730697
2023-04-17 09:00:00,6.5,6.51,6.33,6.37,402841250.3724962,2576478144.576514
2023-04-18 09:00:00,6.36,6.45,6.31,6.4,260711602.37784132,1665884599.1618855
2023-04-19 09:00:00,6.43,6.43,6.08,6.13,338416162.0877461,2118577963.696024
2023-04-20 09:00:00,6.14,6.3,6.03,6.16,466185954.68628967,2876865956.6970143
2023-04-21 09:00:00,6.15,6.4,5.89,6.08,830707568.8214562,5179121289.085639
2023-04-22 09:00:00,6.08,6.29,5.98,6.13,350424006.2725287,2143818427.4576187
2023-04-23 09:00:00,6.13,6.13,6.01,6.06,89689975.39357454,544607220.4004271
2023-04-24 09:00:00,6.05,6.1,5.74,5.88,637576741.5621375,3766235199.4766855
2023-04-25 09:00:00,5.87,6.08,5.59,6.07,2092331386.6276371,12324650435.533707
2023-04-26 09:00:00,6.07,7.45,6.02,6.2,25473572820.736584,174049338821.45563
2023-04-27 09:00:00,6.17,6.2,5.85,6.02,2262786436.1936517,13537902716.036705
