,open,high,low,close,volume,value
2023-01-05 09:00:00,75.9,76.6,74.6,75.4,10947088.48213232,829143639.826751
2023-01-06 09:00:00,75.4,77.6,73.6,77.3,33489033.02775835,2541071026.814381
2023-01-07 09:00:00,77.3,79.5,76.4,78.9,13854101.71344746,1079676314.2279513
2023-01-08 09:00:00,79.2,81.3,77.3,78.9,49982295.93116624,3950489695.8255816
2023-01-09 09:00:00,78.9,81.0,78.2,79.7,50750661.40219215,4036532696.9779286
2023-01-10 09:00:00,79.7,80.8,79.0,80.8,23829910.02882664,1899289856.560612
2023-01-11 09:00:00,80.8,82.2,79.4,81.9,20340557.79695838,1640808421.7974117
2023-01-12 09:00:00,81.8,84.5,79.5,83.5,27542337.67583291,2263183687.1286025
2023-01-13 09:00:00,83.5,93.8,82.3,89.0,154505165.38171047,13715631380.047298
2023-01-14 09:00:00,88.7,99.6,86.5,93.7,227920984.67004564,21252265124.813053
2023-01-15 09:00:00,93.6,94.2,89.0,92.2,73767504.14256404,6786928868.377988
2023-01-16 09:00:00,92.2,108.0,90.5,100.0,628492215.7432786,62544800947.60136
2023-01-17 09:00:00,101.0,104.0,96.4,98.1,151810838.36310655,14961682746.055782
2023-01-18 09:00:00,97.9,101.0,87.9,88.2,137834061.80585045,13071774462.81726
2023-01-19 09:00:00,88.3,92.5,87.5,92.1,55202838.12342493,4957183373.118412
2023-01-20 09:00:00,92.2,97.0,90.3,96.9,53060526.2865712,4947103319.695019
2023-01-21 09:00:00,96.9,98.6,94.7,95.3,58737099.90437125,5681620971.291214
2023-01-22 09:00:00,95.4,101.0,95.3,97.6,136079682.93432918,13339011929.51345
2023-01-23 09:00:00,97.5,102.0,96.8,102.0,103756575.67280702,10249731831.271326
2023-01-24 09:00:00,101.0,104.0,93.9,97.9,168318097.94116914,16992828861.06549
2023-01-25 09:00:00,98.0,104.0,95.3,102.0,128279821.89909938,12766955986.018057
2023-01-26 09:00:00,102.0,103.0,100.0,101.0,72934192.33188228,7385669562.729953
2023-01-27 09:00:00,101.0,104.0,97.1,103.0,81407536.55136225,8163945820.544023
2023-01-28 09:00:00,103.0,104.0,100.0,102.0,44886057.53998421,4582576374.379589
2023-01-29 09:00:00,103.0,104.0,101.0,103.0,31309244.75999321,3204850073.2658515
2023-01-30 09:00:00,103.0,104.0,96.1,97.5,63163425.72201384,6292888110.264577
2023-01-31 09:00:00,97.9,101.0,96.2,99.3,31314131.02020423,3075676689.3826795
2023-02-01 09:00:00,99.3,102.0,95.8,101.0,67243509.78065114,6625136991.126204
2023-02-02 09:00:00,102.0,103.0,100.0,101.0,64658425.9108936,6568519028.1952505
2023-02-03 09:00:00,101.0,104.0,100.0,104.0,56946761.87829272,5777029435.292256
2023-02-04 09:00:00,104.0,108.0,102.0,106.0,89802336.50694188,9407447723.445906
2023-02-05 09:00:00,105.0,108.0,98.0,103.0,146099028.87869507,15136015215.933395
2023-02-06 09:00:00,102.0,104.0,100.0,103.0,69228072.80028792,7077325651.209349
2023-02-07 09:00:00,102.0,108.0,101.0,107.0,77446280.10213345,8019681934.631979
2023-02-08 09:00:00,107.0,110.0,105.0,108.0,142132258.38842568,15198412054.712164
2023-02-09 09:00:00,108.0,109.0,98.7,99.3,118947708.7713626,12307895810.773045
2023-02-10 09:00:00,99.4,101.0,97.6,99.2,63704468.66864962,6312846542.093344
2023-02-11 09:00:00,99.3,101.0,98.0,100.0,36631702.71814225,3631125033.7742496
2023-02-12 09:00:00,100.0,101.0,98.2,98.8,34672219.49513073,3442862678.3114586
2023-02-13 09:00:00,98.8,98.9,94.5,96.3,47144047.69328401,4552329503.340005
