,open,high,low,close,volume,value
2023-02-06 09:00:00,51.1,52.1,49.5,51.5,127141639.23260786,6451379922.339823
2023-02-07 09:00:00,51.6,52.9,49.9,52.9,197543940.40442097,10160562728.0219
2023-02-08 09:00:00,52.8,53.8,51.4,53.6,137817697.5927024,7266733548.644825
2023-02-09 09:00:00,53.6,53.6,49.0,49.5,167907312.20670316,8602347438.347094
2023-02-10 09:00:00,49.5,51.0,48.3,49.7,105363267.86193414,5205178399.490581
2023-02-11 09:00:00,49.7,50.6,49.0,50.0,63681288.67083361,3176540420.949258
2023-02-12 09:00:00,49.8,50.0,48.5,48.7,59695576.46589108,2949511892.231498
2023-02-13 09:00:00,48.6,49.4,45.0,46.8,108873065.75106022,5097099635.655227
2023-02-14 09:00:00,46.8,47.8,43.9,47.6,81962586.07110946,3776865701.2837796
2023-02-15 09:00:00,47.5,51.8,46.8,51.7,132320484.9473269,6508827495.549135
2023-02-16 09:00:00,51.7,54.2,49.9,50.3,316593129.8212163,16629583133.099545
2023-02-17 09:00:00,50.4,53.0,50.1,52.9,173735907.331347,8993731156.254442
2023-02-18 09:00:00,52.9,55.3,51.1,54.5,150619636.34217778,7971018905.026829
2023-02-19 09:00:00,54.6,54.9,52.6,54.7,136493337.2226344,7302516155.171091
2023-02-20 09:00:00,54.6,58.7,52.3,55.7,491744882.11127645,27383590569.12589
2023-02-21 09:00:00,55.6,57.7,53.2,57.4,396593629.6924655,22041846951.15181
2023-02-22 09:00:00,57.4,57.5,53.9,56.7,174021033.24706972,9619918602.119476
2023-02-23 09:00:00,56.7,57.0,54.5,57.0,124237235.1259712,6915864836.912861
2023-02-24 09:00:00,56.8,63.5,56.5,59.5,1058291341.5274156,63212617345.48161
2023-02-25 09:00:00,59.4,59.8,54.1,56.3,170725788.23763666,9683776707.019375
2023-02-26 09:00:00,56.2,59.0,55.5,57.1,305615306.4286983,17520703399.486546
2023-02-27 09:00:00,57.0,57.2,54.7,56.6,118432252.35387611,6615555048.60668
2023-02-28 09:00:00,56.6,63.3,56.4,57.6,1182237140.565626,70814313713.35373
2023-03-01 09:00:00,57.6,57.6,54.9,57.0,157783756.6972925,8825852584.32414
2023-03-02 09:00:00,56.8,58.9,53.2,54.4,180427055.78902322,10030701013.44295
2023-03-03 09:00:00,54.4,55.1,48.9,50.5,119292587.0177963,6078194346.9705925
2023-03-04 09:00:00,50.5,53.2,49.9,50.8,132829411.01943424,6875560177.689203
2023-03-05 09:00:00,50.8,54.3,50.4,52.6,302687979.5374791,15953756929.448217
2023-03-06 09:00:00,52.6,52.6,49.4,51.0,75680865.69929695,3840610438.2077355
2023-03-07 09:00:00,51.1,52.6,48.3,49.1,118724754.62894145,5990433344.484257
2023-03-08 09:00:00,49.0,49.8,45.9,46.2,74625993.14704926,3542949003.376126
2023-03-09 09:00:00,46.2,47.3,41.5,42.9,110460576.22588535,4929496718.406451
2023-03-10 09:00:00,42.9,43.2,40.3,42.8,95659905.03654233,3984571543.1140103
2023-03-11 09:00:00,43.0,43.9,40.7,42.5,48589617.61124494,2071972033.697177
2023-03-12 09:00:00,42.5,44.6,40.5,44.6,45311681.77628717,1921000022.4634748
2023-03-13 09:00:00,44.6,48.3,42.7,47.8,149706227.26235428,6776705932.103887
2023-03-14 09:00:00,47.8,53.1,47.3,50.5,579122410.5269343,29194451918.48698
2023-03-15 09:00:00,50.5,51.2,47.5,48.3,98679069.25653559,4910847857.262657
2023-03-16 09:00:00,48.3,49.2,47.0,48.8,65160878.64011049,3135312791.154499
2023-03-17 09:00:00,48.7,51.3,48.2,51.1,85755798.57058051,4266345278.512949
2023-03-18 09:00:00,51.1,52.0,50.0,50.1,86891041.55365296,4425639874.420863
2023-03-19 09:00:00,50.2,51.9,49.5,51.5,50520698.46032979,2548680688.351659
2023-03-20 09:00:00,51.4,51.5,49.7,49.7,59418398.32247947,3002047271.4350533
2023-03-21 09:00:00,49.8,50.0,46.8,49.2,56717716.6315817,2744330757.705388
2023-03-22 09:00:00,49.3,50.2,46.9,47.5,58396519.76430321,2852788137.6502943
2023-03-23 09:00:00,47.7,48.8,46.9,48.7,27204369.57848162,1297606456.48981
2023-03-24 09:00:00,48.7,50.4,48.0,48.4,62672786.10038355,3076430882.283079
2023-03-25 09:00:00,48.5,51.2,48.2,49.8,194130225.5692725,9681599632.36886
2023-03-26 09:00:00,50.1,50.1,48.8,49.4,38169123.28837587,1874162319.6315346
2023-03-27 09:00:00,49.4,49.4,45.4,46.7,49296866.63167313,2342787295.6362743
2023-03-28 09:00:00,46.8,47.2,45.2,47.2,28564971.29146685,1315582952.4875107
2023-03-29 09:00:00,47.2,49.1,46.6,48.9,42612339.05448561,2057867847.7796102
2023-03-30 09:00:00,48.8,49.2,47.3,47.8,37180011.20056545,1802835955.3987818
2023-03-31 09:00:00,47.9,49.3,46.9,48.8,58100643.20091996,2801355899.230361
2023-04-01 09:00:00,48.7,50.4,48.4,50.2,53357084.55466947,2648997825.4860005
2023-04-02 09:00:00,50.2,52.2,47.4,48.6,105021335.08866493,5311429927.545334
2023-04-03 09:00:00,48.3,49.5,47.0,47.8,44759250.77857765,2150574295.4320846
2023-04-04 09:00:00,48.0,53.4,47.8,50.2,797873907.245363,40459239776.57623
2023-04-05 09:00:00,50.3,55.0,49.3,54.7,332933527.26763785,17347478336.78091
2023-04-06 09:00:00,54.7,54.7,51.0,52.9,164460881.09996006,8595618304.624104
2023-04-07 09:00:00,53.0,54.3,50.1,52.8,72117831.21575207,3722922274.8462687
2023-04-08 09:00:00,52.6,71.9,52.6,56.2,7437404309.809926,483319531154.17694
2023-04-09 09:00:00,56.2,57.2,50.9,52.0,1044490119.7662039,55567249144.85641
2023-04-10 09:00:00,52.0,52.1,49.3,50.9,346057355.0524825,17404070381.17155
2023-04-11 09:00:00,50.9,50.9,50.2,50.7,122260306.54178353,6177071212.910375
2023-04-12 09:00:00,50.7,51.3,48.8,49.7,175078879.6453309,8714395193.562792
2023-04-13 09:00:00,49.7,50.2,49.1,49.9,67194527.4741637,3327925893.014645
2023-04-14 09:00:00,49.9,50.5,49.5,50.2,87321794.73921551,4371935740.642934
2023-04-15 09:00:00,50.2,50.7,50.0,50.5,52768836.04987455,2654876054.915841
2023-04-16 09:00:00,50.5,50.7,49.9,50.5,45807147.0712897,2302879714.5318613
2023-04-17 09:00:00,50.5,50.5,49.5,49.9,72804575.63562839,3634635128.5111537
2023-04-18 09:00:00,49.9,50.6,49.4,50.2,77821969.317209,3890876424.758962
