,open,high,low,close,volume,value
2023-02-07 09:00:00,8335.0,8790.0,8310.0,8780.0,467105.97111561,3986473444.450794
2023-02-08 09:00:00,8790.0,8855.0,8430.0,8610.0,456442.91193722,3967005322.1710773
2023-02-09 09:00:00,8625.0,8935.0,7965.0,8070.0,2219889.50238008,19158998055.92852
2023-02-10 09:00:00,8070.0,8135.0,7950.0,8070.0,588148.93280697,4731588288.417429
2023-02-11 09:00:00,8050.0,8150.0,8010.0,8140.0,207122.69706099,1671890255.7808459
2023-02-12 09:00:00,8150.0,8240.0,7920.0,8005.0,278441.80883888,2260090769.4933624
2023-02-13 09:00:00,8020.0,8085.0,7695.0,7985.0,501239.61159645,3956778871.031763
2023-02-14 09:00:00,7985.0,8100.0,7770.0,8085.0,453841.20095058,3618815727.267767
2023-02-15 09:00:00,8090.0,8500.0,7985.0,8490.0,579705.15362863,4765598321.246384
2023-02-16 09:00:00,8490.0,8715.0,8160.0,8185.0,809851.35601994,6854566788.624183
2023-02-17 09:00:00,8195.0,9520.0,8140.0,9395.0,3035351.02862889,27504583849.243847
2023-02-18 09:00:00,9390.0,9520.0,9125.0,9325.0,933778.87035347,8730741120.337894
2023-02-19 09:00:00,9325.0,10150.0,9290.0,9640.0,3201654.93241368,31444494701.458405
2023-02-20 09:00:00,9630.0,9745.0,9400.0,9685.0,1097216.02241341,10571103023.008865
2023-02-21 09:00:00,9700.0,9720.0,9295.0,9425.0,605183.12562827,5773983793.636735
2023-02-22 09:00:00,9420.0,9450.0,9025.0,9405.0,492932.40511438,4558414442.903901
2023-02-23 09:00:00,9405.0,9595.0,9210.0,9310.0,567516.22068093,5360566759.20074
2023-02-24 09:00:00,9310.0,9320.0,8660.0,8815.0,787870.38706323,7085789309.201876
2023-02-25 09:00:00,8815.0,8845.0,8505.0,8770.0,432097.68117426,3772707225.2624907
2023-02-26 09:00:00,8765.0,8915.0,8665.0,8885.0,290800.21374184,2552754123.126893
2023-02-27 09:00:00,8890.0,8985.0,8680.0,8780.0,352059.98443481,3108824785.574466
2023-02-28 09:00:00,8775.0,8780.0,8425.0,8505.0,402203.75689797,3462782939.267388
2023-03-01 09:00:00,8505.0,8730.0,8440.0,8600.0,382079.32652797,3281948781.0961943
2023-03-02 09:00:00,8610.0,8645.0,8265.0,8390.0,314873.26468752,2649791421.6749873
2023-03-03 09:00:00,8395.0,8400.0,7825.0,8040.0,429233.01878252,3442419488.095051
2023-03-04 09:00:00,8040.0,8070.0,7715.0,7900.0,280464.7402229,2227165885.0943336
2023-03-05 09:00:00,7900.0,8085.0,7850.0,7990.0,207740.87411331,1660310678.1046543
2023-03-06 09:00:00,7990.0,8060.0,7810.0,7870.0,289840.32740626,2294049624.405114
2023-03-07 09:00:00,7880.0,8000.0,7665.0,7790.0,272170.97340201,2128664430.3835502
2023-03-08 09:00:00,7790.0,7900.0,7400.0,7480.0,376995.04794712,2865879162.791409
2023-03-09 09:00:00,7480.0,7750.0,7160.0,7280.0,371043.2096017,2770380449.556081
2023-03-10 09:00:00,7300.0,7555.0,7025.0,7525.0,436410.22672791,3184192746.2015653
2023-03-11 09:00:00,7535.0,7695.0,7135.0,7395.0,340651.16331522,2513742977.868174
2023-03-12 09:00:00,7405.0,7820.0,7200.0,7815.0,283171.94201733,2125118345.421054
2023-03-13 09:00:00,7820.0,8080.0,7585.0,8020.0,827924.93311749,6525983527.176889
2023-03-14 09:00:00,8020.0,8545.0,7840.0,8195.0,902445.47805487,7397414974.162194
2023-03-15 09:00:00,8195.0,8395.0,7775.0,7860.0,526875.19815243,4282589476.0411096
2023-03-16 09:00:00,7875.0,8160.0,7725.0,8120.0,299915.99576698,2400642115.4518867
2023-03-17 09:00:00,8120.0,8755.0,8065.0,8750.0,591279.43837224,5015757953.573773
2023-03-18 09:00:00,8745.0,8865.0,8365.0,8390.0,578795.83026958,5031567866.761691
2023-03-19 09:00:00,8400.0,8715.0,8385.0,8585.0,294923.14080295,2525951430.8011794
2023-03-20 09:00:00,8595.0,8635.0,8155.0,8180.0,517603.18178374,4373077549.101017
2023-03-21 09:00:00,8185.0,8540.0,7985.0,8420.0,716020.09986482,5925724629.079112
2023-03-22 09:00:00,8420.0,8460.0,7930.0,8070.0,659526.30756722,5464881428.60127
2023-03-23 09:00:00,8085.0,8370.0,7965.0,8330.0,303004.61658155,2477645486.409785
2023-03-24 09:00:00,8320.0,8420.0,8005.0,8065.0,274769.56623898,2249992675.094599
2023-03-25 09:00:00,8070.0,8100.0,7850.0,7900.0,230787.4250027,1846342314.2572148
2023-03-26 09:00:00,7900.0,8110.0,7860.0,8015.0,158709.73967527,1271014248.3401048
2023-03-27 09:00:00,8035.0,8115.0,7675.0,7810.0,569511.03957224,4522679013.607058
2023-03-28 09:00:00,7825.0,8045.0,7665.0,7995.0,263790.89779889,2066179807.4469013
2023-03-29 09:00:00,8015.0,8290.0,8000.0,8170.0,486269.31941131,3973487764.2171617
2023-03-30 09:00:00,8170.0,8285.0,8010.0,8100.0,384856.29082732,3133874007.4567046
2023-03-31 09:00:00,8100.0,8490.0,8085.0,8370.0,499560.08056338,4134341592.21781
2023-04-01 09:00:00,8370.0,8425.0,8220.0,8380.0,401332.5610294,3343707037.8390408
2023-04-02 09:00:00,8380.0,8525.0,8205.0,8290.0,533377.25100259,4475585773.133604
2023-04-03 09:00:00,8290.0,8575.0,8125.0,8510.0,560702.07450558,4687117614.514756
2023-04-04 09:00:00,8505.0,8630.0,8430.0,8500.0,403381.40645707,3438450400.152575
2023-04-05 09:00:00,8500.0,8650.0,8390.0,8455.0,406959.52353538,3472071583.6511455
2023-04-06 09:00:00,8455.0,8480.0,8295.0,8310.0,412251.36270223,3458407958.7853756
2023-04-07 09:00:00,8320.0,8385.0,8135.0,8200.0,380678.62992887,3131295957.315754
2023-04-08 09:00:00,8200.0,8255.0,8095.0,8145.0,203653.48952713,1663561184.3927898
2023-04-09 09:00:00,8150.0,8260.0,8080.0,8195.0,214241.10055145,1749253398.9040136
2023-04-10 09:00:00,8200.0,8315.0,8085.0,8270.0,248163.44421323,2033342311.183414
2023-04-11 09:00:00,8270.0,8630.0,8270.0,8495.0,856631.24441499,7253000324.962255
2023-04-12 09:00:00,8500.0,8585.0,8245.0,8500.0,709821.75646544,5985741411.194128
2023-04-13 09:00:00,8505.0,8750.0,8430.0,8720.0,492791.95002283,4220687270.5830235
2023-04-14 09:00:00,8720.0,8950.0,8600.0,8790.0,865768.1333948,7627154169.704637
2023-04-15 09:00:00,8790.0,9020.0,8700.0,8945.0,454355.5822279,4022632661.8054976
2023-04-16 09:00:00,8945.0,8980.0,8780.0,8910.0,383447.84853058,3406135367.473409
2023-04-17 09:00:00,8910.0,8925.0,8710.0,8785.0,369383.22947928,3245005653.2951503
2023-04-18 09:00:00,8805.0,9145.0,8635.0,9005.0,714609.45310338,6428179128.283651
2023-04-19 09:00:00,9005.0,9035.0,8325.0,8410.0,666504.48686037,5758855662.012109
2023-04-20 09:00:00,8395.0,8555.0,8095.0,8155.0,427351.39002767,3568781999.628475
2023-04-21 09:00:00,8145.0,8220.0,7710.0,7805.0,478698.3430123,3821717724.7113266
2023-04-22 09:00:00,7805.0,7985.0,7730.0,7965.0,225671.74500089,1777564830.8295255
