,open,high,low,close,volume,value
2023-01-05 09:00:00,215.0,216.0,210.0,214.0,10390388.66472771,2208022654.9166374
2023-01-06 09:00:00,214.0,229.0,212.0,215.0,55430631.50935823,12188433197.844793
2023-01-07 09:00:00,215.0,217.0,210.0,213.0,13713100.48897323,2924849601.367772
2023-01-08 09:00:00,213.0,213.0,208.0,211.0,10455128.32249063,2199485498.0579133
2023-01-09 09:00:00,211.0,215.0,209.0,213.0,16773275.85601471,3554727843.092685
2023-01-10 09:00:00,211.0,216.0,210.0,214.0,12343299.25109788,2620215054.7594433
2023-01-11 09:00:00,213.0,218.0,212.0,216.0,6341617.86217513,1355917684.9610322
2023-01-12 09:00:00,216.0,217.0,210.0,217.0,8046741.03359382,1715891119.3056147
2023-01-13 09:00:00,216.0,222.0,213.0,221.0,12691575.26799552,2749310777.8558145
2023-01-14 09:00:00,220.0,230.0,217.0,225.0,37976205.48698793,8485888458.322499
2023-01-15 09:00:00,225.0,244.0,220.0,230.0,59518732.3331077,13625282371.979385
2023-01-16 09:00:00,230.0,237.0,220.0,227.0,25135030.49330986,5745609258.707583
2023-01-17 09:00:00,226.0,227.0,222.0,225.0,15797569.9926563,3538366071.917055
2023-01-18 09:00:00,225.0,231.0,215.0,217.0,36252888.80897367,8148510042.321175
2023-01-19 09:00:00,216.0,226.0,215.0,224.0,9256309.62190589,2035581151.1753294
2023-01-20 09:00:00,223.0,233.0,222.0,232.0,13471010.60129247,3053304946.306961
2023-01-21 09:00:00,232.0,232.0,226.0,229.0,18139744.40277196,4158679222.570827
2023-01-22 09:00:00,228.0,231.0,225.0,227.0,9141359.02076159,2079190217.9326138
2023-01-23 09:00:00,227.0,229.0,224.0,229.0,8564553.48274778,1934238857.1584208
2023-01-24 09:00:00,228.0,234.0,221.0,223.0,25158000.82620272,5771847580.050335
2023-01-25 09:00:00,224.0,231.0,214.0,226.0,21279734.90017969,4765849472.049556
2023-01-26 09:00:00,226.0,227.0,222.0,227.0,10332071.4029265,2314602719.5934687
2023-01-27 09:00:00,227.0,260.0,223.0,233.0,99738359.3940006,23662595838.905
2023-01-28 09:00:00,234.0,282.0,233.0,243.0,291787814.6154143,76421237172.1868
2023-01-29 09:00:00,243.0,243.0,233.0,238.0,23077529.97636625,5441193129.95614
2023-01-30 09:00:00,237.0,238.0,219.0,223.0,15821074.86574404,3614083337.426734
2023-01-31 09:00:00,223.0,224.0,218.0,224.0,9502970.41834291,2099583775.3873134
2023-02-01 09:00:00,223.0,232.0,217.0,230.0,10832823.85669134,2427577727.5986295
2023-02-02 09:00:00,230.0,234.0,228.0,232.0,9745628.99416237,2254403067.61365
2023-02-03 09:00:00,232.0,241.0,230.0,240.0,12558261.48846472,2959903701.8608994
2023-02-04 09:00:00,240.0,258.0,238.0,254.0,47279060.63938819,11665141706.949179
2023-02-05 09:00:00,253.0,272.0,233.0,247.0,80128554.31084381,20612672435.257996
2023-02-06 09:00:00,247.0,249.0,242.0,248.0,13061545.47107027,3203216649.614584
2023-02-07 09:00:00,248.0,258.0,240.0,258.0,11725989.55071692,2911454047.0931563
2023-02-08 09:00:00,258.0,278.0,252.0,262.0,40903838.71875783,10862732739.332638
2023-02-09 09:00:00,262.0,299.0,246.0,280.0,72176933.4225186,19852899433.082157
2023-02-10 09:00:00,280.0,327.0,260.0,292.0,146799295.12674862,43593029382.27292
2023-02-11 09:00:00,292.0,314.0,284.0,290.0,67448452.83445875,20246111502.499813
2023-02-12 09:00:00,290.0,290.0,277.0,281.0,12668307.05508723,3575471377.3093286
2023-02-13 09:00:00,280.0,318.0,275.0,294.0,142328640.77101633,42231854368.86052
2023-02-14 09:00:00,294.0,307.0,286.0,298.0,43548574.48619886,12933310895.738546
2023-02-15 09:00:00,298.0,313.0,289.0,308.0,27080166.76925131,8050678199.720871
2023-02-16 09:00:00,308.0,310.0,294.0,297.0,25693396.43685044,7815164167.921876
2023-02-17 09:00:00,297.0,311.0,294.0,310.0,10716378.48637821,3235352326.3034725
2023-02-18 09:00:00,309.0,317.0,307.0,311.0,14573289.13422765,4558030969.147073
2023-02-19 09:00:00,311.0,315.0,307.0,312.0,7881927.60154063,2448066027.9881625
2023-02-20 09:00:00,311.0,331.0,302.0,327.0,29392650.13336623,9340299570.529488
2023-02-21 09:00:00,324.0,339.0,311.0,338.0,21414761.74128681,6920744859.9262295
2023-02-22 09:00:00,337.0,380.0,321.0,343.0,78685595.18971771,27506924346.699497
2023-02-23 09:00:00,342.0,358.0,334.0,357.0,15208137.23965587,5235262890.358683
2023-02-24 09:00:00,355.0,377.0,347.0,365.0,25762135.86955331,9168002093.122416
2023-02-25 09:00:00,366.0,445.0,355.0,393.0,301147295.3760838,121161175353.85794
2023-02-26 09:00:00,392.0,396.0,368.0,375.0,50657834.73149999,19150372266.831657
2023-02-27 09:00:00,374.0,375.0,355.0,360.0,19186368.93324792,6940179418.070686
2023-02-28 09:00:00,359.0,386.0,357.0,383.0,37907389.75890638,14104544336.924458
