,open,high,low,close,volume,value
2023-01-05 09:00:00,321.0,329.0,315.0,321.0,5842529.87942529,1885941009.714803
2023-01-06 09:00:00,322.0,327.0,313.0,325.0,4962001.79994026,1580017560.6605215
2023-01-07 09:00:00,325.0,346.0,323.0,333.0,14993976.58142106,5042791630.44358
2023-01-08 09:00:00,333.0,354.0,325.0,350.0,7658958.88533128,2583119270.0551753
2023-01-09 09:00:00,350.0,391.0,349.0,365.0,16583928.47004536,6092226040.812353
2023-01-10 09:00:00,367.0,382.0,356.0,366.0,6638948.17406198,2426798938.8684444
2023-01-11 09:00:00,366.0,378.0,356.0,377.0,4406861.24875215,1608591287.9485245
2023-01-12 09:00:00,377.0,384.0,365.0,381.0,5939880.05359907,2233149387.264793
2023-01-13 09:00:00,381.0,427.0,375.0,417.0,20737373.84549484,8305781184.0462475
2023-01-14 09:00:00,417.0,452.0,397.0,434.0,33127661.10076562,14200800738.604395
2023-01-15 09:00:00,434.0,452.0,410.0,446.0,19981868.7776211,8622968880.496506
2023-01-16 09:00:00,446.0,480.0,431.0,448.0,22957628.67516233,10493502364.023176
2023-01-17 09:00:00,449.0,470.0,435.0,447.0,14986386.25254739,6802857624.062505
2023-01-18 09:00:00,447.0,537.0,447.0,451.0,157810867.64095008,78605583946.68547
2023-01-19 09:00:00,452.0,579.0,437.0,511.0,233071117.8626587,124142144256.00526
2023-01-20 09:00:00,512.0,548.0,504.0,538.0,86775280.20677595,45696732140.49263
2023-01-21 09:00:00,538.0,565.0,517.0,542.0,41728312.84772956,22743632515.545513
2023-01-22 09:00:00,543.0,569.0,520.0,542.0,26125815.75031613,14264804057.575792
2023-01-23 09:00:00,542.0,564.0,530.0,540.0,22303963.15367444,12183064248.272629
2023-01-24 09:00:00,539.0,561.0,481.0,505.0,27878938.22068107,15016424332.54074
2023-01-25 09:00:00,504.0,536.0,490.0,531.0,15146178.78295734,7689223398.973013
2023-01-26 09:00:00,532.0,540.0,514.0,525.0,9216140.87960876,4852469932.435934
2023-01-27 09:00:00,525.0,534.0,504.0,533.0,10395279.08931171,5368242357.987743
2023-01-28 09:00:00,533.0,673.0,532.0,582.0,203286672.6593478,121338616654.90765
