,open,high,low,close,volume,value
2023-01-05 09:00:00,1160.0,1170.0,1130.0,1145.0,3277149.1106402,3766646884.414208
2023-01-06 09:00:00,1140.0,1155.0,1110.0,1140.0,2769273.78796619,3122401115.4132433
2023-01-07 09:00:00,1140.0,1145.0,1125.0,1130.0,1827481.03297765,2078019860.3151305
2023-01-08 09:00:00,1135.0,1155.0,1120.0,1155.0,2193731.56911639,2488578362.419183
2023-01-09 09:00:00,1155.0,1195.0,1150.0,1180.0,6201008.64246947,7313276854.691965
2023-01-10 09:00:00,1175.0,1205.0,1165.0,1190.0,5075197.4089321,6041679307.965223
2023-01-11 09:00:00,1190.0,1245.0,1180.0,1225.0,7423818.07844561,8903438690.73848
2023-01-12 09:00:00,1220.0,1250.0,1180.0,1240.0,8804836.14549618,10743721138.846365
2023-01-13 09:00:00,1240.0,1270.0,1215.0,1265.0,8570364.97514839,10624732040.857946
2023-01-14 09:00:00,1260.0,1340.0,1245.0,1305.0,18440892.19611037,23918572007.39886
2023-01-15 09:00:00,1300.0,1355.0,1275.0,1315.0,10214423.65209589,13421445393.699875
2023-01-16 09:00:00,1315.0,1340.0,1260.0,1290.0,8953618.91225882,11614921767.767649
2023-01-17 09:00:00,1290.0,1305.0,1270.0,1275.0,6762141.06491865,8705831303.502554
2023-01-18 09:00:00,1275.0,1300.0,1190.0,1195.0,12075692.42234307,15053970449.99717
2023-01-19 09:00:00,1195.0,1220.0,1190.0,1220.0,7194302.65523372,8694418207.00068
2023-01-20 09:00:00,1220.0,1300.0,1205.0,1295.0,8145420.50903572,10140964885.321377
2023-01-21 09:00:00,1295.0,1325.0,1280.0,1280.0,10648659.10983705,13834137742.851498
2023-01-22 09:00:00,1285.0,1405.0,1280.0,1355.0,19460710.56622742,26274268919.232967
2023-01-23 09:00:00,1355.0,1400.0,1330.0,1365.0,10533352.33244458,14378167653.483591
2023-01-24 09:00:00,1365.0,1405.0,1280.0,1295.0,13143633.24147754,17855389317.25621
2023-01-25 09:00:00,1300.0,1405.0,1270.0,1360.0,20241671.84704449,27238690692.839012
2023-01-26 09:00:00,1360.0,1385.0,1335.0,1370.0,9733045.19760221,13289482518.521988
2023-01-27 09:00:00,1365.0,1425.0,1350.0,1395.0,14207423.97024362,19694202428.252003
2023-01-28 09:00:00,1395.0,1410.0,1350.0,1380.0,4823074.43851946,6671667445.243042
