,open,high,low,close,volume,value
2023-02-06 09:00:00,2058000.0,2106000.0,2035000.0,2070000.0,23958.11129238,49605827487.33629
2023-02-07 09:00:00,2070000.0,2121000.0,2067000.0,2116000.0,26775.07269888,56000556753.14311
2023-02-08 09:00:00,2116000.0,2141000.0,2083000.0,2105000.0,24319.28089463,51495885230.20758
2023-02-09 09:00:00,2105000.0,2113000.0,1987000.0,1997500.0,38116.9182666,78344847803.19926
2023-02-10 09:00:00,1997500.0,2007000.0,1942500.0,1968500.0,30826.68228942,61127213671.06335
2023-02-11 09:00:00,1969000.0,1998500.0,1962000.0,1996500.0,11283.77242243,22305340742.64103
2023-02-12 09:00:00,1996500.0,1999000.0,1947000.0,1965500.0,12255.51122468,24266147372.396595
2023-02-13 09:00:00,1965500.0,1977000.0,1908000.0,1957500.0,24013.81481564,46633800930.54544
2023-02-14 09:00:00,1958500.0,2022000.0,1926500.0,2016000.0,30715.37434156,60635709161.76563
2023-02-15 09:00:00,2015000.0,2161000.0,2002000.0,2148000.0,40171.95514925,83286531918.26604
2023-02-16 09:00:00,2148000.0,2238000.0,2109000.0,2119000.0,46336.61980939,100552490964.02802
2023-02-17 09:00:00,2119000.0,2211000.0,2110000.0,2182000.0,28593.91282163,61908380961.2939
2023-02-18 09:00:00,2182000.0,2203000.0,2171000.0,2183000.0,12752.74176602,27908690176.67296
2023-02-19 09:00:00,2183000.0,2215000.0,2165000.0,2176000.0,17396.48168394,38098068319.39229
2023-02-20 09:00:00,2173000.0,2211000.0,2144000.0,2187000.0,23634.93365643,51633125983.1783
2023-02-21 09:00:00,2185000.0,2213000.0,2134000.0,2153000.0,25780.5372663,56213801407.57452
2023-02-22 09:00:00,2153000.0,2166000.0,2095000.0,2151000.0,21781.47976324,46441459151.89287
2023-02-23 09:00:00,2151000.0,2182000.0,2132000.0,2164000.0,19451.10183339,42033296911.01125
2023-02-24 09:00:00,2161000.0,2173000.0,2101000.0,2142000.0,20676.0305149,44275240785.93021
2023-02-25 09:00:00,2138000.0,2142000.0,2090000.0,2132000.0,10833.04554015,22965885757.29468
2023-02-26 09:00:00,2132000.0,2184000.0,2113000.0,2178000.0,12162.92540296,26116353592.49711
2023-02-27 09:00:00,2178000.0,2210000.0,2150000.0,2174000.0,20636.19825638,45049190282.63448
2023-02-28 09:00:00,2175000.0,2188000.0,2145000.0,2150000.0,15149.45803341,32821483880.05073
2023-03-01 09:00:00,2153000.0,2200000.0,2135000.0,2194000.0,17948.88144113,39110134338.09386
2023-03-02 09:00:00,2194000.0,2205000.0,2151000.0,2183000.0,17265.46065718,37583631220.48354
2023-03-03 09:00:00,2182000.0,2187000.0,2061000.0,2084000.0,31622.52544171,66313699267.23187
2023-03-04 09:00:00,2085000.0,2104000.0,2082000.0,2092000.0,9649.95960847,20178260037.04875
2023-03-05 09:00:00,2091000.0,2110000.0,2072000.0,2092000.0,10317.26137593,21611792331.45769
2023-03-06 09:00:00,2092000.0,2105000.0,2066000.0,2080000.0,10036.33871283,20922680213.06703
2023-03-07 09:00:00,2080000.0,2106000.0,2049000.0,2077000.0,17959.0162593,37353879945.96744
2023-03-08 09:00:00,2077000.0,2089000.0,2045000.0,2050000.0,14602.47360275,30247476516.23981
2023-03-09 09:00:00,2052000.0,2069000.0,1930000.0,1948000.0,26425.69235116,52960939539.99355
2023-03-10 09:00:00,1948500.0,1949000.0,1870000.0,1936000.0,36619.65255686,69975611209.01907
2023-03-11 09:00:00,1937000.0,1999500.0,1914500.0,1993500.0,33283.89089861,65279230587.72679
2023-03-12 09:00:00,1992000.0,2109000.0,1947500.0,2098000.0,31187.49325864,62961809265.79157
2023-03-13 09:00:00,2096000.0,2218000.0,2070000.0,2200000.0,56367.30900385,121006386299.59698
2023-03-14 09:00:00,2200000.0,2319000.0,2169000.0,2235000.0,65616.34345179,147408428781.20035
2023-03-15 09:00:00,2236000.0,2264000.0,2165000.0,2209000.0,36147.4991288,80169344882.65965
2023-03-16 09:00:00,2209000.0,2250000.0,2185000.0,2230000.0,17760.27360209,39270623765.94247
2023-03-17 09:00:00,2229000.0,2374000.0,2222000.0,2361000.0,44140.65590116,101664427417.937
2023-03-18 09:00:00,2361000.0,2427000.0,2333000.0,2338000.0,34753.80351268,82967752704.11871
2023-03-19 09:00:00,2336000.0,2429000.0,2335000.0,2371000.0,20426.02416302,48560647209.89022
2023-03-20 09:00:00,2371000.0,2393000.0,2317000.0,2328000.0,25048.21222605,59013981074.67851
2023-03-21 09:00:00,2328000.0,2436000.0,2295000.0,2385000.0,34771.89706446,82502999454.80708
2023-03-22 09:00:00,2385000.0,2414000.0,2281000.0,2312000.0,32597.51391096,76888832930.63383
2023-03-23 09:00:00,2312000.0,2427000.0,2280000.0,2390000.0,31298.49369139,73711644114.229
2023-03-24 09:00:00,2392000.0,2403000.0,2322000.0,2344000.0,28578.75911508,67702280973.9379
2023-03-25 09:00:00,2344000.0,2351000.0,2305000.0,2328000.0,10121.52559915,23600892320.09089
2023-03-26 09:00:00,2332000.0,2388000.0,2323000.0,2354000.0,11780.23911254,27745617185.11256
2023-03-27 09:00:00,2356000.0,2374000.0,2256000.0,2287000.0,21506.02939894,49703487167.43179
2023-03-28 09:00:00,2284000.0,2363000.0,2260000.0,2340000.0,20430.38688311,47042685593.18155
2023-03-29 09:00:00,2340000.0,2408000.0,2340000.0,2369000.0,28879.9968053,68691668158.30444
2023-03-30 09:00:00,2367000.0,2406000.0,2345000.0,2377000.0,24965.03109193,59333928509.80594
2023-03-31 09:00:00,2377000.0,2436000.0,2361000.0,2402000.0,26968.73809818,64625137256.40446
2023-04-01 09:00:00,2402000.0,2426000.0,2398000.0,2406000.0,10847.76909492,26162127320.52384
2023-04-02 09:00:00,2406000.0,2409000.0,2355000.0,2375000.0,12746.09523314,30438759882.67649
2023-04-03 09:00:00,2378000.0,2424000.0,2352000.0,2395000.0,19475.72390999,46471924007.31646
2023-04-04 09:00:00,2395000.0,2494000.0,2389000.0,2471000.0,28876.66058731,70625488021.9313
2023-04-05 09:00:00,2471000.0,2550000.0,2461000.0,2516000.0,30301.7991432,76179055041.33327
2023-04-06 09:00:00,2516000.0,2521000.0,2458000.0,2475000.0,20632.75137047,51297914059.56018
