,open,high,low,close,volume,value
2023-02-07 09:00:00,75.7,77.8,72.5,76.1,152788650.63468465,11432169107.65093
2023-02-08 09:00:00,76.0,81.2,75.0,79.2,306198038.081426,24027712701.817787
2023-02-09 09:00:00,79.2,79.2,73.4,74.3,115600776.77094609,8763706996.014944
2023-02-10 09:00:00,74.3,75.5,73.4,75.2,55489342.35074046,4132652098.1040697
2023-02-11 09:00:00,75.2,77.4,74.6,76.0,97517553.05047548,7406122433.107157
2023-02-12 09:00:00,76.1,76.1,73.8,74.0,40393451.92311513,3016472053.204015
2023-02-13 09:00:00,74.0,75.0,67.0,71.3,102915201.08100715,7261496172.758103
2023-02-14 09:00:00,71.3,73.1,66.9,72.7,69856562.49246418,4899681434.029101
2023-02-15 09:00:00,72.6,81.0,71.2,80.4,196337175.9484264,15057388928.475248
2023-02-16 09:00:00,80.4,93.7,78.5,79.5,1125465449.8003814,98033587835.62611
2023-02-17 09:00:00,79.5,98.8,78.2,96.2,2630824242.0581136,246678308888.44464
2023-02-18 09:00:00,96.2,98.9,88.3,91.4,548961270.0390772,51240170661.068924
2023-02-19 09:00:00,91.4,91.4,87.2,87.8,149776839.66490638,13244619144.57061
2023-02-20 09:00:00,87.7,88.4,84.3,87.3,118530375.95007387,10214172157.926182
2023-02-21 09:00:00,87.3,89.9,84.8,87.4,247225941.37013164,21707690268.629074
2023-02-22 09:00:00,87.3,103.0,84.4,94.5,1877629873.8922238,179276502914.9415
2023-02-23 09:00:00,94.4,99.3,92.7,97.8,592040567.9191319,57367110580.3437
2023-02-24 09:00:00,97.9,136.0,97.9,102.0,2421606533.768478,288969752080.1398
2023-02-25 09:00:00,102.0,102.0,89.7,92.4,302789467.68730265,28521186773.146423
2023-02-26 09:00:00,92.4,93.1,88.5,91.8,80093228.02276672,7237939311.881788
2023-02-27 09:00:00,91.7,92.2,89.2,90.5,62245211.81402921,5618286642.363684
2023-02-28 09:00:00,90.5,107.0,89.8,93.7,842483043.4234076,83552588255.2804
2023-03-01 09:00:00,93.6,94.1,90.5,91.7,141743927.42676678,12975433904.791533
2023-03-02 09:00:00,91.7,92.6,85.0,88.1,109847879.71251124,9619603519.322138
2023-03-03 09:00:00,88.1,92.1,83.4,86.9,275236069.7088524,24115163798.289692
2023-03-04 09:00:00,86.9,92.7,85.7,88.2,292073522.7807134,26355011940.313965
2023-03-05 09:00:00,88.5,88.5,84.8,87.0,59319379.97720384,5147259739.672641
2023-03-06 09:00:00,87.0,90.4,81.5,84.5,107344512.7390005,9273555880.174406
