,open,high,low,close,volume,value
2023-01-05 09:00:00,2620.0,2620.0,2555.0,2605.0,501288.48573678,1299472902.9186466
2023-01-06 09:00:00,2610.0,2610.0,2500.0,2575.0,400476.96592109,1021252240.604506
2023-01-07 09:00:00,2565.0,2585.0,2550.0,2580.0,158143.3864918,406560879.1858796
2023-01-08 09:00:00,2575.0,2620.0,2560.0,2620.0,393781.30408084,1017843096.024082
2023-01-09 09:00:00,2620.0,2705.0,2600.0,2695.0,888787.91748756,2353795396.633862
2023-01-10 09:00:00,2700.0,2745.0,2630.0,2735.0,1105769.70949403,2972069074.5723934
2023-01-11 09:00:00,2735.0,2815.0,2700.0,2800.0,1562867.23135256,4301574450.0216055
2023-01-12 09:00:00,2800.0,2830.0,2680.0,2815.0,1667300.95300026,4597633664.821158
2023-01-13 09:00:00,2815.0,2890.0,2750.0,2875.0,1178729.815658,3320554740.424482
2023-01-14 09:00:00,2875.0,3020.0,2780.0,2950.0,3701074.28217082,10749778651.074675
2023-01-15 09:00:00,2950.0,3220.0,2870.0,3030.0,6384754.95423246,19237860054.500004
2023-01-16 09:00:00,3020.0,3040.0,2880.0,3025.0,1986354.82005892,5898215561.804118
2023-01-17 09:00:00,3025.0,3070.0,2930.0,3035.0,1841480.13033737,5506140835.509786
2023-01-18 09:00:00,3040.0,3200.0,2850.0,2970.0,5311791.62771012,16223988486.7119
2023-01-19 09:00:00,2970.0,3070.0,2905.0,3065.0,1406654.03586291,4180690735.619148
2023-01-20 09:00:00,3065.0,3205.0,2980.0,3200.0,1686658.06504195,5164922980.122863
2023-01-21 09:00:00,3170.0,3985.0,3090.0,3290.0,33887774.78468697,119425289072.57364
2023-01-22 09:00:00,3295.0,3300.0,3190.0,3235.0,3596342.2354834,11627373462.420986
2023-01-23 09:00:00,3235.0,3250.0,3155.0,3250.0,2233967.2898067,7154320470.652718
2023-01-24 09:00:00,3250.0,3325.0,3040.0,3125.0,3928986.63177484,12655812565.644016
2023-01-25 09:00:00,3125.0,3265.0,3000.0,3190.0,3381543.00937147,10551950167.099447
2023-01-26 09:00:00,3190.0,3240.0,3125.0,3195.0,2260961.68050395,7167812148.2549095
2023-01-27 09:00:00,3195.0,3360.0,3105.0,3295.0,5656145.47683618,18334936167.508076
2023-01-28 09:00:00,3295.0,3295.0,3170.0,3260.0,1189404.68291896,3857461866.5053363
2023-01-29 09:00:00,3255.0,3280.0,3190.0,3270.0,948103.32843521,3062089558.621891
2023-01-30 09:00:00,3270.0,3375.0,3015.0,3075.0,5304739.24798219,17171980682.027386
2023-01-31 09:00:00,3075.0,3110.0,2985.0,3100.0,862649.72726105,2624779148.6555324
2023-02-01 09:00:00,3095.0,3155.0,2965.0,3150.0,1251939.2643612,3838464104.2676034
2023-02-02 09:00:00,3150.0,3260.0,3130.0,3215.0,1656768.02881012,5276529404.080708
2023-02-03 09:00:00,3225.0,3310.0,3170.0,3310.0,2040556.49950211,6597870441.6585455
2023-02-04 09:00:00,3310.0,3475.0,3255.0,3455.0,3021766.16367427,10095447889.578894
2023-02-05 09:00:00,3460.0,3965.0,3160.0,3370.0,26390959.10246185,95494756495.99673
2023-02-06 09:00:00,3370.0,3880.0,3320.0,3450.0,18433507.92357612,65976827277.371346
2023-02-07 09:00:00,3440.0,3450.0,3265.0,3385.0,2660334.21322881,8875155809.432299
2023-02-08 09:00:00,3390.0,3450.0,3310.0,3445.0,2032530.23097123,6874556194.974053
2023-02-09 09:00:00,3440.0,7420.0,3275.0,4970.0,127049454.29424226,658009852701.9236
