,open,high,low,close,volume,value
2023-01-05 09:00:00,236.0,237.0,231.0,235.0,4028018.49154936,944624514.5841068
2023-01-06 09:00:00,235.0,236.0,227.0,234.0,5912238.63410053,1370035203.8123531
2023-01-07 09:00:00,235.0,238.0,232.0,235.0,2687051.20781399,629874673.964156
2023-01-08 09:00:00,234.0,239.0,232.0,238.0,3378642.79675694,795166223.8089656
2023-01-09 09:00:00,238.0,248.0,238.0,243.0,13227504.56428225,3205476336.8360314
2023-01-10 09:00:00,242.0,255.0,241.0,250.0,16364809.90287805,4034739168.7793865
2023-01-11 09:00:00,249.0,254.0,246.0,252.0,8888559.45515354,2214265476.9284105
2023-01-12 09:00:00,252.0,257.0,246.0,256.0,9281160.91807862,2330769606.7200565
2023-01-13 09:00:00,255.0,265.0,251.0,265.0,10812535.75015953,2792612792.288839
2023-01-14 09:00:00,264.0,280.0,252.0,275.0,19359846.49907818,5232243839.754613
2023-01-15 09:00:00,275.0,330.0,266.0,280.0,109913252.51536198,32234436309.973858
2023-01-16 09:00:00,280.0,297.0,269.0,284.0,49269722.5356701,14022759304.583134
2023-01-17 09:00:00,284.0,286.0,275.0,280.0,18313948.6254104,5128498944.831275
2023-01-18 09:00:00,280.0,321.0,261.0,262.0,238592979.15302777,71190280742.26807
2023-01-19 09:00:00,261.0,286.0,259.0,274.0,42200770.18777726,11484229615.441124
2023-01-20 09:00:00,273.0,287.0,269.0,286.0,13234802.79515712,3647312318.336193
2023-01-21 09:00:00,286.0,296.0,280.0,287.0,21595673.98680306,6213450417.694044
2023-01-22 09:00:00,287.0,291.0,283.0,288.0,10454551.98775933,2999838588.736812
2023-01-23 09:00:00,288.0,296.0,285.0,296.0,13846366.70660696,4011045930.322317
2023-01-24 09:00:00,296.0,317.0,276.0,286.0,58064985.57690342,17441729704.701305
2023-01-25 09:00:00,286.0,302.0,276.0,298.0,30099819.88155054,8760386946.7433
2023-01-26 09:00:00,298.0,302.0,291.0,299.0,16771861.58353131,4951489129.88417
2023-01-27 09:00:00,299.0,330.0,293.0,311.0,146401829.33659643,45760304129.98598
2023-01-28 09:00:00,312.0,331.0,298.0,313.0,68228688.29189235,21796674687.57067
2023-01-29 09:00:00,313.0,313.0,304.0,313.0,9359135.50777148,2890722982.435647
2023-01-30 09:00:00,314.0,314.0,285.0,293.0,11794026.83682,3527088350.6506
2023-01-31 09:00:00,292.0,295.0,284.0,295.0,6384160.66161034,1849337534.708647
2023-02-01 09:00:00,295.0,301.0,280.0,301.0,10323588.57808652,2996849925.8050866
2023-02-02 09:00:00,301.0,310.0,299.0,308.0,16246245.30375889,4947151454.885192
2023-02-03 09:00:00,308.0,320.0,303.0,318.0,24459888.58805567,7621130391.33767
2023-02-04 09:00:00,319.0,342.0,318.0,338.0,77979173.58832568,25831103258.935738
2023-02-05 09:00:00,338.0,404.0,309.0,325.0,217127899.94380718,77011887574.1758
2023-02-06 09:00:00,325.0,333.0,317.0,326.0,36313043.73546924,11850943793.687244
