,open,high,low,close,volume,value
2023-02-07 09:00:00,661.0,702.0,652.0,699.0,47014060.74761946,31643360824.461468
2023-02-08 09:00:00,700.0,728.0,671.0,690.0,70993639.90167284,50031156588.58423
2023-02-09 09:00:00,689.0,715.0,616.0,627.0,54533518.66676427,36643175871.44012
2023-02-10 09:00:00,626.0,635.0,586.0,623.0,26992534.28740063,16534829983.022217
2023-02-11 09:00:00,623.0,657.0,618.0,637.0,40571697.06686447,25895433839.035664
2023-02-12 09:00:00,637.0,641.0,607.0,614.0,14069382.93814925,8771257809.155807
2023-02-13 09:00:00,614.0,628.0,555.0,592.0,21318998.52307247,12505425064.15502
2023-02-14 09:00:00,591.0,632.0,565.0,624.0,37934896.55412086,22812237525.9566
2023-02-15 09:00:00,625.0,660.0,606.0,658.0,26055904.6143052,16356913101.160612
2023-02-16 09:00:00,658.0,667.0,617.0,629.0,30728105.59385365,19994140291.58822
2023-02-17 09:00:00,629.0,652.0,623.0,650.0,15118967.71560901,9643884817.079655
2023-02-18 09:00:00,649.0,655.0,631.0,646.0,13563004.21350843,8760809942.625317
2023-02-19 09:00:00,646.0,677.0,640.0,662.0,58781775.51020461,38911963405.07418
2023-02-20 09:00:00,662.0,692.0,650.0,681.0,64594655.20958319,43643257723.30798
2023-02-21 09:00:00,681.0,681.0,641.0,655.0,28075311.34244873,18539633857.332623
2023-02-22 09:00:00,654.0,666.0,618.0,650.0,23654644.57100846,15107021509.948854
2023-02-23 09:00:00,647.0,672.0,630.0,645.0,31225867.29081056,20397093798.724308
2023-02-24 09:00:00,645.0,649.0,620.0,627.0,16353217.84027237,10333541555.441832
2023-02-25 09:00:00,627.0,628.0,594.0,612.0,10212086.11268365,6230736828.293256
2023-02-26 09:00:00,612.0,639.0,606.0,619.0,20701195.73275146,12913925379.324863
2023-02-27 09:00:00,619.0,628.0,602.0,610.0,10255087.47413242,6287413114.559242
2023-02-28 09:00:00,610.0,611.0,596.0,600.0,6361620.89062246,3829727368.8155437
2023-03-01 09:00:00,600.0,633.0,599.0,613.0,25629335.56454865,15787522450.926933
2023-03-02 09:00:00,612.0,617.0,528.0,564.0,111184801.43404254,61708994624.53927
2023-03-03 09:00:00,564.0,567.0,514.0,528.0,59233976.99166688,31537767784.769974
2023-03-04 09:00:00,528.0,532.0,481.0,500.0,32322875.90731186,16489155879.758753
2023-03-05 09:00:00,500.0,503.0,486.0,493.0,27828236.26215678,13746742072.101519
2023-03-06 09:00:00,493.0,502.0,469.0,495.0,40227510.89643672,19510264503.332153
2023-03-07 09:00:00,493.0,510.0,457.0,475.0,44627594.98096151,21443049428.848946
2023-03-08 09:00:00,476.0,478.0,436.0,440.0,30306975.40905982,13838102474.790407
2023-03-09 09:00:00,440.0,459.0,409.0,417.0,36040256.33166547,15750489062.34725
2023-03-10 09:00:00,417.0,425.0,386.0,420.0,52244743.53398634,21136811370.642826
2023-03-11 09:00:00,420.0,430.0,395.0,412.0,27532930.95159457,11277622020.348673
2023-03-12 09:00:00,412.0,459.0,393.0,453.0,33055989.64306571,13957491531.772764
2023-03-13 09:00:00,454.0,482.0,441.0,477.0,70099113.10529137,32347574069.736195
2023-03-14 09:00:00,476.0,576.0,462.0,539.0,151823318.06190234,77818258530.95079
2023-03-15 09:00:00,538.0,558.0,479.0,489.0,77617695.97289222,40489267344.96988
2023-03-16 09:00:00,490.0,507.0,473.0,496.0,42312285.37595031,20700675471.521927
2023-03-17 09:00:00,496.0,552.0,489.0,548.0,63681932.51472317,32936204543.77966
2023-03-18 09:00:00,548.0,652.0,548.0,605.0,416376180.77588326,253136737204.0141
2023-03-19 09:00:00,605.0,663.0,577.0,592.0,318419906.2715953,197916407598.39816
2023-03-20 09:00:00,591.0,599.0,547.0,558.0,74167695.93932635,42631753301.727356
2023-03-21 09:00:00,557.0,567.0,513.0,543.0,58039950.54846431,31351726272.816303
2023-03-22 09:00:00,543.0,550.0,498.0,519.0,55157004.63872851,29087999094.133503
2023-03-23 09:00:00,518.0,545.0,506.0,541.0,42711962.15892109,22358746560.82105
2023-03-24 09:00:00,542.0,544.0,510.0,520.0,28757698.15052297,15188111050.55215
2023-03-25 09:00:00,519.0,522.0,500.0,508.0,18891035.62089017,9657382492.486889
2023-03-26 09:00:00,507.0,525.0,498.0,518.0,23858880.29876159,12274666292.483961
2023-03-27 09:00:00,518.0,521.0,471.0,488.0,34288725.39993316,16951666502.54945
2023-03-28 09:00:00,488.0,499.0,472.0,499.0,23836081.52118756,11521283556.379173
2023-03-29 09:00:00,499.0,524.0,494.0,522.0,40074386.52337738,20558413537.054867
2023-03-30 09:00:00,521.0,538.0,500.0,511.0,43042392.24295835,22150612404.723423
2023-03-31 09:00:00,510.0,523.0,497.0,520.0,26886631.63644282,13695689575.061659
2023-04-01 09:00:00,519.0,533.0,511.0,525.0,37846779.4423623,19697578549.76005
2023-04-02 09:00:00,525.0,529.0,497.0,506.0,23513878.25009634,12044021623.619232
2023-04-03 09:00:00,506.0,508.0,490.0,500.0,22515354.17756398,11218815439.267118
2023-04-04 09:00:00,500.0,505.0,492.0,502.0,18472966.13916639,9221186892.414307
