,open,high,low,close,volume,value
2023-02-07 09:00:00,528.0,528.0,506.0,524.0,10093599.38703849,5183568434.743629
2023-02-08 09:00:00,523.0,526.0,513.0,524.0,8092526.86963438,4217458506.9667053
2023-02-09 09:00:00,523.0,568.0,496.0,510.0,61182953.00362656,32721262738.209743
2023-02-10 09:00:00,511.0,545.0,488.0,539.0,22790157.11788557,11906082595.01221
2023-02-11 09:00:00,539.0,549.0,521.0,547.0,7437746.19377631,3965366312.6261563
2023-02-12 09:00:00,547.0,548.0,531.0,536.0,6168220.58829085,3319592792.5050154
2023-02-13 09:00:00,536.0,536.0,502.0,533.0,7258786.66494309,3774430664.439394
2023-02-14 09:00:00,532.0,569.0,512.0,555.0,22565902.09208588,12273366976.537073
2023-02-15 09:00:00,555.0,871.0,548.0,615.0,384320902.78650874,258323473755.38364
2023-02-16 09:00:00,615.0,638.0,576.0,581.0,70493711.6572097,42923859347.102844
2023-02-17 09:00:00,581.0,598.0,574.0,597.0,14982335.6426118,8777678151.152554
2023-02-18 09:00:00,597.0,599.0,581.0,595.0,10005190.67300251,5916830634.801949
2023-02-19 09:00:00,596.0,620.0,593.0,610.0,27225143.98858231,16513303802.884315
2023-02-20 09:00:00,610.0,615.0,590.0,615.0,14248011.48117592,8618096994.467464
2023-02-21 09:00:00,615.0,629.0,588.0,602.0,21779368.65234127,13257056639.937656
2023-02-22 09:00:00,602.0,603.0,567.0,594.0,9426647.42373621,5473042064.630669
2023-02-23 09:00:00,594.0,595.0,577.0,593.0,5177273.91667842,3032494583.65528
2023-02-24 09:00:00,593.0,621.0,587.0,611.0,19738819.91773111,11940292767.544436
2023-02-25 09:00:00,611.0,617.0,570.0,597.0,9792864.97067193,5797568168.774261
2023-02-26 09:00:00,596.0,599.0,580.0,597.0,4475242.22839955,2637039538.572977
2023-02-27 09:00:00,596.0,596.0,582.0,596.0,4953414.24826452,2920241280.7235923
2023-02-28 09:00:00,596.0,610.0,586.0,606.0,5582522.50215847,3322089551.80201
2023-03-01 09:00:00,606.0,606.0,592.0,603.0,5920922.35897701,3549518111.80081
2023-03-02 09:00:00,603.0,604.0,566.0,581.0,7405620.38342289,4297830064.632596
2023-03-03 09:00:00,580.0,590.0,548.0,564.0,19694373.89996295,11257226655.873775
2023-03-04 09:00:00,563.0,568.0,554.0,557.0,2709208.07224923,1523057172.187304
2023-03-05 09:00:00,559.0,564.0,550.0,558.0,2173503.85651158,1206400442.3243372
2023-03-06 09:00:00,556.0,557.0,528.0,541.0,3364202.53566751,1813019927.4283903
2023-03-07 09:00:00,541.0,545.0,525.0,533.0,2375423.77695876,1268814355.4417682
2023-03-08 09:00:00,531.0,570.0,510.0,515.0,33536407.04776608,18446913953.08443
2023-03-09 09:00:00,514.0,515.0,484.0,493.0,6298664.51661894,3151849159.4174194
2023-03-10 09:00:00,491.0,498.0,460.0,497.0,5936386.87368885,2831735811.9957085
2023-03-11 09:00:00,495.0,505.0,475.0,490.0,2720404.12105143,1338853736.0391467
2023-03-12 09:00:00,491.0,514.0,470.0,508.0,10639221.13694399,5282723492.675905
2023-03-13 09:00:00,507.0,547.0,493.0,545.0,9616084.57259175,4979142281.164202
2023-03-14 09:00:00,544.0,572.0,525.0,571.0,12054460.45153585,6655604445.74255
2023-03-15 09:00:00,570.0,628.0,559.0,608.0,72483856.82501426,43968475558.4126
2023-03-16 09:00:00,607.0,813.0,574.0,596.0,194969527.43172178,128331082339.13448
2023-03-17 09:00:00,596.0,607.0,578.0,603.0,50859582.73247828,30005807924.450623
2023-03-18 09:00:00,604.0,604.0,576.0,577.0,21255275.99434739,12498857109.741297
2023-03-19 09:00:00,578.0,580.0,558.0,577.0,10376307.93262731,5917993521.586033
2023-03-20 09:00:00,576.0,577.0,556.0,560.0,7512340.43167233,4251509507.6559024
2023-03-21 09:00:00,560.0,598.0,541.0,568.0,52331598.10992021,29988578901.905743
2023-03-22 09:00:00,567.0,567.0,535.0,550.0,6452088.99051656,3568075529.378852
2023-03-23 09:00:00,548.0,558.0,540.0,556.0,3823207.57448487,2096278655.4940057
2023-03-24 09:00:00,557.0,569.0,553.0,559.0,9139232.30043849,5117558663.2334175
2023-03-25 09:00:00,558.0,563.0,553.0,554.0,2851171.87800487,1587658059.64773
2023-03-26 09:00:00,554.0,575.0,553.0,569.0,21782556.44332841,12340548145.133337
2023-03-27 09:00:00,569.0,570.0,524.0,540.0,6306331.74382669,3462078416.870088
2023-03-28 09:00:00,539.0,541.0,518.0,541.0,3979250.91289203,2094161040.7211366
2023-03-29 09:00:00,540.0,563.0,534.0,561.0,4710238.63035541,2584076883.767851
2023-03-30 09:00:00,561.0,584.0,553.0,575.0,19676075.72039459,11205758778.999468
2023-03-31 09:00:00,574.0,578.0,548.0,577.0,8092086.57643285,4562608670.869427
2023-04-01 09:00:00,575.0,588.0,565.0,586.0,6996879.32793974,4024382573.633593
2023-04-02 09:00:00,585.0,587.0,564.0,570.0,5066763.56725414,2899337251.239215
2023-04-03 09:00:00,569.0,570.0,552.0,560.0,4744039.21596946,2652323286.1280804
2023-04-04 09:00:00,560.0,579.0,555.0,576.0,4860641.74569945,2756354188.6848817
2023-04-05 09:00:00,576.0,642.0,576.0,597.0,82878131.19888471,50406194828.107956
2023-04-06 09:00:00,597.0,598.0,572.0,588.0,12055490.46486101,7015215809.871868
2023-04-07 09:00:00,589.0,638.0,568.0,582.0,72356683.28399469,44059404558.353905
2023-04-08 09:00:00,582.0,585.0,568.0,575.0,4489531.72167137,2577501564.8254423
2023-04-09 09:00:00,574.0,593.0,562.0,578.0,7242146.09789518,4190356905.6683855
2023-04-10 09:00:00,578.0,584.0,563.0,578.0,3913444.47244402,2235564896.2314763
2023-04-11 09:00:00,578.0,590.0,571.0,589.0,3843414.24637416,2233292507.853648
2023-04-12 09:00:00,588.0,591.0,570.0,577.0,4507967.2606179,2607867288.4588404
2023-04-13 09:00:00,577.0,588.0,574.0,587.0,3032359.68317462,1760456406.3052363
2023-04-14 09:00:00,588.0,589.0,578.0,586.0,4644486.59523,2716649518.53696
2023-04-15 09:00:00,586.0,589.0,583.0,588.0,2202344.71338575,1290025852.225711
2023-04-16 09:00:00,587.0,597.0,585.0,591.0,5497039.2604864,3250236622.567513
2023-04-17 09:00:00,591.0,592.0,576.0,582.0,5488845.09733252,3202497045.1298203
2023-04-18 09:00:00,582.0,590.0,576.0,589.0,2939866.00514422,1714673574.9188268
2023-04-19 09:00:00,588.0,590.0,543.0,555.0,4530083.19356487,2572000342.5101776
2023-04-20 09:00:00,555.0,580.0,544.0,576.0,8004049.68432075,4537126034.960492
