,open,high,low,close,volume,value
2023-02-07 09:00:00,86.7,102.0,86.7,94.8,535366067.43888587,51222186798.26269
2023-02-08 09:00:00,94.6,101.0,92.3,96.0,204892669.4986016,19835991679.425472
2023-02-09 09:00:00,95.9,97.3,88.0,92.6,113043199.19388212,10389973634.080538
2023-02-10 09:00:00,92.6,102.0,91.9,99.2,328142450.6884982,32008994746.630623
2023-02-11 09:00:00,99.3,119.0,98.6,115.0,569969680.886323,63312209832.980064
2023-02-12 09:00:00,114.0,128.0,111.0,113.0,519140498.92960286,62354513344.591835
2023-02-13 09:00:00,112.0,115.0,102.0,111.0,201869280.07240063,21916372732.14137
2023-02-14 09:00:00,111.0,118.0,109.0,114.0,244279792.00102234,27605618731.684692
2023-02-15 09:00:00,114.0,119.0,109.0,117.0,117345217.34506863,13311942462.34834
2023-02-16 09:00:00,118.0,119.0,107.0,109.0,108133957.13150004,12381639403.62621
2023-02-17 09:00:00,109.0,113.0,108.0,110.0,61695383.81160735,6847104847.142449
2023-02-18 09:00:00,110.0,112.0,109.0,112.0,38133900.24686348,4215588191.05593
2023-02-19 09:00:00,111.0,119.0,111.0,114.0,84087344.207642,9708566206.179989
2023-02-20 09:00:00,114.0,115.0,110.0,112.0,62209343.95559299,7001057368.251519
2023-02-21 09:00:00,111.0,112.0,105.0,107.0,61361349.54739756,6686640425.511853
2023-02-22 09:00:00,107.0,108.0,102.0,108.0,61172260.47810488,6447165933.546804
2023-02-23 09:00:00,108.0,109.0,104.0,107.0,36243201.97208958,3864259543.7839923
2023-02-24 09:00:00,106.0,107.0,100.0,103.0,67768078.17337106,7076939306.617794
2023-02-25 09:00:00,102.0,104.0,97.0,101.0,50393219.65390553,5072288057.790664
2023-02-26 09:00:00,100.0,102.0,98.2,99.6,44117031.91494654,4396668399.094717
2023-02-27 09:00:00,99.5,99.7,94.4,96.3,83284245.64928837,8085441369.709635
2023-02-28 09:00:00,96.2,96.3,91.8,93.1,60387341.39040301,5690098772.565946
2023-03-01 09:00:00,92.9,97.1,91.7,93.2,94997988.69780695,8920128570.212828
2023-03-02 09:00:00,93.4,93.4,88.0,91.4,71884168.02939399,6482897212.307674
2023-03-03 09:00:00,91.4,91.4,83.1,85.0,65612242.28043077,5636803613.121624
2023-03-04 09:00:00,85.1,88.3,83.2,86.2,79691734.16330872,6912350056.095359
2023-03-05 09:00:00,86.2,87.8,85.5,85.8,35769843.5911782,3106371272.148945
2023-03-06 09:00:00,85.8,86.5,83.8,84.9,33949674.97732907,2884406882.2117796
2023-03-07 09:00:00,84.7,86.2,81.6,83.5,32411846.74421793,2727788522.270909
2023-03-08 09:00:00,83.5,84.0,78.9,81.1,36337342.60912815,2970065024.831904
2023-03-09 09:00:00,81.2,82.2,74.3,77.8,68819372.14570515,5403109581.22921
2023-03-10 09:00:00,77.7,80.8,74.0,79.9,109161734.26774459,8423299368.138173
2023-03-11 09:00:00,79.9,83.4,75.8,78.7,76209127.94161129,6125025117.036464
2023-03-12 09:00:00,78.6,82.1,74.8,82.0,35652823.0982648,2792119400.9088674
2023-03-13 09:00:00,82.1,85.8,77.7,85.0,116063694.25531068,9488565496.861914
2023-03-14 09:00:00,85.1,89.2,82.6,87.0,136445102.60116017,11693481673.060295
2023-03-15 09:00:00,87.0,88.3,79.1,80.6,87211848.8540126,7393776816.892779
2023-03-16 09:00:00,80.5,83.6,78.6,81.4,54594476.38205458,4397345174.127939
2023-03-17 09:00:00,81.4,86.3,80.5,86.2,71604896.69489458,5967885335.394144
2023-03-18 09:00:00,86.2,87.8,82.6,83.1,81477935.89033702,6984016500.000237
2023-03-19 09:00:00,83.1,87.5,82.6,86.5,82662407.60670072,7043351413.025806
2023-03-20 09:00:00,86.5,86.6,82.4,82.8,104612382.42886905,8818843888.332916
2023-03-21 09:00:00,82.6,84.9,78.9,84.8,84830620.17433295,7001073070.870253
2023-03-22 09:00:00,84.8,85.3,79.4,80.6,52157410.44949841,4326325431.324914
2023-03-23 09:00:00,80.8,82.9,79.4,82.2,39884912.32414775,3225485675.0690193
2023-03-24 09:00:00,82.2,82.3,79.6,80.4,31568719.45722638,2555362533.4702554
