,open,high,low,close,volume,value
2023-01-05 09:00:00,574.0,575.0,553.0,564.0,11124499.53198679,6275088415.414894
2023-01-06 09:00:00,563.0,564.0,531.0,553.0,9305043.18488572,5089975336.5375805
2023-01-07 09:00:00,554.0,565.0,546.0,554.0,6689869.13592455,3710818019.61413
2023-01-08 09:00:00,553.0,560.0,546.0,558.0,4816319.04558768,2658167821.549114
2023-01-09 09:00:00,557.0,571.0,553.0,568.0,11781960.12103637,6634819008.584731
2023-01-10 09:00:00,568.0,576.0,551.0,576.0,9759932.43907151,5529833254.002883
2023-01-11 09:00:00,576.0,667.0,571.0,615.0,139478843.84914896,87219600585.77815
2023-01-12 09:00:00,614.0,705.0,606.0,635.0,133891507.78048362,87968183438.45895
2023-01-13 09:00:00,636.0,648.0,620.0,642.0,25058203.42518093,15894283938.831095
2023-01-14 09:00:00,642.0,673.0,613.0,653.0,57477729.57860318,36984114102.687546
2023-01-15 09:00:00,653.0,680.0,633.0,659.0,45511352.25960744,29806759775.072308
2023-01-16 09:00:00,660.0,677.0,622.0,646.0,24142572.79974275,15660446712.276861
2023-01-17 09:00:00,646.0,646.0,628.0,646.0,12169302.46729966,7741493618.65993
2023-01-18 09:00:00,645.0,654.0,589.0,603.0,22394825.17800346,14068960832.601814
2023-01-19 09:00:00,605.0,622.0,596.0,622.0,10873580.28698688,6605264514.990317
2023-01-20 09:00:00,623.0,646.0,605.0,645.0,12203699.08185987,7601339754.791721
2023-01-21 09:00:00,645.0,648.0,627.0,640.0,18040056.21951449,11530516454.101349
2023-01-22 09:00:00,640.0,644.0,610.0,639.0,11932107.72916182,7595089959.614223
2023-01-23 09:00:00,639.0,648.0,627.0,648.0,12221691.62495632,7758982216.886472
2023-01-24 09:00:00,647.0,654.0,608.0,619.0,27681992.42245469,17753754116.513016
2023-01-25 09:00:00,620.0,636.0,599.0,630.0,17761482.7947193,10952018841.904913
2023-01-26 09:00:00,629.0,685.0,620.0,637.0,44327503.69439157,28697722221.841618
2023-01-27 09:00:00,637.0,658.0,621.0,651.0,27371338.05001666,17496802628.385105
2023-01-28 09:00:00,650.0,653.0,631.0,645.0,10135473.05820838,6530292999.854138
2023-01-29 09:00:00,646.0,652.0,636.0,652.0,6069500.73919726,3902229057.5818143
2023-01-30 09:00:00,650.0,652.0,598.0,604.0,12483176.91580615,7760046701.293223
2023-01-31 09:00:00,609.0,641.0,604.0,621.0,41890146.56504683,26118748641.479618
2023-02-01 09:00:00,622.0,629.0,590.0,627.0,11671920.38625037,7114439279.213617
2023-02-02 09:00:00,627.0,638.0,619.0,632.0,12240775.05269386,7689611670.906642
2023-02-03 09:00:00,630.0,648.0,622.0,648.0,12457621.39607521,7901965937.631977
2023-02-04 09:00:00,648.0,695.0,646.0,670.0,34789146.94942258,23203176580.86321
2023-02-05 09:00:00,670.0,695.0,609.0,649.0,31027234.53130256,20331529139.529835
2023-02-06 09:00:00,649.0,690.0,621.0,675.0,26399183.132306,17314399948.074516
2023-02-07 09:00:00,675.0,693.0,649.0,681.0,20431736.81461935,13663422796.520197
2023-02-08 09:00:00,681.0,739.0,673.0,731.0,45367634.67909851,32115552615.216717
2023-02-09 09:00:00,731.0,731.0,654.0,663.0,24802856.5835988,17015807998.062689
2023-02-10 09:00:00,661.0,662.0,619.0,651.0,13917248.66086482,8906226529.104162
2023-02-11 09:00:00,651.0,653.0,635.0,650.0,4488189.50892123,2877344514.286993
2023-02-12 09:00:00,648.0,648.0,632.0,634.0,6752208.59220801,4317616625.47389
2023-02-13 09:00:00,633.0,635.0,581.0,608.0,10076023.10715927,6108591973.469519
2023-02-14 09:00:00,607.0,619.0,584.0,617.0,8059987.92690367,4859618573.544679
2023-02-15 09:00:00,616.0,653.0,610.0,650.0,11988892.58647469,7566070113.0046835
2023-02-16 09:00:00,650.0,673.0,630.0,633.0,17241734.02895033,11281757518.518557
2023-02-17 09:00:00,633.0,663.0,628.0,660.0,8590438.49617551,5545116875.483462
2023-02-18 09:00:00,661.0,666.0,644.0,659.0,7333191.36654867,4818601351.490463
2023-02-19 09:00:00,659.0,666.0,646.0,658.0,6604537.91129344,4323912912.379146
2023-02-20 09:00:00,658.0,680.0,647.0,674.0,14004609.55468613,9333518832.252707
2023-02-21 09:00:00,674.0,771.0,652.0,674.0,71240970.78473654,50011726604.22702
2023-02-22 09:00:00,674.0,699.0,641.0,666.0,16984152.09954186,11237456814.775925
