,open,high,low,close,volume,value
2023-01-05 09:00:00,351.0,351.0,339.0,346.0,4574990.65367341,1578508995.169719
2023-01-06 09:00:00,345.0,347.0,322.0,343.0,4257065.24596986,1428727870.0188065
2023-01-07 09:00:00,342.0,345.0,339.0,342.0,1340181.75590259,457450643.52186537
2023-01-08 09:00:00,342.0,350.0,340.0,349.0,1916018.41453045,659873188.8260725
2023-01-09 09:00:00,349.0,366.0,346.0,358.0,8689272.16249801,3090708806.052779
2023-01-10 09:00:00,358.0,393.0,354.0,366.0,27227506.19700155,10033694571.997871
2023-01-11 09:00:00,367.0,396.0,362.0,380.0,43088549.00392451,16318126595.337345
2023-01-12 09:00:00,379.0,390.0,367.0,388.0,14294159.23312249,5394510694.256452
2023-01-13 09:00:00,387.0,403.0,381.0,402.0,14130052.71205803,5501654055.205334
2023-01-14 09:00:00,402.0,435.0,380.0,433.0,35878263.76911811,14751843659.103617
2023-01-15 09:00:00,432.0,495.0,417.0,440.0,78332084.21125591,35291669048.874466
2023-01-16 09:00:00,441.0,495.0,425.0,446.0,54685837.72833331,24867108904.61429
2023-01-17 09:00:00,446.0,453.0,432.0,449.0,12998786.42932276,5749946270.627388
2023-01-18 09:00:00,448.0,579.0,441.0,447.0,267492156.59333894,136374401934.53334
2023-01-19 09:00:00,447.0,459.0,429.0,457.0,28152503.33884144,12469149711.49181
2023-01-20 09:00:00,457.0,477.0,444.0,476.0,16154672.69735012,7384011201.129377
2023-01-21 09:00:00,475.0,485.0,463.0,482.0,19789001.91209672,9414816547.396168
2023-01-22 09:00:00,482.0,495.0,472.0,490.0,15655854.55914392,7528766095.977237
2023-01-23 09:00:00,490.0,498.0,480.0,496.0,11954019.47870945,5832607251.17579
2023-01-24 09:00:00,494.0,510.0,450.0,477.0,34664235.81609702,17175265137.20181
2023-01-25 09:00:00,476.0,492.0,452.0,487.0,23087509.03926908,10970647728.265076
2023-01-26 09:00:00,487.0,494.0,477.0,493.0,14817295.71740716,7173633566.329327
2023-01-27 09:00:00,493.0,548.0,485.0,537.0,142153219.0813976,73517512445.45953
2023-01-28 09:00:00,537.0,538.0,504.0,518.0,22147483.49901985,11486340177.80331
2023-01-29 09:00:00,518.0,530.0,507.0,522.0,17334717.20921548,8968786774.02273
2023-01-30 09:00:00,522.0,522.0,473.0,485.0,23505684.61757952,11666726660.455536
2023-01-31 09:00:00,486.0,494.0,470.0,493.0,6722996.19080943,3234639845.5035615
2023-02-01 09:00:00,493.0,507.0,463.0,503.0,10126273.51346588,4909331378.364969
2023-02-02 09:00:00,502.0,530.0,498.0,521.0,14016987.54536374,7164189541.11429
2023-02-03 09:00:00,521.0,540.0,509.0,538.0,17993696.87743488,9402544862.456907
2023-02-04 09:00:00,538.0,787.0,536.0,654.0,777416389.4407082,562179832750.5994
2023-02-05 09:00:00,653.0,656.0,563.0,592.0,154369463.92116043,94349275956.097
2023-02-06 09:00:00,593.0,603.0,564.0,576.0,22595419.56312909,12992068566.098034
2023-02-07 09:00:00,577.0,585.0,557.0,583.0,11825250.80327714,6719411520.249889
2023-02-08 09:00:00,583.0,584.0,569.0,580.0,11337559.41288387,6530619273.03788
2023-02-09 09:00:00,579.0,594.0,542.0,556.0,28472545.95792893,16192310459.364338
2023-02-10 09:00:00,556.0,573.0,542.0,573.0,10185310.88038985,5662445527.201005
2023-02-11 09:00:00,572.0,573.0,558.0,570.0,5513464.67760634,3107360360.2795696
2023-02-12 09:00:00,569.0,571.0,557.0,560.0,5306334.29518485,2986895869.5795403
2023-02-13 09:00:00,560.0,560.0,518.0,537.0,8331138.97723859,4454898893.025333
2023-02-14 09:00:00,536.0,550.0,515.0,549.0,7115849.86829995,3778546130.509503
2023-02-15 09:00:00,550.0,585.0,544.0,584.0,24866239.41938415,14002951914.747849
2023-02-16 09:00:00,584.0,604.0,557.0,567.0,33293881.53171358,19573954335.0804
2023-02-17 09:00:00,568.0,602.0,560.0,602.0,17024568.58240428,9923047008.161186
2023-02-18 09:00:00,602.0,604.0,581.0,604.0,13728561.40677373,8143715424.675002
2023-02-19 09:00:00,604.0,608.0,585.0,606.0,13760060.97692506,8185961981.051522
2023-02-20 09:00:00,606.0,633.0,589.0,631.0,26496308.99147924,16225995609.857313
2023-02-21 09:00:00,631.0,655.0,598.0,617.0,48480425.93979581,30345977339.966007
2023-02-22 09:00:00,618.0,634.0,590.0,613.0,19070386.68775112,11581685621.755112
2023-02-23 09:00:00,613.0,621.0,597.0,619.0,9767621.44598221,5924436249.153527
2023-02-24 09:00:00,619.0,760.0,611.0,669.0,249939224.86148316,168894796962.38177
2023-02-25 09:00:00,668.0,678.0,602.0,619.0,35560034.22972261,22346734422.828163
2023-02-26 09:00:00,619.0,621.0,602.0,612.0,11177065.87394548,6807348132.891398
