,open,high,low,close,volume,value
2023-01-05 09:00:00,92.8,94.7,89.5,91.2,35419726.56059286,3255733355.430907
2023-01-06 09:00:00,91.2,98.3,90.9,93.3,294567958.020574,27975738333.079548
2023-01-07 09:00:00,93.3,96.1,92.8,93.8,57651359.86866092,5427912485.834595
2023-01-08 09:00:00,93.8,94.4,92.0,94.4,31892846.44261847,2961004306.312699
2023-01-09 09:00:00,94.4,96.8,93.2,95.9,50797907.17521949,4821313444.812877
2023-01-10 09:00:00,95.9,99.2,94.5,97.5,86640717.95969434,8401109203.078577
2023-01-11 09:00:00,97.5,98.3,95.8,98.0,36122909.63384146,3501220190.325179
2023-01-12 09:00:00,98.0,101.0,94.8,101.0,61829942.89082634,6075105569.514151
2023-01-13 09:00:00,101.0,105.0,99.0,104.0,40828645.90735134,4110445983.6480856
2023-01-14 09:00:00,104.0,111.0,101.0,108.0,87077476.54772891,9217284670.73751
2023-01-15 09:00:00,108.0,129.0,105.0,113.0,346943740.11592734,40741004244.17204
2023-01-16 09:00:00,114.0,123.0,113.0,115.0,161362257.25658873,19040142884.694798
2023-01-17 09:00:00,116.0,137.0,113.0,122.0,267179996.43910134,33194126951.236362
2023-01-18 09:00:00,123.0,124.0,110.0,110.0,89757426.92427607,10444094468.264647
2023-01-19 09:00:00,111.0,115.0,109.0,114.0,57543907.99153232,6444732344.066064
2023-01-20 09:00:00,114.0,121.0,112.0,121.0,52524779.16479801,6048340478.4372015
2023-01-21 09:00:00,121.0,127.0,118.0,118.0,70837368.4654867,8584744180.004826
2023-01-22 09:00:00,119.0,124.0,117.0,121.0,57261200.94741072,6881106272.490507
2023-01-23 09:00:00,121.0,124.0,118.0,124.0,37481826.67012129,4518622683.61084
2023-01-24 09:00:00,124.0,138.0,118.0,123.0,258794600.57997945,33681070463.978397
2023-01-25 09:00:00,122.0,127.0,115.0,127.0,80952390.8830864,9826739707.125265
2023-01-26 09:00:00,127.0,143.0,125.0,130.0,187957638.06852937,25092576052.51172
2023-01-27 09:00:00,130.0,133.0,123.0,133.0,61266596.00558199,7832197122.839157
2023-01-28 09:00:00,133.0,133.0,127.0,130.0,30187933.45713068,3937807565.313504
2023-01-29 09:00:00,131.0,135.0,128.0,131.0,56639440.74487839,7441238854.317938
2023-01-30 09:00:00,131.0,132.0,117.0,121.0,55840302.44875012,6931382068.31578
2023-01-31 09:00:00,121.0,124.0,117.0,124.0,19639428.22652901,2360641644.245912
2023-02-01 09:00:00,124.0,127.0,115.0,126.0,46960228.79228646,5646279493.286648
2023-02-02 09:00:00,126.0,130.0,124.0,128.0,50394612.89043638,6404470215.1435175
2023-02-03 09:00:00,128.0,134.0,126.0,134.0,56360718.45603482,7303763770.328379
2023-02-04 09:00:00,133.0,142.0,132.0,140.0,94298430.355529,12970991359.292786
2023-02-05 09:00:00,140.0,154.0,128.0,136.0,180911081.6812224,25496168452.953285
2023-02-06 09:00:00,137.0,149.0,135.0,144.0,106481229.60906257,14978228911.42619
2023-02-07 09:00:00,144.0,144.0,136.0,144.0,51254056.16449555,7143971779.677156
