,open,high,low,close,volume,value
2023-01-05 09:00:00,289.0,292.0,282.0,289.0,4314885.9593276,1237825561.5726378
2023-01-06 09:00:00,289.0,291.0,277.0,288.0,3381843.21597978,957890958.9445385
2023-01-07 09:00:00,288.0,289.0,283.0,288.0,1432090.91059737,409927343.4002673
2023-01-08 09:00:00,287.0,296.0,285.0,294.0,2385240.5717377,690893432.6293523
2023-01-09 09:00:00,295.0,307.0,290.0,302.0,9249272.88818365,2752059296.12716
2023-01-10 09:00:00,301.0,315.0,294.0,306.0,14215675.28951013,4324067001.14661
2023-01-11 09:00:00,306.0,319.0,301.0,317.0,14954318.56347309,4642466749.518119
2023-01-12 09:00:00,317.0,320.0,307.0,319.0,12472413.71214712,3906570008.420424
2023-01-13 09:00:00,318.0,332.0,316.0,329.0,13101585.78876357,4215531974.998747
2023-01-14 09:00:00,328.0,348.0,314.0,341.0,25041646.82471806,8353083359.519246
2023-01-15 09:00:00,342.0,396.0,330.0,350.0,73244511.88164125,26442915827.241386
2023-01-16 09:00:00,350.0,392.0,345.0,368.0,95819785.6255608,35175931915.40108
2023-01-17 09:00:00,366.0,371.0,351.0,367.0,18933608.27282282,6846624424.250258
2023-01-18 09:00:00,367.0,393.0,333.0,343.0,54498896.45143155,20378137011.71905
2023-01-19 09:00:00,345.0,358.0,342.0,355.0,7080454.59469576,2471491577.437172
2023-01-20 09:00:00,356.0,376.0,351.0,376.0,11408563.85434266,4105141261.576736
2023-01-21 09:00:00,375.0,416.0,365.0,416.0,38918483.63359827,15020691064.438602
2023-01-22 09:00:00,416.0,417.0,394.0,405.0,34471416.33384666,13805469635.76473
2023-01-23 09:00:00,405.0,408.0,390.0,408.0,16767181.65164011,6680967432.812306
2023-01-24 09:00:00,407.0,425.0,370.0,390.0,36805920.63868809,14998949327.840132
2023-01-25 09:00:00,390.0,402.0,367.0,400.0,23293135.11410022,9032729030.574106
2023-01-26 09:00:00,400.0,402.0,390.0,402.0,16117468.07719253,6373091610.311865
2023-01-27 09:00:00,401.0,434.0,384.0,430.0,61416066.41423248,25188650475.379456
2023-01-28 09:00:00,430.0,431.0,404.0,417.0,17918839.7914453,7471551896.183792
2023-01-29 09:00:00,417.0,420.0,408.0,418.0,8718477.3354853,3592870615.0589333
2023-01-30 09:00:00,418.0,418.0,373.0,384.0,14430661.75969126,5733289898.069606
2023-01-31 09:00:00,383.0,388.0,368.0,386.0,7412475.03253401,2801097685.669339
2023-02-01 09:00:00,386.0,397.0,366.0,395.0,8369421.61519648,3180536043.7711973
2023-02-02 09:00:00,395.0,408.0,392.0,407.0,9567932.5557964,3838911122.007417
2023-02-03 09:00:00,407.0,435.0,399.0,434.0,23566534.17050793,9797439551.016066
2023-02-04 09:00:00,435.0,475.0,427.0,449.0,138316419.25829053,63194953084.06406
2023-02-05 09:00:00,449.0,533.0,417.0,435.0,119055420.60715964,56137656912.26722
2023-02-06 09:00:00,435.0,457.0,423.0,444.0,31034583.45763555,13593767792.398663
2023-02-07 09:00:00,444.0,444.0,423.0,440.0,13992738.34482531,6017822599.993843
2023-02-08 09:00:00,441.0,442.0,430.0,442.0,11010001.25190565,4805633055.421502
2023-02-09 09:00:00,441.0,452.0,411.0,421.0,22037297.06992903,9440043926.102818
2023-02-10 09:00:00,421.0,427.0,411.0,425.0,6554857.59516173,2753693052.0000763
2023-02-11 09:00:00,426.0,428.0,418.0,425.0,4006528.83842359,1694315858.9128227
2023-02-12 09:00:00,425.0,432.0,417.0,420.0,8305884.10274504,3525015377.4924026
2023-02-13 09:00:00,419.0,419.0,379.0,398.0,11578861.54284456,4628430346.076721
2023-02-14 09:00:00,398.0,408.0,380.0,405.0,10337992.79734461,4082083584.0929427
2023-02-15 09:00:00,407.0,449.0,400.0,447.0,62144167.37900122,26634404337.65311
2023-02-16 09:00:00,447.0,492.0,427.0,435.0,58555023.60795454,27222619198.758217
2023-02-17 09:00:00,437.0,465.0,431.0,462.0,23967196.59272145,10854016361.76478
2023-02-18 09:00:00,463.0,463.0,445.0,458.0,9756369.31790818,4442086653.871682
2023-02-19 09:00:00,457.0,460.0,448.0,458.0,6703044.73012944,3040002718.0130987
2023-02-20 09:00:00,459.0,485.0,444.0,481.0,19794723.21534276,9290354221.087772
2023-02-21 09:00:00,481.0,540.0,476.0,502.0,124620352.23924987,62871047268.76204
2023-02-22 09:00:00,501.0,502.0,474.0,495.0,15441776.91817817,7481747043.189378
2023-02-23 09:00:00,495.0,524.0,483.0,522.0,12407763.80146899,6213058923.6776285
2023-02-24 09:00:00,522.0,1030.0,515.0,880.0,909184230.7724994,683187574091.1433
2023-02-25 09:00:00,881.0,940.0,593.0,627.0,578077213.0511295,429309879236.6626
2023-02-26 09:00:00,624.0,679.0,578.0,598.0,166773186.62259847,104223143584.0538
2023-02-27 09:00:00,598.0,598.0,557.0,574.0,57958133.77709141,33089060794.466915
2023-02-28 09:00:00,574.0,581.0,548.0,555.0,31383790.61849021,17622217129.55865
2023-03-01 09:00:00,556.0,563.0,537.0,556.0,28203630.01023066,15460570565.97891
2023-03-02 09:00:00,555.0,556.0,516.0,528.0,35577159.38769729,18797034978.96805
2023-03-03 09:00:00,529.0,585.0,501.0,553.0,182216469.78074846,100048018515.40211
2023-03-04 09:00:00,554.0,555.0,520.0,526.0,27344308.38310478,14544811848.527369
