,open,high,low,close,volume,value
2023-01-05 09:00:00,193.0,194.0,189.0,191.0,2602034.74850697,498701686.8554287
2023-01-06 09:00:00,190.0,193.0,183.0,192.0,3958399.87086512,740392777.3313385
2023-01-07 09:00:00,193.0,196.0,191.0,194.0,3191271.85508677,619130996.0680203
2023-01-08 09:00:00,194.0,199.0,191.0,199.0,3116172.18854608,602938054.0538574
2023-01-09 09:00:00,199.0,206.0,196.0,200.0,6460967.67356344,1296593257.9739258
2023-01-10 09:00:00,199.0,206.0,196.0,204.0,7252461.19417538,1458885734.5067546
2023-01-11 09:00:00,204.0,211.0,200.0,209.0,7685084.26187764,1569291348.3555958
2023-01-12 09:00:00,210.0,216.0,205.0,214.0,12959414.52245668,2725461196.5782857
2023-01-13 09:00:00,213.0,223.0,211.0,222.0,7643989.55973354,1648035677.0549605
2023-01-14 09:00:00,222.0,237.0,215.0,230.0,19771423.59197051,4477952006.39537
2023-01-15 09:00:00,230.0,250.0,220.0,238.0,51220134.9772779,12090675540.608555
2023-01-16 09:00:00,237.0,243.0,229.0,236.0,12234594.37284452,2892427566.011611
2023-01-17 09:00:00,236.0,263.0,231.0,241.0,32640369.89650432,8071289628.051473
2023-01-18 09:00:00,239.0,244.0,219.0,220.0,20055018.94916007,4686204674.457269
2023-01-19 09:00:00,220.0,245.0,220.0,235.0,36403400.45184774,8488177169.205908
2023-01-20 09:00:00,235.0,250.0,230.0,249.0,9983422.00875927,2374943058.812521
2023-01-21 09:00:00,248.0,256.0,242.0,246.0,18224438.72946659,4550848848.4574
2023-01-22 09:00:00,247.0,254.0,241.0,246.0,7837864.08079829,1947194298.7457259
2023-01-23 09:00:00,248.0,259.0,246.0,253.0,19165164.19681406,4824072499.073467
2023-01-24 09:00:00,254.0,377.0,253.0,275.0,947351049.3038949,317674845465.93054
2023-01-25 09:00:00,275.0,299.0,264.0,280.0,85157204.32949367,23497826338.988354
2023-01-26 09:00:00,279.0,283.0,269.0,278.0,25584099.36708109,7101358427.128047
2023-01-27 09:00:00,278.0,281.0,267.0,281.0,19025831.16221647,5196203994.187628
2023-01-28 09:00:00,281.0,282.0,270.0,274.0,12558857.31747888,3473858593.3934402
2023-01-29 09:00:00,275.0,280.0,270.0,279.0,10936414.8223192,3019378803.652842
2023-01-30 09:00:00,279.0,280.0,250.0,256.0,17208530.99330165,4539502610.727623
2023-01-31 09:00:00,256.0,260.0,247.0,257.0,10985148.30377466,2782763176.7508464
2023-02-01 09:00:00,257.0,276.0,254.0,272.0,85106857.60940982,22567601297.106483
2023-02-02 09:00:00,273.0,285.0,273.0,275.0,21684317.22951914,6021210790.123811
2023-02-03 09:00:00,275.0,290.0,270.0,286.0,20849986.95179344,5798558670.024059
2023-02-04 09:00:00,286.0,298.0,284.0,292.0,31091683.6367905,9036922514.813272
2023-02-05 09:00:00,292.0,309.0,271.0,285.0,43095683.27418427,12497056173.657377
2023-02-06 09:00:00,285.0,348.0,284.0,299.0,229620791.95779198,72803765883.33267
2023-02-07 09:00:00,299.0,302.0,285.0,300.0,28703878.16081053,8383064357.013197
2023-02-08 09:00:00,300.0,300.0,282.0,293.0,20732063.02061588,6087477028.749412
2023-02-09 09:00:00,293.0,297.0,265.0,272.0,28360390.50961314,8058749334.53918
2023-02-10 09:00:00,272.0,278.0,263.0,278.0,15833000.74843057,4277301064.241195
2023-02-11 09:00:00,278.0,282.0,272.0,281.0,5870483.413657,1623713502.0856173
2023-02-12 09:00:00,281.0,284.0,272.0,277.0,7655061.00778872,2127686041.6048357
2023-02-13 09:00:00,276.0,277.0,260.0,271.0,14504260.50730611,3904779378.3346214
2023-02-14 09:00:00,271.0,282.0,262.0,281.0,10158900.37028825,2764495839.570313
2023-02-15 09:00:00,281.0,303.0,278.0,302.0,21116443.51635537,6067726783.741283
2023-02-16 09:00:00,302.0,317.0,289.0,292.0,29376922.51763871,8927792665.926311
2023-02-17 09:00:00,293.0,318.0,290.0,315.0,26216517.83662497,8057771927.253182
2023-02-18 09:00:00,314.0,329.0,312.0,324.0,23792206.76430502,7653497226.511627
2023-02-19 09:00:00,324.0,331.0,315.0,329.0,13604102.11049528,4369154799.755866
2023-02-20 09:00:00,329.0,341.0,316.0,340.0,31176999.25281318,10296251003.995049
2023-02-21 09:00:00,341.0,367.0,321.0,330.0,54522002.34558948,18588967244.86042
2023-02-22 09:00:00,330.0,332.0,310.0,325.0,19837036.53877801,6303941178.360846
2023-02-23 09:00:00,325.0,328.0,315.0,326.0,12012762.00412882,3876277160.6842847
2023-02-24 09:00:00,326.0,338.0,319.0,333.0,30990433.90443572,10207394055.717766
2023-02-25 09:00:00,332.0,356.0,321.0,338.0,55318147.10378087,18582429880.634274
2023-02-26 09:00:00,337.0,338.0,326.0,336.0,13563250.08296834,4502251455.758587
2023-02-27 09:00:00,336.0,349.0,324.0,348.0,25288329.40502011,8544591569.558789
2023-02-28 09:00:00,349.0,349.0,328.0,331.0,17485994.21527982,5885725677.755262
2023-03-01 09:00:00,331.0,352.0,325.0,350.0,42157011.73103614,14428528499.094454
2023-03-02 09:00:00,349.0,350.0,328.0,334.0,23833768.68476519,7993775448.270716
2023-03-03 09:00:00,335.0,335.0,298.0,306.0,28519430.34705276,8743325249.626009
2023-03-04 09:00:00,306.0,309.0,289.0,294.0,9171274.17185525,2753330480.4891973
2023-03-05 09:00:00,294.0,305.0,292.0,298.0,9197085.50900403,2756800225.401346
2023-03-06 09:00:00,299.0,303.0,283.0,298.0,9410405.76557123,2749982403.5446424
2023-03-07 09:00:00,298.0,303.0,279.0,291.0,7730876.91969858,2258850749.8293643
2023-03-08 09:00:00,292.0,292.0,264.0,268.0,11776104.56525917,3242306691.379321
