,open,high,low,close,volume,value
2023-02-07 09:00:00,309.0,318.0,300.0,318.0,11832473.07561467,3646766482.129518
2023-02-08 09:00:00,318.0,321.0,302.0,315.0,12591623.0704537,3960295431.920271
2023-02-09 09:00:00,315.0,317.0,291.0,297.0,15104061.04061182,4604524710.524085
2023-02-10 09:00:00,297.0,303.0,292.0,301.0,6017157.91723469,1787899951.5055902
2023-02-11 09:00:00,301.0,306.0,295.0,305.0,3729444.92802932,1115773078.4270291
2023-02-12 09:00:00,305.0,307.0,298.0,301.0,5325056.84606446,1610298785.6816916
2023-02-13 09:00:00,301.0,306.0,287.0,295.0,11705600.41658336,3469039235.0657005
2023-02-14 09:00:00,296.0,303.0,288.0,302.0,5224841.04515345,1541496695.4387217
2023-02-15 09:00:00,302.0,318.0,299.0,318.0,7437117.45577751,2288814603.8190227
2023-02-16 09:00:00,318.0,322.0,302.0,304.0,14494874.00870263,4564453721.580041
2023-02-17 09:00:00,304.0,319.0,302.0,317.0,9019846.55393605,2810071714.71987
2023-02-18 09:00:00,317.0,323.0,313.0,320.0,8248640.61202141,2628259874.7934246
2023-02-19 09:00:00,321.0,330.0,317.0,326.0,13335750.10929411,4324292007.806209
2023-02-20 09:00:00,325.0,356.0,317.0,346.0,36231192.90988853,12373686160.161875
2023-02-21 09:00:00,346.0,346.0,327.0,335.0,14307598.4572314,4822682642.240075
2023-02-22 09:00:00,335.0,336.0,318.0,333.0,8937096.68786261,2919044049.159227
2023-02-23 09:00:00,335.0,337.0,325.0,337.0,9386991.91491788,3116561875.729539
2023-02-24 09:00:00,337.0,348.0,329.0,338.0,18277319.06884434,6177916040.226331
2023-02-25 09:00:00,338.0,358.0,333.0,344.0,42125162.58678633,14573908835.760782
2023-02-26 09:00:00,344.0,344.0,330.0,335.0,8631379.76348721,2892329000.7973943
2023-02-27 09:00:00,335.0,339.0,324.0,330.0,12353648.53595991,4086874268.9225774
2023-02-28 09:00:00,329.0,330.0,319.0,322.0,6114917.15005565,1982591648.2753499
2023-03-01 09:00:00,322.0,332.0,316.0,331.0,8476321.93132469,2758910331.160948
2023-03-02 09:00:00,331.0,331.0,311.0,319.0,8324315.62166731,2663846161.8098464
2023-03-03 09:00:00,319.0,320.0,289.0,296.0,9665132.73996776,2865725531.3134503
2023-03-04 09:00:00,296.0,299.0,285.0,289.0,5396184.17424172,1585215760.3686082
2023-03-05 09:00:00,289.0,293.0,284.0,289.0,3602631.39221234,1043501746.8098385
2023-03-06 09:00:00,288.0,289.0,279.0,283.0,5351439.75776781,1513009878.8268454
2023-03-07 09:00:00,283.0,287.0,270.0,278.0,6138556.47012554,1703983312.872863
2023-03-08 09:00:00,278.0,278.0,262.0,266.0,4617556.21503494,1246079231.128904
2023-03-09 09:00:00,267.0,279.0,250.0,258.0,8153098.04148283,2160799295.1841855
2023-03-10 09:00:00,259.0,259.0,241.0,255.0,6893970.80326287,1726453442.603336
2023-03-11 09:00:00,255.0,262.0,243.0,258.0,4900262.81331328,1241468294.4988182
2023-03-12 09:00:00,259.0,269.0,252.0,269.0,5369583.6871671,1397360868.8406682
2023-03-13 09:00:00,268.0,285.0,261.0,282.0,5506621.46051905,1507014381.7936134
2023-03-14 09:00:00,283.0,293.0,275.0,288.0,10359420.73646964,2955604838.1118693
2023-03-15 09:00:00,290.0,293.0,267.0,274.0,10957914.4300441,3090971459.0164266
2023-03-16 09:00:00,274.0,283.0,270.0,283.0,6073294.42125654,1673214777.8165057
2023-03-17 09:00:00,282.0,304.0,281.0,304.0,6827056.74040587,1992419976.6412008
2023-03-18 09:00:00,304.0,308.0,289.0,290.0,8533658.92253129,2541577765.1099486
2023-03-19 09:00:00,290.0,299.0,288.0,298.0,7636559.39418333,2248779864.1401987
2023-03-20 09:00:00,298.0,299.0,284.0,286.0,9077905.72786161,2654099774.42239
2023-03-21 09:00:00,286.0,293.0,275.0,291.0,4766880.89818793,1357306630.6755104
2023-03-22 09:00:00,291.0,292.0,269.0,278.0,6477520.17335226,1821375932.263602
2023-03-23 09:00:00,278.0,286.0,272.0,284.0,3707261.62575641,1033192967.9925808
2023-03-24 09:00:00,285.0,286.0,275.0,280.0,3053509.60384622,855311991.5104353
