,open,high,low,close,volume,value
2023-01-05 09:00:00,5.7,5.74,5.52,5.65,872331310.9867901,4912164151.066481
2023-01-06 09:00:00,5.64,5.65,5.43,5.56,514994774.6332987,2845665241.518094
2023-01-07 09:00:00,5.57,5.7,5.52,5.6,378894760.63099736,2109158899.1107478
2023-01-08 09:00:00,5.61,5.66,5.52,5.65,300156321.15096503,1674850039.5583363
2023-01-09 09:00:00,5.64,6.16,5.63,6.05,4731278088.998295,27952489353.53528
2023-01-10 09:00:00,6.05,6.08,5.79,6.07,1514055894.8396285,8964065126.147932
2023-01-11 09:00:00,6.06,6.08,5.86,6.03,1006521086.4492381,5998409858.033148
2023-01-12 09:00:00,6.03,6.35,5.95,6.18,3161281642.9969306,19362243499.545433
2023-01-13 09:00:00,6.18,6.35,6.05,6.32,1252849663.537586,7745689746.349863
2023-01-14 09:00:00,6.32,6.65,6.06,6.56,3769780567.4390645,24264010074.73973
2023-01-15 09:00:00,6.56,10.1,6.56,8.26,52347517328.85842,459915663454.01605
2023-01-16 09:00:00,8.27,8.86,7.5,7.9,7025610366.525303,56489602542.45918
2023-01-17 09:00:00,7.89,7.9,7.38,7.68,2258086195.0041227,17073628346.41324
2023-01-18 09:00:00,7.68,7.68,7.06,7.11,1925050500.187751,14145561945.542107
2023-01-19 09:00:00,7.1,7.45,7.02,7.36,1745489303.6055872,12653607466.713728
2023-01-20 09:00:00,7.37,7.77,7.15,7.77,1177081603.176601,8724215346.037096
2023-01-21 09:00:00,7.77,8.18,7.58,7.8,3498125351.1002812,27533255629.19706
2023-01-22 09:00:00,7.8,8.04,7.69,7.89,1686227727.4974055,13159106290.556183
2023-01-23 09:00:00,7.89,8.12,7.66,8.06,1673292823.8314464,13087888372.028275
2023-01-24 09:00:00,8.08,8.56,7.26,7.68,7048002065.966717,57287384472.448105
2023-01-25 09:00:00,7.69,8.28,7.29,7.89,4137903990.8640757,32372541139.656143
2023-01-26 09:00:00,7.88,7.95,7.67,7.85,1460051248.4530416,11378653377.227764
2023-01-27 09:00:00,7.84,8.48,7.57,8.2,5798517726.958882,46449587709.240944
2023-01-28 09:00:00,8.2,8.98,7.8,8.1,6144740021.903464,51467711537.81933
2023-01-29 09:00:00,8.08,8.14,7.95,8.1,832786020.8253073,6669787547.573874
2023-01-30 09:00:00,8.09,8.49,7.51,7.72,4401887978.477546,35801364055.10997
2023-01-31 09:00:00,7.72,7.98,7.42,7.8,1340309065.5181353,10268832094.57915
2023-02-01 09:00:00,7.81,8.2,7.37,8.19,2403762724.853831,18688277255.419292
2023-02-02 09:00:00,8.19,8.38,8.02,8.32,3536654659.288977,28959781170.501984
2023-02-03 09:00:00,8.31,8.6,8.15,8.59,2847774771.324382,23769740023.882656
2023-02-04 09:00:00,8.59,8.78,8.33,8.63,1619115729.2219973,13738707375.25747
2023-02-05 09:00:00,8.64,8.88,7.72,8.2,3322844654.607211,27834219489.037094
2023-02-06 09:00:00,8.2,8.39,8.07,8.32,1493010566.0571823,12282156281.087454
2023-02-07 09:00:00,8.31,8.35,8.03,8.32,1027264530.0016527,8394092808.45703
2023-02-08 09:00:00,8.32,9.74,8.27,9.65,8705768336.304605,77167689880.15915
2023-02-09 09:00:00,9.65,9.98,8.35,8.52,8508757882.767281,77931281718.25595
2023-02-10 09:00:00,8.52,8.77,7.9,8.4,1866842792.061629,15479459285.084177
2023-02-11 09:00:00,8.38,8.48,8.2,8.44,554950336.1312193,4603562418.660899
2023-02-12 09:00:00,8.44,9.07,8.32,8.75,6797491851.231349,59261069532.1519
2023-02-13 09:00:00,8.75,9.02,7.93,8.33,3237989737.676665,27722839750.38793
2023-02-14 09:00:00,8.32,8.48,7.82,8.46,1666073780.8479905,13626299312.01584
2023-02-15 09:00:00,8.46,9.44,8.26,9.32,7397067253.885905,66041457925.92989
2023-02-16 09:00:00,9.35,12.1,9.28,10.6,15283090502.78022,161694098940.4228
2023-02-17 09:00:00,10.7,11.8,10.1,10.7,4191416679.88627,45161112057.85212
2023-02-18 09:00:00,10.6,10.7,9.93,10.1,1161316651.9906275,11861115695.904892
2023-02-19 09:00:00,10.2,10.6,9.93,10.0,1334197762.7842638,13574620622.37557
2023-02-20 09:00:00,10.0,10.1,9.51,10.0,1671194118.482767,16381310237.987968
2023-02-21 09:00:00,10.0,10.1,9.35,9.73,1393120742.787956,13512277578.871994
2023-02-22 09:00:00,9.73,10.0,9.38,9.81,1105895792.930941,10676989023.597387
2023-02-23 09:00:00,9.82,9.83,9.5,9.65,532086587.12144035,5124081599.871267
2023-02-24 09:00:00,9.68,9.86,9.58,9.8,985081564.6605574,9583682831.979942
2023-02-25 09:00:00,9.8,10.1,9.37,9.64,1312982901.9950747,12834923738.590395
2023-02-26 09:00:00,9.64,9.9,9.53,9.71,785033046.4113673,7595087140.048698
2023-02-27 09:00:00,9.7,9.83,9.49,9.61,485981020.6490599,4659493379.974911
2023-02-28 09:00:00,9.62,9.64,9.4,9.49,350262022.7811982,3326806330.9144635
2023-03-01 09:00:00,9.49,9.7,9.36,9.53,525996981.3104877,4990813405.486794
2023-03-02 09:00:00,9.53,9.53,9.0,9.14,503325720.13150537,4624654774.1905365
2023-03-03 09:00:00,9.14,9.14,8.27,8.55,786174247.5126041,6701407646.663943
2023-03-04 09:00:00,8.53,8.75,8.38,8.49,314747923.67244184,2693788331.439267
2023-03-05 09:00:00,8.49,8.73,8.33,8.46,429566334.49116987,3649445058.089858
2023-03-06 09:00:00,8.45,8.54,7.9,8.22,453136893.4114591,3706141591.7769995
2023-03-07 09:00:00,8.21,8.33,7.65,7.9,472583022.4963291,3774202289.741221
2023-03-08 09:00:00,7.9,8.19,7.57,7.6,528542124.6318184,4132395079.2856293
2023-03-09 09:00:00,7.59,7.73,7.1,7.34,552611761.5017778,4150133688.9266014
2023-03-10 09:00:00,7.27,7.55,6.82,7.34,950395845.5085882,6823604410.819917
2023-03-11 09:00:00,7.34,8.38,7.32,7.63,7393555112.614523,58499409317.04125
2023-03-12 09:00:00,7.64,7.82,7.08,7.8,1632167906.776013,12097501503.652803
2023-03-13 09:00:00,7.8,8.34,7.5,8.26,1835838545.0742455,14421354061.768448
2023-03-14 09:00:00,8.26,8.65,7.86,8.52,2732098720.5846286,22815472818.488083
2023-03-15 09:00:00,8.5,10.4,8.46,9.07,17663074292.908802,167834145569.0368
2023-03-16 09:00:00,9.07,9.17,8.5,8.88,2441802079.0090685,21289404739.861507
2023-03-17 09:00:00,8.88,9.2,8.7,9.15,1747509452.5454867,15628498322.030336
2023-03-18 09:00:00,9.14,9.32,8.71,8.95,1251681726.3168085,11301139418.728916
2023-03-19 09:00:00,8.95,8.99,8.61,8.9,841620107.6783631,7396463174.455234
2023-03-20 09:00:00,8.9,8.9,8.56,8.58,646324100.421356,5636980365.788302
2023-03-21 09:00:00,8.58,8.8,8.05,8.52,1011791541.3407135,8593834519.529911
2023-03-22 09:00:00,8.52,8.55,8.12,8.28,325260871.3278933,2715533001.1849213
2023-03-23 09:00:00,8.27,8.55,8.25,8.52,675493155.7269077,5692899692.453915
2023-03-24 09:00:00,8.51,8.54,8.32,8.38,230391253.97787794,1944645807.1776345
2023-03-25 09:00:00,8.37,8.81,8.36,8.66,1445281964.2876987,12426721608.990847
2023-03-26 09:00:00,8.66,8.66,8.4,8.55,308315015.86751914,2617872270.65072
2023-03-27 09:00:00,8.54,8.65,7.87,8.07,615291130.485385,5065485418.958911
2023-03-28 09:00:00,8.06,8.29,7.73,8.08,392271883.54725367,3117737006.890421
2023-03-29 09:00:00,8.08,8.41,8.01,8.35,587607671.9184008,4826650327.6405735
2023-03-30 09:00:00,8.36,8.45,8.16,8.24,460324861.8874445,3808257992.6732826
2023-03-31 09:00:00,8.24,8.46,8.03,8.39,424583484.2733878,3497420839.108642
2023-04-01 09:00:00,8.39,8.8,8.31,8.66,1283363007.747973,11057599069.983528
